val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0207219F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-785ee1c2ebc3e788088b4b499b822166a1af7e31a8371e9933b41fbc04f6be1c","60-ac3e0f3823c1e8db3be9090fd4b8e652f0e072abe193696c8f57e471a497d7d3","root"
"0305220F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-7715d727354a24f5c77342ea97525edfe9d7252dce7d863c2fc6930885ad3a4a","65-5a3f11296c6deb1661004607d5b141566901926d79d44a0dbf585778dd84fdc6","root"
"0305220F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4270fbd260ee5673d8a0ceb96564e7bae4f6d9622b534abcc5e4852801844a97","0-d5dd3413e02e811a2bf536bd88787fd1800b7b848b8794b20fbffaabca51e48e","66-81889d1aeaecf24a99da051092fa2c687358d8d726f472286048d5bb569e67f1","root"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1f1f752c553f532e596996bf4fb0f120508e4b658ec030cafb53789d3582e64e","0-9263aa4776babc83acb8a4b18cc4e20fbaa633161ba59dc677da021031e555ac","75-154b9a693737ddb1acecb3c674a1050403c601effc789a0c015652bf6cf336ab","root"
"0101127F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4514f885e09a56664f877e4001867ddf1e68d889e3b6fd9970c34470beea0fc5","0-e5aa078e07a41701e2abbdcbcdc0cd4aed3dd37615f83afbd9366e4ad73912f1","76-58d325287dd73d48bc3c1210e675338026344a215a5f57eb54a6346c64d88fbf","root"
"0401897F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d4fb970686dd855f8cd0753f0d6917ba40dcc4ce26687be446d1ccc410c49b84","0-d9b1767d6f783d1dd426e5d2e28aff0e20691e1c4ec557596f35fa33de9268f0","79-100c75df32f2fd66ba892ba141a3387e8a531572817bf8c24eafaa64fb80882d","root"
"0401115F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","e378000dbb4b9a2952efec3d15f355437f8e20f686d0b579ca5e8dad0f1ff700","0-3f061da31cbc7d6479283eea8c01b6fa7942f153b51f3a5247c069924032a00b","81-3ad5ac7cf66bdd041a59dbd1122e1acd77351f38f5f709c7239e5167adb92d44","root"
"0401897F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","e378000dbb4b9a2952efec3d15f355437f8e20f686d0b579ca5e8dad0f1ff700","1-b019dd91b726fc862a6a3b38af908ba263aedd1f1eb32e39db36133ff2fe65ea","81-3ad5ac7cf66bdd041a59dbd1122e1acd77351f38f5f709c7239e5167adb92d44","root"
"0401897F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","fcab240402b52e540757797eebc79cd920944563cb59b9817d0c18bf31f856b7","0-3523f5d182c1a5b5ce07cfe73450654325410c2f929b8e482e3021be1d4b1d4f","83-a0f56964a8f228cf4762c1229f8157b4e8197dd426087bd47067f96cb5303618","root"
"0401132F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5de403107085bf74fb9fd40854df952a9081ddccb6363319c405b20f72d8dc83","0-afd30af3e93865fe54935bf64fe6494f19b770345c7b42fb6f2ff5dad039f2fe","93-e729079dcc7f23a24f83ecfa56f86a7bac8a2a11a30d45253ac199339cdc9d64","root"
"0207219F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","601ae9dd8603462a448ce4d407a902973eb716363e80382a2192b3c80a95bac8","0-3f7b037bad19c79b65e573ef3efaa801bccf0d7bc66de1f5f9af53ba48c330e2","110-8a00105ceedc04ab6b0c5c314737e10d13ddba5751227145d2903196259f1a16","root"
"0305220F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","0-a59fab3913195a988067399ace666a34870f64b8ade6e8cc919a2f2563e5e29d","115-b78050924957eda4f25905feba63b8cc94eeffa09a82d9317e8ee67afdbaa85a","root"
