Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_AllPriorYears_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air National Guard","8","349.26","9","479.896","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b57571c483b3fcd1a6d6430d5d46dae98dbdba9565ada34187b6b95fc5a6c4a2","0-42807e0b1b57b1d076ac66ade81a7d3de75c8580d1d9245dac5b215ebbb11e41","50-b1baffa99e551bf4271efb8fb5250761dcc65e6ba5d8d6a3d6041063c5db419f","root"
"Air National Guard","8","349.26","9","479.896","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1bbb7d0b0130a1836400f4027edfb2b942cec98bfe7185e10fe5c4dd981ddb3c","0-55501256068d719742099adba754639fadfc471dba1d571fc9f074330dcf9079","100-c80e430cf729c09d8aa5bc5e040c401f4c47e98b4558af7b4ed3dbd2cc0cb2c1","root"
"Air National Guard","8","349.26","9","479.896","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7a9eae9604e5ab81e81e89f8ffd8e98a878ebf2cd45c4053c4ac7f8a3e805266","0-15163c36da973317804f465b3a24251b41b4092132cdd1b67d7419292f886ff9","148-de13821889eb2adfd840a7370087852f9003e7ca31f6b3ce5b058429beaa0b66","root"
"Air Force Active","","56.678","","49.24","52.464","","0.000","","52.464","","98.222","","102.467","","81.11","","77.419","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","19fb4f542cc9f4885d08e5e7b8ccfe3b16920314f75888d815e002cd6fdafed2","0-6127b74d45895ea82f3dda568694504b2202f4549c08896c04c0ad6b9ac87c8f","397-a83482bae10dc298ffbba06d804e6551db594ddfc16fbe9aec2287b607c768dc","root"
"Air National Guard","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","19fb4f542cc9f4885d08e5e7b8ccfe3b16920314f75888d815e002cd6fdafed2","1-822d627a7393d3bab17ea63d0335705c85baa5371c629fc5baeee869cb429767","397-a83482bae10dc298ffbba06d804e6551db594ddfc16fbe9aec2287b607c768dc","root"
"Air Force Reserve","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","19fb4f542cc9f4885d08e5e7b8ccfe3b16920314f75888d815e002cd6fdafed2","2-f4c08ab748103cb31ac1df277d41591a37579b880643aac41d6a1eb8c9b294e1","397-a83482bae10dc298ffbba06d804e6551db594ddfc16fbe9aec2287b607c768dc","root"
"Air Force Active","","56.678","","49.24","52.464","","0.000","","52.464","","98.222","","102.467","","81.11","","77.419","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","abe44ca6ec833d1755389b356d93c27a62bed598d3d4efdd4a022fb66456d50e","0-f2a65655aa250120c4168a684fbe89c6dd5cea5eaa6f505018691a1f0d9d59ff","461-2e4da10a56335fe615aa52278174bbc03699e2e8d6657cb89fd5e9b9e2f13f7f","root"
"Air National Guard","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","abe44ca6ec833d1755389b356d93c27a62bed598d3d4efdd4a022fb66456d50e","1-5a9839e736e8c3fc4ebf41b637ff9bc97e1d93ef76faf8fea224fe62a36d15e7","461-2e4da10a56335fe615aa52278174bbc03699e2e8d6657cb89fd5e9b9e2f13f7f","root"
"Air Force Reserve","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","abe44ca6ec833d1755389b356d93c27a62bed598d3d4efdd4a022fb66456d50e","2-00a560629d2fc1b77194acf3f55640810fbd5b16ac454767791c3f551133ff6e","461-2e4da10a56335fe615aa52278174bbc03699e2e8d6657cb89fd5e9b9e2f13f7f","root"
"Army Active","","9.383","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","55865b9134860bd038b42dd4a72c89bfed80b6b36838ba6e8d175b181a911724","0-c11c411b613579962546375cdd630cd6b3b0a6a220759056154779c1d78edd95","506-b25fefdd8667663f52c22bc1ed6eada8c9b1799c5c737dc44c66062e87be70d4","root"
"Army Active","","122.34","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","f6b80b0b933a6b39f5ac943ade1be96a56d14c4193eafac6714e2fa5c31ac242","0-37f37c2bac9d344d3d72f36c7e6ce0fee50487b61e15bcd6eeca2a92689cb799","507-a8e4293b7b6238c8e02633216b4cb57e43ff932783668d17c40df5038e176367","root"
"Army Active","","31.65","","27.575","16.272","","","","16.272","","10.262","","8.311","","11.806","","5.272","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6fd0d80652405d1c4c115522e3cad83d269b24ec5d21b49eb913aec2e1e78caa","0-113c4770b9ac35db2c4ad19e211d2d58ee136fa5a7cc252e5667dd588dc4f4cf","511-c233e0218621639121a4c1b08caf4df1d1348d49843c7d46cf33985f18a695a5","root"
"Army Active","","103.084","","62.862","4.294","","","","4.294","","4.807","","116.138","","145.668","","148.158","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","751e1eab37f7c2935fa70f90e810f46c424cb7977105414cc92aa6ada1be28e2","0-c68d1533e0c8896958b9aa041ccd4ab6fdcedd5949f54561489752997bf77a0e","512-feea1ad1edf844c010cc78602deecd176f9e99600790d8896d7f2c71aac0bdf0","root"
