Name_val,Location_val,Type_val,FacilityProjectList_FacilityProject_Type_val,FacilityProjectList_FacilityProject_Contractor_val,FacilityProjectList_FacilityProject_Description_val,FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Other_PriorYear_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2013 Base procurement dollars in the amount of $0.331 million support the care and maintenance of laid-away ammunition industrial facilities.  This effort includes non-severable equipment, plant equipment, special tooling and special test equipment being retained as part of approved plant equipment packages which are required to support future replenishment requirements.","0.331","0.331","","","0.331","0.331","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-2b4da85871e95d3b2a9e189b34b8e59204cf3c15cd3d5f62e33b49620d08d4a5","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2013 Base procurement dollars in the amount of $0.094 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.094","0.094","0.061","0.158","0.094","0.094","0.061","0.158","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-006614ad0202e129a2d4a26bb3cbcc914167e3b44a6af4e1498ac643f1fafa07","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2013 Base procurement dollars in the amount of $0.282 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management and minimum maintenance of specialized production equipment.","0.282","0.282","0.114","0.261","0.282","0.282","0.114","0.261","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","2-f47a540d72f13114dd2c13a320f2cce623f7253fa312ab0d0d763585195c2a83","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2013 Base procurement dollars in the amount of $0.697 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management and minimum maintenance of specialized production equipment.  These efforts are responsible for overhead expenses and provides for monitoring of excess facilities until they can be disposed.  These efforts also provide for well monitoring at the inert landfill to comply with a signed consent agreement between the plant, State of Iowa and Environmental Protection Agency.","0.225","0.225","0.143","0.221","0.697","0.697","0.442","0.685","0.197","0.306","0.311","0.311","0.102","0.158","0.161","0.161","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","3-4fa5fa00096387ff753fe0a6f11f855b8ad46073efd37f98bd9b9d89a44b8e13","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2013 Base procurement dollars in the amount of $0.204 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes overhead costs such as grounds maintenance, fire protection, plant security and administrative support.","0.106","0.106","0.079","0.104","0.204","0.204","0.152","0.2","0.073","0.096","0.098","0.098","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","4-581dc402f6cfcc46f630e44d52781c3109bdff5815912e4a5e43b57440959bd3","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2013 Base procurement dollars in the amount of $0.160 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and overhead costs such as grounds maintenance, fire protection, plant security and administrative support.","0.08","0.08","0.044","0.076","0.16","0.16","0.088","0.153","0.018","0.031","0.032","0.032","0.026","0.046","0.048","0.048","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","5-4eebc5e2595f54b13fdb2facfc06589011fac1017c50835ae7173ebbc3e01023","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2013 Base procurement dollars in the amount of $0.327 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support overhead costs such as grounds maintenance, fire protection, plant security and administrative support.","0.17","0.17","0.587","0.278","0.327","0.327","1.128","0.5","0.541","0.222","0.157","0.157","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","6-1333d96e01fe0953abc838db510fa3bdba80b384e5e9fb1a54c6a20e6a06d14d","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Quad City Cartridge Case Facility (QCCCF)","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Norris Industries","FY 2013 Base procurement dollars in the amount of $1.878 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility (QCCCF) in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment.","1.878","1.878","","","1.878","1.878","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","7-f3fa57d93244969e120fd30347bf2440e22226d2645d0b384727c219c41910fd","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","Alliant Techsystems, Incorporated","FY 2013 Base procurement dollars in the amount of $0.415 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management and minimum maintenance of specialized production equipment.  These efforts support overhead expenses and provide monitoring of excess facilities.","0.125","0.125","0.117","0.119","0.415","0.415","0.39","0.398","0.234","0.239","0.249","0.249","0.039","0.04","0.041","0.041","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","8-984872fd4a8a6f81eb44a11bf9946944c0733d9e59ca8d3a082be0802741d1c5","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2013 Base procurement dollars in the amount of $1.306 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","0.653","0.653","2.402","1.894","1.306","1.306","4.804","3.178","","","","","2.402","1.284","0.653","0.653","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","9-1913cb907483efa79aef212ead9d1e05fdb6d0bd9e52282fc5fca38e45befd99","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
