Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Number_val,Title_val,ProductionLinesLayaway_Name_val,ProductionLinesLayaway_Location_val,LayawayCost_val,Description_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ProductionEnd_val,@PARENTROWID,@PARENT
"0.239","0.807","0.699","0.699","","5XX8000","Layaway of Industrial Facilities, Minor Efforts Less Than $0.100 Million","Various","","699","FY 2013 Base procurement dollars in the amount of $0.699 million support various minor efforts at active and inactive facilities that preserve and store industrial facilities for reserve capacity.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-e3c8c89733576976aa470483decf666b2e12fd8d945f06928e376b9968a63a43","","0-4ddf8fe447412af8c865d4de8bdc9f4b7f2ec281e8dd8db94b40c7491aa400f8","root.record.FacilityList.LayawayFacility"
"1.687","","","","","5118040","Demolition of Bridge Over River, Magazine Area","","","1687","Procurement dollars in the amount of $1.687 million support the demolition of an abandoned bridge which spans the Holston River. In the 1970s, due to unsafe conditions, this bridge was abandoned and a new bridge was built. Since that time, the abandoned bridge has continued to deteriorate. Along with unsafe conditions, if the bridge would fall into the Holston River, it would present environmental issues.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-6090161ae97a77bfb92bc22cbb6e20da23ddfc9bb740e32c8823600843c6b712","","1-40f4836f5dc6cb42f78a897d932b7bd12072451c46d72f09e8fd3cec94e9bfd1","root.record.FacilityList.LayawayFacility"
"5.142","3.858","","","","5XX8100","Decontamination and Disposal of Excess Buildings/Equipment","Buildings: K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2","","3858","Procurement dollars in the amount of $3.858 million support this effort to continue the decontamination and disposal of excess buildings that have become a safety and environmental concern.  The buildings contained in this phase are:  K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2, as well as abandoned steam lines, fences, supports, piping, electrical lines, etc in Area B.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-ca72155f408c743bdafd4c2859dd20e5ccabbf769ca5873f862b45941a3cdbd4","","1-40f4836f5dc6cb42f78a897d932b7bd12072451c46d72f09e8fd3cec94e9bfd1","root.record.FacilityList.LayawayFacility"
"","","2.863","2.863","","5138051","Facility Disposal/Demolition","","","2863","FY 2013 Base procurement dollars in the amount of $2.863 million support efforts to decontaminate, remove asbestos and demolish facilities plantwide due to unsafe conditions and environmental risks.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-d6523699fcac6d4be79375c352a7ca4039c10889146b5c74b10bf96c808a2974","","2-cf7b45067ad75958a7784eb7002c3162d4258fd35cf1acb6e0ae19943038aaa8","root.record.FacilityList.LayawayFacility"
"","1.044","1.061","1.061","","5XX8049","Decontamination and Disposal of Excess Production Equipment","","","1061","FY 2013 Base procurement dollars in the amount of $1.061 million support decontamination and disposal of excess equipment no longer required for production at Iowa Army Ammunition Plant.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-1da5969b95afa27fa1d0674456862800905f3b0ef3de002bed9274251ec07488","","2-cf7b45067ad75958a7784eb7002c3162d4258fd35cf1acb6e0ae19943038aaa8","root.record.FacilityList.LayawayFacility"
"0.492","","","","","5118046","Removal of Roof and Siding on Building 32-310","Building 32-310","","492","Procurement dollars in the amount of $0.543 million support the removal, disposal, and replacement of the asbestos roof and walls of Building 32-310 in preparation of storing equipment in the building.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-8e7efc739a267890aaffccbbb556687e2ba5b9e5df368e1e135feb5dbe368b56","","3-6c9317ec40485e9cb1406840c1ec3f758c424a69984ae161faca9377b1a479f4","root.record.FacilityList.LayawayFacility"
"","1.632","","","","5128053","Layaway of Steel Cartridge Case Equipment","105mm M148A1B1, 155mm AGC, 5","","1632","Procurement dollars in the amount of $1.632 million support effort to layaway the deep drawn steel cartridge case equipment at the Quad City Cartridge Case Facility.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-ec00e341d8a2d034edb1886368377778b4bd9fd07af98ce22e31e3b0b6079b37","","4-81395a7cfdd296459b192aca6de96acd7e33e301ca658aff5371bad2f7b0978b","root.record.FacilityList.LayawayFacility"
"","2.11","0.582","0.582","","5XX8440","Decontamination and Disposal of Facilities/Excess Production Equipment","","","582","FY 2013 Base procurement dollars in the amount of $0.582 million support this effort to decontaminate and dispose of excess production equipment and facilities at Radford Army Ammunition Plant.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-7f78981ca954b136880d2586b78fe41d3cf288b8cf0541e0fcfe15d4de348020","","5-92f054f34d595a6c9cf91b9d9e9dd9510deddfe122dbe2bc360a1c3ee7b2e44f","root.record.FacilityList.LayawayFacility"
"","","4.425","4.425","","5138047","Remove Nitrocellulose (NC) Hill Tanks","","","4425","FY 2013 Base procurement dollars in the amount of $4.425 million support efforts to remove waste NC from recovered water tanks, decontaminate, demolish, remove and dispose of the tanks, foundation pad and associated piping.  These efforts will significantly reduce environmental and safety issues associated with large quantities of legacy NC.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-4eff645ac0a59c8d33324894d540807bc48aa2950b35be0d94d5d22999850d18","","5-92f054f34d595a6c9cf91b9d9e9dd9510deddfe122dbe2bc360a1c3ee7b2e44f","root.record.FacilityList.LayawayFacility"
"0.555","0.577","0.602","0.602","417.984","U7667","Layaway of Industrial Facilities (LIF)","","","","","2014-BASE_PROCUREMENT-2014-ARMY_WTCV-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","6bd4d70739297e36cb7d4d8f35300cbc0da9f764241398b1c9c046f0a81114d8","0-082caa1ac3f9cac4e8c1c4c4073ad9d4938ae7ffe55b7c1be496817f015d869a","","0-059e715e0898af321a96476f7815f7889b144d24b70dda35d72de5fa45f191ae","root.record.FacilityList.LayawayFacility"
