@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Production Support","2.286","2.796","2.879","2.879","","6XX5333","Production Support Equipment Replacement (Missile)","Missile Warheads","0.899","0.949","","","","1.023","1.365","2.117","0.000","2.117","0.304","0.414","0.728","0.000","0.728","0.06","0.068","0.034","0.000","0.034","","","","","","","","","","","","","","","","","","","2012-12","2013-03","2013-04","2014-10","","","","","FY 2013 Base procurement dollars in the amount of $2.879 million supports numerous efforts at Iowa Ammunition Plant.  The project will procure and install two computer numerically controlled (CNC) drill machines for drilling the body and retaining ring prior to assembly, a horizontal CNC lathe for machining to final shape pressed explosive warhead billets, and a warhead machining center in one of the explosive storage magazines within Line 4B.  It will replace the existing coordinate measuring machine (CMM) in building 4B-22, which is needed to perform precise warhead component measurements, and rehabilitate the vertical test fire framework at FS-6.  In addition, this project will reconstruct the existing lighting protection systems in all active explosive area buildings on Line 1, in accordance with applicable Army regulations.","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","25e8b748d37f38ed418d843f8caefe98c808e0e98002ee6c6fac7a2e30b888b1","0-3e2798ec510d2284fb1c8d0ae536d06029b951b2455459efc8d19282d425bb3f","0-a487bc3d460a4ec2b0bba972c88012c079e3ddccea4b89d489572e023ea52fdc","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.198","2.247","2.321","2.321","","6XXXXXX","PIF FOR OTHER","Testing of Missile Systems","","","","","","2.198","2.247","2.321","0.000","2.321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012-12","2013-03","2013-12","","","","","FY 2013 Base procurement dollars in the amount of $2.321 million support the following:  At RTC, replaces old, unreliable and incapable vibration table and control system with modern equipment used for shock and vibration testing of missile systems.  At WSTC, procures a Non-Track Digital Instrumentation System (NTDIS), which is a mobile video broadcast van with equipment capable of near real time viewing, recording, processing, and remote network control of high-speed video data collected at missile launch sites (Non-Track refers to video collected from cameras fixed on tripods not optical tracking instruments, NTDIS does not track missiles).","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","25e8b748d37f38ed418d843f8caefe98c808e0e98002ee6c6fac7a2e30b888b1","0-2151660ccf74643ea0d809516fb1bc01efb30eeaf627c25f78c1530611af3837","1-ea502263261ae0001530496924d76a27c7bf9362ab807058587f5984f0e1b533","root.record.FacilityList.ProductionSupportFacility"
"Production Support","4.066","","","","","5113159","Contamination Prevention, Explosive Production","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","1.434","","","","","0.951","","","","","0.289","","","","","0.283","","","","","1.109","","","","","","","","","","","","","","","","","","2012-01","2011-05","2011-05","2013-11","2013-11","2013-12","2013-12","","Procurement dollars in the amount of $4.066 million support the upgrade and replacement of degraded explosively contaminated equipment and facilities at Holston Army Ammunition Plant.  The upgrades also include replacing ventilation systems.  Contamination of foreign material in bulk explosives is a safety risk during explosive loading and a safety and performance risk in the functioning of the munitions system.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-a4a7382253134070427e4cd9873c03406a91ad06b3b555d10560460307ea8ad3","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","4.042","4.042","","5133673","Nitric Acid Concentrator (NAC)/Sulfuric Acid Concentrator (SAC) (Design)","IMX-101, IMX-104, PAX Explosives","","","","","","","","","","","","","","","","","","","","","","","","","","4.042","0.000","4.042","","","","","","","","","","","2014-05","2013-05","2013-05","","","","","","FY 2013 Base procurement dollars in the amount of $4.042 million support the design for a Nitric Acid Concentration/Sulfuric Acid Concentration facility at Holston Army Ammunition Plant (AAP).  This facility will recover the spent acid used in IMX-101, IMX-104 and other dinitroanisole (DNAN) and nitrotriazalone (NTO) Insensitive Munitions explosives bases.  This project will provide Holston AAP with the capability to re-concentrate spent Nitric Acid to avoid hazards and increased costs related to Ammonia Nitrate Solution waste disposal.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-4f48010db28a579e0772b6aa7e8f77131c3858eac1992d43077216185f3c1e9b","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.31","","","","","5113160","Critical Roof Replacement","Research & Development Explosive (RDX)/High Melt Explosive (HMX)","2.159","","","","","","","","","","","","","","","0.151","","","","","","","","","","","","","","","","","","","","","","","2011-05","2011-03","2011-03","","2012-12","","","","Procurement dollars in the amount of $2.310 million support the replacement of roofs on active buildings at Holston Army Ammunition Plant.  Eighteen explosive production and support buildings require roof replacements.  These roofs have deteriorated, experience frequent failures and exceeded their economic useful life.  Annual routine maintenance is no longer cost effective.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","2-cee3c5b886ca62de1a0b58deebb0169abf1ab03d99c666c5d3a383b0a832520b","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.406","","","","","5113295","Modernize B235 Filter Press","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","0.529","","","","","0.577","","","","","0.828","","","","","0.255","","","","","0.217","","","","","","","","","","","","","","","","","","2012-03","2011-08","2011-08","2014-01","2014-01","2014-02","2014-03","","Procurement dollars in the amount of $2.406 million support the replacement of the existing legacy belt filter press at Holston Army Ammunition Plant.  The belt filter press is used to consolidate solid waste from the explosive production process.  The current antiquated system is failing, suffers from part obsolescence and fails to meet production requirements.  Additionally, this project will assist in complying with environmental regulations such as the Clean Water Act by removing contaminates in the waste stream.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","3-ede1c24fc22030c4328f2c0cfe0bb3f586c8c18deab166ac824c244f8ffa31ea","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.617","","5.396","5.396","","5XX3298","Vacuum Drying Capability, Premix/Plastic Bonded Explosive (PBX)","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","","","0.651","0.000","0.651","","","1.652","0.000","1.652","","","2.151","0.000","2.151","","","0.471","0.000","0.471","0.012","0.097","0.000","0.097","","0.374","0.000","0.374","0.605","","","","","","","","","","2012-05","2012-10","2012-10","2014-02","","2014-02","2014-05","","FY 2013 Base procurement dollars in the amount of $5.396 million support the purchase and installation of modern technology and auxiliary equipment for the vacuum drying facility at Holston Army Ammunition Plant (AAP).  All coated explosive products manufactured at Holston AAP require a drying step prior to packaging in order to meet product moisture specifications.  The existing drying process is inefficient, obsolete and failing.  The modernized process will improve energy efficiencies, reduce operation costs and improve product quality.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","4-aa48ab6fb24935d6a6d9dd5a5cd0545c92d18466489c088a9f5007d5a3b4a829","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","3.706","","","","5123297","Process Tank Replacements","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","","1.494","","","","","1.045","","","","","0.266","","","","","0.327","","","","","","","","","","","","","0.574","","","","","","","","","2012-06","2012-03","2012-03","2014-01","2014-01","2014-02","2014-05","","Procurement dollars in the amount of $3.706 million support the replacement of the process tanks at Holston Army Ammunition Plant.  The existing tanks have been in service for over 30 years; tank failures create safety hazards and cause extensive equipment damage and production interruptions.  Implementation of new process tanks and mixing technology will significantly reduce the risk of catastrophic tank/equipment failure related to the age and degradation of the tanks.  It will also lead to decreased downtime and efficient maintenance repair techniques.  Energy savings will be achieved through improved insulation techniques on the tanks and upgrades to the steam systems that supply heat to the process tanks.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","5-7ad3fca0cef7926ee832d211b8827efcc96be3e12cd5f704595a2c3666e4bfa5","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","1.41","1.41","","5133563","Dinitroanisole (DNAN) & Nitrotriazalone (NTO) Wastewater Treatment Removal","2, 4-Dinitroanisole (DNAN); 3-Nitro-1, 2, 4-Triazol-5-One (NTO)","","","0.254","0.000","0.254","","","0.888","0.000","0.888","","","","","","","","0.06","0.000","0.06","","0.026","0.000","0.026","","0.182","0.000","0.182","","","","","","","","","","","2014-03","2013-03","2013-03","2014-09","2014-09","2014-10","2015-03","","FY 2013 Base procurement dollars in the amount of $1.410 million support this project to provide resources and equipment to perform analysis of Dinitroanisole (DNAN) and Nitrotriazalone (NTO) wastewater treatment and recycling process.  After development, this project will provide the data to purchase and install equipment for pilot scale testing.  DNAN and NTO nitration produces waste that requires additional treatment.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","6-4a44c4f7defff3055794b38f1bd892ddea064749eeb036bd25e7611f16477fe5","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","1.095","1.095","","5133578","Mitigate High Melt Explosives (HMX), Pump Grinding Technology (Predesign)","CXM-11, CXM-9, CXM-10, TYII, LX-14, PAX-2A, PAX-3, PAX-48, PBX9501, PBXN-9","","","","","","","","","","","","","","","","","","","","","","","","","","1.095","0.000","1.095","","","","","","","","","","","","2013-03","2013-03","","","","","","FY 2013 Base procurement dollars in the amount of $1.095 million support this effort to examine pump grinding technologies for production of High Melt Explosives (HMX) B/2 and HMX B/5 while improving safety, quality and capability for these growing products.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","7-5f48e5752fd6a83f757e856647ad241c588e413cf5a0528e06e9e534d3b75512","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
