Name_val,Location_val,Type_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Iowa Army Ammunition Plant","Middletown, IA","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","25e8b748d37f38ed418d843f8caefe98c808e0e98002ee6c6fac7a2e30b888b1","0-a487bc3d460a4ec2b0bba972c88012c079e3ddccea4b89d489572e023ea52fdc","551-b663e40c7ae15de12bd1f6a2951693156abc2facbe37f754082ab6085c63f7e4","root"
"Redstone Tech Test Center; White Sands Test Center","Huntsville, AL; White Sands Missile Range, NM","GOGO","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","25e8b748d37f38ed418d843f8caefe98c808e0e98002ee6c6fac7a2e30b888b1","1-ea502263261ae0001530496924d76a27c7bf9362ab807058587f5984f0e1b533","551-b663e40c7ae15de12bd1f6a2951693156abc2facbe37f754082ab6085c63f7e4","root"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Lake City Army Ammunition Plant","Independence, Missouri","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","2-ba0fe4e60d66ef23a8121ec570c8b83c1136129c5319827c0a83ebb9a931b9fa","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","3-0350eb06549fc5047f150339099c01e5a76649c2780080902f9a5587092104a4","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","4-74b1055da26fac4b5c814abff3c931d3f1e6a9a1403f8430678a269b25904f80","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","5-86e314ca909ce12fd1aae3f353b2e3ff17b58f527eceda7a948ce53634f2907b","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Various Army Ammunition Plants","Multiple","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","6-08a8accc1faf2ef1b995676566b05e73b89e1cf4730ff349d2f3d22f95b0ba91","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
"Yuma Proving Ground / Aberdeen Test Center","Yuma, Arizona / Aberdeen, Maryland","GOCO","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","7-86abefb219588a6656c6cba28b375dc34617f517751a78815bd3b0370556f3da","585-d9d994ee0bfb6662755fc54a77065bda5cbef0657e54534e124ed4fea12f1c1b","root"
