FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,ItemNameSuffix_val,@PARENTROWID,@PARENT
"2012","77","2013-03","2014-02","19","19.400","true","2012-04","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","9b61234d81d63166f24ad258b5e55dffeec409e2dd27bb2645028bc0cc61d668","0-f682717fa28fce17fbf398a2ada7c5c0b46a1e58d6d2ee2c77fe263354f0cf40","","","0-9aa4d7b35e7058850b4282b0d96ed523beb6a92db8e767564d9a6fe2cad7428c","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2013","77","2013-03","2014-12","19","12.045","true","2012-04","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","9b61234d81d63166f24ad258b5e55dffeec409e2dd27bb2645028bc0cc61d668","1-9b92e252708b39f54b1b1e39725e3566e69fb732c037189fb29bf805ff51880d","","","0-9aa4d7b35e7058850b4282b0d96ed523beb6a92db8e767564d9a6fe2cad7428c","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2014","77","2014-03","2015-12","30","9.458","true","2013-01","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","9b61234d81d63166f24ad258b5e55dffeec409e2dd27bb2645028bc0cc61d668","2-4e6e6e863fd98b3a578e94584e1bc7ed5cce6238bbdfaf2d1d7792c3aa316e4c","","","0-9aa4d7b35e7058850b4282b0d96ed523beb6a92db8e767564d9a6fe2cad7428c","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2013","NAVAIR","2013-04","2015-01","3","5.000","true","2011-02","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","2646edf56b0a2f35eb384cabca2534ac2cc070221cde934447c037bbc8c8d2fd","0-547f328b34524245d9bde148dfe0e6ca0432b8052c8baa78edd86c0f4d300ef0","","","0-704f8d6bfe65831de4de7521c37ddfe7a7e1a1ba5eb7c80c42e22a274f73ee3a","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2011","WPAFB, OH","2011-07","2014-08","1","9.877","true","2010-12","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","bd8d3703cfac5e9e892e26e724cf56264b9f965383fa3d44cc73d8d7aff20159","0-5fd314e0fbb69260a5160c27d1d7eef9095c75143bfb9358c5f4f914f1985874","","","0-93df493346900e97f841725b0fbb342a15e2107f27893ae8a4dccf8e7b405c72","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2012","WPAFB, OH","2012-03","2015-04","2","10.000","true","2012-02","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","bd8d3703cfac5e9e892e26e724cf56264b9f965383fa3d44cc73d8d7aff20159","1-7ef5a665f4c543542e3a6536d0751390db56d7501e77d24796ae04601c04a7a7","","","0-93df493346900e97f841725b0fbb342a15e2107f27893ae8a4dccf8e7b405c72","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2012","TBD","2013-07","2015-12","3","23.833","true","2013-05","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","7d6024d0805daa28a288cfe9e56a9395294a4bb690e51891da9ecc5630b114e6","0-6d121ce50543ddafa85b478eb98c5dca5a30c2434d10547d4098d0c5516c93fc","","","0-1c89b79a6f125f2d645528fcd54bba28b1954980a13a36a8ab8fe480eb7e98bc","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2011","WPAFB, OH","2011-07","2014-09","1","11.055","true","2010-12","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","87fe378a0d0a4ac2bd7f5599a847577c8b84352d788084ef2c6af33bc809e3d3","0-2cfc41b485b491bd0fa366c28690b8b3bc3c232dbd15e28f762c63a4266ae5c8","","","0-6807a156030af18aa23507b729f1c0b3a1acf90339523ff8e4444237a565b4d8","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2014","WPAFB, OH","2014-03","2016-09","7","10.000","true","2012-10","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","87fe378a0d0a4ac2bd7f5599a847577c8b84352d788084ef2c6af33bc809e3d3","1-8fb0a47da1542c3699f0f32bc0574b5527cabc5d6d4c307f6c735a8d9594a92d","","","0-6807a156030af18aa23507b729f1c0b3a1acf90339523ff8e4444237a565b4d8","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
"2012","WPAFB, OH","2012-03","2015-05","4","10.000","true","2012-02","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8006d245bd699020fdba3c4b1cd620c2f5d69d075a47574c25b22402c14a21e8","0-d620687fd743e2c3a354f39bc3b940659dfd62b8ef09e6c5238214a351e3b9aa","","","0-9543e4e34e272aab6d4de007b490dfec6aee16145ae255982d3007aae269fc83","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement"
