FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,ItemNameSuffix_val,@PARENTROWID,@PARENT
"2012","77","2012-03","2013-08","19","2.651","true","2011-10","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","9b61234d81d63166f24ad258b5e55dffeec409e2dd27bb2645028bc0cc61d668","0-018f32f4e10a996412fee5c1abab44d9ac09eff2dd9ca9c26ce8bae489edd864","","","0-0ef74f397cb4822fa24d11fcb465a709afc98337ff736b14e8cfef83edbf1626","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","77","2013-03","2014-05","19","3.397","true","2012-06","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","9b61234d81d63166f24ad258b5e55dffeec409e2dd27bb2645028bc0cc61d668","1-b1bfc2f4591aa2e546a83a61ca86d216a4b6b803cfba5ba31f3c5bd7f25ac7b7","","","0-0ef74f397cb4822fa24d11fcb465a709afc98337ff736b14e8cfef83edbf1626","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","77","2014-03","2015-05","30","2.668","true","2013-03","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","9b61234d81d63166f24ad258b5e55dffeec409e2dd27bb2645028bc0cc61d668","2-182cfb673206bdd47bcfb6c01fae3b1fcc5135a9845bf97cd854d8ff5e6fe4f8","","","0-0ef74f397cb4822fa24d11fcb465a709afc98337ff736b14e8cfef83edbf1626","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2012","77","2012-03","2013-08","19","2.651","true","2011-10","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","49e6ebb877c28b1a5a5ad3ec630e9669d0f205b4790c66bd50e69d037f2b0687","0-567740d53c0fb4cca5dfa7c247c72790327c783a67de1e13b6b684ed248333cc","","","0-7dd27f6a85747769f07eb3d249bc3095a71252c98addad47eb2f114bc47eab84","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","77","2013-03","2014-05","19","3.397","true","2012-06","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","49e6ebb877c28b1a5a5ad3ec630e9669d0f205b4790c66bd50e69d037f2b0687","1-3d203808c0452943964a713eb0895be4e2bde87123b0c2d822c9388624abca0f","","","0-7dd27f6a85747769f07eb3d249bc3095a71252c98addad47eb2f114bc47eab84","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","77","2014-03","2015-05","30","2.668","true","2013-03","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","49e6ebb877c28b1a5a5ad3ec630e9669d0f205b4790c66bd50e69d037f2b0687","2-e50212c411064aef0bd93f27f156c2b3735ee1ce03da3179c6487c9cdff137a2","","","0-7dd27f6a85747769f07eb3d249bc3095a71252c98addad47eb2f114bc47eab84","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2012","77","2012-03","2013-08","19","2.651","true","2011-10","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","6ab9e29ac3b8aded689164aba8dab423bb75c52b5172bcd81d5d2ac7eeafb8ff","0-3118e2a09e1277374f7f2d28256c7b90f40e145eed3b700eef42984609535f1d","","","0-dd88b346649ef2945dccbe9a08d3969d082c19e7f1e9fcc3d8940bdcd38673c4","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","77","2013-03","2014-05","19","3.397","true","2012-06","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","6ab9e29ac3b8aded689164aba8dab423bb75c52b5172bcd81d5d2ac7eeafb8ff","1-1c49118e276897a5f018becd88eeabbb693cdb1a502f903d1d1af7a532876439","","","0-dd88b346649ef2945dccbe9a08d3969d082c19e7f1e9fcc3d8940bdcd38673c4","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","77","2014-03","2015-05","30","2.668","true","2013-03","SS","FPIF","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","6ab9e29ac3b8aded689164aba8dab423bb75c52b5172bcd81d5d2ac7eeafb8ff","2-cdc3ea27276ccddde608fc2ccec536efd38c7de5b0d7fed3dddf552a53243843","","","0-dd88b346649ef2945dccbe9a08d3969d082c19e7f1e9fcc3d8940bdcd38673c4","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2013","See End Item P5A","0001-01","0001-01","0","0","","0001-01","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","0-08d1665021142e562d0177d19c77ccd048ea8bad529758395c6a639a707fb7b1","TBD","I think i","0-585057e5acbfad4308dcda18589c593f68fe86338dd2cd9252e0300fb19b54dd","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
