Name_val,WhenRequiredInMonths_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_P10Manufacturer_Name_val,ManufacturerList_P10Manufacturer_Location_val,ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_RFPIssueDate_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_ItemNameSuffix_val,QuantityPerAssembly_val,@PARENTROWID,@PARENT
"Other Government Furnished Equipment ()","12","12.624","0","0","0","","0","0","0","0","0","12.624","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5de403107085bf74fb9fd40854df952a9081ddccb6363319c405b20f72d8dc83","0-d5906087e77ac9b091cb05242d8e22644c4f5837c8abeed0588ed7e2ddb030e0","","","","","","","","","","","","","","","93-e729079dcc7f23a24f83ecfa56f86a7bac8a2a11a30d45253ac199339cdc9d64","root"
"Other Government Furnished Equipment ()","12","12.624","0","0","0","","0","0","0","0","0","12.624","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","9a2ba94a217d82096f332eb52ba7ddeaf76b99a2e5a89a7ed11986588d44548b","0-3634c0c9d23e26f4bc467c656e6f36873c97a58567fe41b060a38ee973425e81","","","","","","","","","","","","","","","141-d3c031e2749c801417754f7ef0e25fcf8cf0942860d1056e56d38f02e7ad5857","root"
"Other Government Furnished Equipment ()","12","12.624","0","0","0","","0","0","0","0","0","12.624","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","6d2a5a5d589018a44e3cbf52cb1c912bfc2ae7ebfa3167c185f32baeccefdb83","0-ba9a67334c9d5b66b0608548338fdf6979dc0e839530a6f246de16a930bc18d9","","","","","","","","","","","","","","","191-0b7cdad460e77e104f998e064624603485bb3587e17cd9b769f1328032662162","root"
"Other Government Furnished Equipment ()","12","12.624","0","0","0","","0","0","0","0","0","12.624","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","87fe378a0d0a4ac2bd7f5599a847577c8b84352d788084ef2c6af33bc809e3d3","0-66e71da719a9fff650d4a6d0956ef4a764b7abf20a8b6da0d2fa4deb9992d80d","","","","","","","","","","","","","","","703-8042ce277aa9bd5ab9f5806eb2fcf662d18499f17e247acea5e7e998839eecbb","root"
"Other Government Furnished Equipment ()","12","12.624","0","0","0","","0","0","0","0","0","12.624","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","488edd08a4134d4ef47f67932aa0e770dd42909fc6ec080a1be4113faa890508","0-12aac5121c96a423bb3f12c224a0a0a7a45bfee6ebc6d27454f12388e5d340da","","","","","","","","","","","","","","","750-ea232c1030c6a048a2a9239213060d710753a584a09c5d1dfbf304f2cf54cf11","root"
"Other Government Furnished Equipment ()","12","12.624","0","0","0","","0","0","0","0","0","12.624","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9de913aeb6567c0d4534e57110f9dda8f4ab9f2890ebec10995f16b0056b8d4a","0-82bcd36acd1204e2747fe865c7a6e7cc4e096f446836d0c0a7c45314cfdb6da7","","","","","","","","","","","","","","","797-a4a43a364a9d5793e405283a136c41261fd75b7bcc2b566856fb4476e7fc8046","root"
"Engines T.L.","0","42.363","5.367","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","0-f88c66d5af736ad41813c64db8d23ffbb38722bdc5d397007925ee1e2d791650","See End Item P5A","See End Item P5A","24","24","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","2","1557-ced96d51181f0dd6aa40aed9dfb7680b58ef2c962c806fe0b41347ac48770764","root"
"GFE Other","0","27.983","0.299","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","59eb071a2b8c27825df619eb2437ee7c5c84f3ba541674a32571545b2cf94550","1-b35105e3ebbb653d412eb1dca7e7f1c9364f2ff701e766e4e79976717c69a1a3","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","1557-ced96d51181f0dd6aa40aed9dfb7680b58ef2c962c806fe0b41347ac48770764","root"
"GFE - Engines T.L.","0","236.277","17.326","16.872","12.727","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","0-6a4f69dc6fbd1ff38fc2768235184e82ea4d6244e27c619a585fceb3ee3fc9a5","See End Item P5A","See End Item P5A","14","14","2013","See End Item P5A","2014-01","2014-01","0","0","2014-01","TBD","I think i","2","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
"GFE - Cockpit","0","270.202","","","0","0","","","","","","","2014-BASE_PROCUREMENT-2014-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2014.xml","d9f1e0fb0d1c8f37f7cf1fb8789cbe4e3f3cf2139c15aa9e23860a1278ea6cc4","1-4a498733ea7e09f2b9476a4d79d5a9b8942f91b068dd8b99e47f1299b905d7b6","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","1","1561-de9790b5d1be169601eabb4cb03421852a4010a5db6948d5471400129683e320","root"
