Name_val,WhenRequiredInMonths_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_P10Manufacturer_Name_val,ManufacturerList_P10Manufacturer_Location_val,ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning,ManufacturerList_P10Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,QuantityPerAssembly_val,@PARENTROWID,@PARENT
"Parts Obsolescence Study","0","5","0","0","0","0","0","0","0","0","5","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","fca533df846db3c85fef57959a7c2a50b39c4c9c125c40fcf279343767b5cf2d","0-28b71b41b20547b1b8940ef3082b2277ced271e20422ed51b9c69f932dcb2231","","","","","","","325-fdb6f3aeb767916bec605088f6be452b9e7e5babc0ddcdab9fbd4dac510e9e30","root"
"Advance Funding","0","380.438","227.172","0","0","0","0","227.119","246.476","0","1081.205","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","fca533df846db3c85fef57959a7c2a50b39c4c9c125c40fcf279343767b5cf2d","1-7165e01991ca1f1e4222b0812668325c62df92048ba6d14e687312a2245d595e","","","","","","","325-fdb6f3aeb767916bec605088f6be452b9e7e5babc0ddcdab9fbd4dac510e9e30","root"
"Advance Funding","0","200.544","57.788","0","0","0","0","0","0","0","258.332","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","648a07469f004adcc738e84c76d0bef18b5d87435de896664915380c55bd6660","0-0b74cdf3ad68cac90e62935485c61b9fe9f450e0dda9cd5f5e80dd0581cb60d4","","","","","","","327-67c0f20ae7393becb4f19247a399048ed510d31ccf4aba1dbc2aede5e04923e1","root"
"Long Lead Parts","0","80","0.000","81.811","82.616","74.167","117.855","119.993","121.828","0","678.27","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","df1c2cd88ad0500ad4eea734cddff0f6eac1ac04319890f22b9cc2ebbfad0b2d","0-28f51395085a3e613dc321653925d61bf3988d5886ae080443b2f23c1fd05efe","","","","","","","329-5d6656beae08b7bf5cfad5bd5e3c2ced063ca2c58cf003600c785721c05bb287","root"
"GEO 3 Long Lead","0","269.419","0","0","0","0","0","0","0","0","269.419","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6d5ffe2e36691c4644986d0b4db0a59417606b26ba9720aadff233310ca0027e","0-81746f682c961f9cbdc60913831e118b0699a8e136b0655a7aa2ec1366abcb87","","","","","","","336-6514c89a3f813074637ee4dc7d65689b169d8072e7e5df80ca952419536c2c4d","root"
"GEO 4 Long Lead","0","277.999","0","0","0","0","0","0","0","0","277.999","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6d5ffe2e36691c4644986d0b4db0a59417606b26ba9720aadff233310ca0027e","1-b116ef01815400edb63f7501f3ef91cdf822e36e0ec7cc980763eba2cad6b608","","","","","","","336-6514c89a3f813074637ee4dc7d65689b169d8072e7e5df80ca952419536c2c4d","root"
"GEO 5 & 6 Long Lead","0","0.000","243.506","243.5","0","0","0","0","0","0","487.006","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6d5ffe2e36691c4644986d0b4db0a59417606b26ba9720aadff233310ca0027e","2-89e17465d0b45c406d2e57347e53dbff27f16726a68cca8bd7d823eb09138b53","","","","","","","336-6514c89a3f813074637ee4dc7d65689b169d8072e7e5df80ca952419536c2c4d","root"
"HEO 3 Long Lead","0","124.555","0","0","0","0","0","0","0","0","124.555","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6d5ffe2e36691c4644986d0b4db0a59417606b26ba9720aadff233310ca0027e","3-08ea9dd4e87cf3660c3c172868fe5a237e56c6a39032ab2c63a11a731fefe784","","","","","","","336-6514c89a3f813074637ee4dc7d65689b169d8072e7e5df80ca952419536c2c4d","root"
"HEO 4 Long Lead","0","53.596","0","0","0","0","0","0","0","0","53.596","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6d5ffe2e36691c4644986d0b4db0a59417606b26ba9720aadff233310ca0027e","4-d2b7892a918b1854db6fcd85211dee08b74cc3da772c6592983a4a29a9dc6ca7","","","","","","","336-6514c89a3f813074637ee4dc7d65689b169d8072e7e5df80ca952419536c2c4d","root"
"Parts Obsolescence Study","0","5","0","0","0","0","0","0","0","0","5","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","255c26749dc5188d24ea856a736ec9172de44d09c0225265e1d5284f7bfecfb3","0-764336e88b94671991f8a3417d7630361351e3a522b4eb7f955ada7a85785145","","","","","","","351-7b9307bce4575d5b13519917fca6435a3fd07b9accd552f5087ac7aad95a4d27","root"
"Advance Funding","0","380.438","227.172","0","0","0","0","227.119","246.476","0","1081.205","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","255c26749dc5188d24ea856a736ec9172de44d09c0225265e1d5284f7bfecfb3","1-a45c6ab0b5e6067f23f56739f9846f7f0d9a07585a813787e060ec5a8cb044e9","","","","","","","351-7b9307bce4575d5b13519917fca6435a3fd07b9accd552f5087ac7aad95a4d27","root"
"Advance Funding","0","200.544","57.788","0","0","0","0","0","0","0","258.332","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","47124093ee8f4fb73eb5f522f72d6b3b59a42f26c0f084fce676673da8facf32","0-55961c3fd445b41bab522811084164a8bcf0511ad8fac7eee928085011bbcd46","","","","","","","353-5af7d0ed74deca2e31423c58786dc0ab9c4279cf37d614154bb32ae980fb7904","root"
"Long Lead Parts","0","80","0.000","81.811","82.616","74.167","117.855","119.993","121.828","0","678.27","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b9717af61d468e082aa4fc887ac1d17fbfe1a825bc4c8f2baf0f00775d16d15f","0-9a6b3e883a218a7a28807c343d5120c703343d5d60083a4c1d6bfc46b41e5849","","","","","","","355-5b4f7d38fae130e4e429af19cb31797c77728f7af8472d358cdb8af88b166f62","root"
"GEO 3 Long Lead","0","269.419","0","0","0","0","0","0","0","0","269.419","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fca32ae8e60a21370b480077c2e670b3d36aecdad5eb1086c2190ed6b3840f9","0-8e4056927f6724f82318708dba49375b4c71f143111e48cdb148f4c89356d5c4","","","","","","","362-c0002e98a8c2fbe514c15ae6f10725459985f82682f9c39e4871ed1466ba55f8","root"
"GEO 4 Long Lead","0","277.999","0","0","0","0","0","0","0","0","277.999","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fca32ae8e60a21370b480077c2e670b3d36aecdad5eb1086c2190ed6b3840f9","1-b4dd379909e9a5672aae2f0124495013d7c529a974a3b19dd9d713ac78cd4f9f","","","","","","","362-c0002e98a8c2fbe514c15ae6f10725459985f82682f9c39e4871ed1466ba55f8","root"
"GEO 5 & 6 Long Lead","0","0.000","243.506","243.5","0","0","0","0","0","0","487.006","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fca32ae8e60a21370b480077c2e670b3d36aecdad5eb1086c2190ed6b3840f9","2-cdd6c49cdf2c37b955c321c0352bb33d262ccdccbddfe7998da3ae41ad8331e5","","","","","","","362-c0002e98a8c2fbe514c15ae6f10725459985f82682f9c39e4871ed1466ba55f8","root"
"HEO 3 Long Lead","0","124.555","0","0","0","0","0","0","0","0","124.555","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fca32ae8e60a21370b480077c2e670b3d36aecdad5eb1086c2190ed6b3840f9","3-c54751de8eb8f235630364302d963ff540ab3bc4f37fb1a503b76344b4626254","","","","","","","362-c0002e98a8c2fbe514c15ae6f10725459985f82682f9c39e4871ed1466ba55f8","root"
"HEO 4 Long Lead","0","53.596","0","0","0","0","0","0","0","0","53.596","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5fca32ae8e60a21370b480077c2e670b3d36aecdad5eb1086c2190ed6b3840f9","4-1a869385d2f81c0ebcd921f8379d4408504bb639d8a1c6ba69e5fe8c0e9fa35b","","","","","","","362-c0002e98a8c2fbe514c15ae6f10725459985f82682f9c39e4871ed1466ba55f8","root"
"CFE Airframe","6","2820.52","52.18","147.041","36.73","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","0-848a9cc26557ec5a56a37f19173f2c623ba23a2e2067aea3a32f27aba6f12e1a","See End Item P-5A/NA","See End Item P-5A","","","1","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"Auxiliary Power Unit","3","14.619","2.328","2.57","3.82","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","1-e87a764a9f270535492f34d0224513e4e1da74449924f60bd4df2da9f2611dde","See End Item P-5A/NA","See End Item P-5A","","","1","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"Engines","3","234","37.926","41.86","62.213","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","2-a48aea49a8b611230aabed223922bd4d2c0b757d1522ca059e71b24446c64551","See End Item P-5A/NA","See End Item P-5A","","","2","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"EGI","3","38.866","5.78","6.38","9.482","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","3-917b65303c4f7cae2d55813770f3457ff6f1ade4338577ce918920ea3b88b957","See End Item P-5A/NA","See End Item P-5A","","","2","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"Heads Up Display AVS-7","3","12.064","1.748","1.93","2.868","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","4-347bc9c3160bb09435d637e70e3ea3654118bba501da7195c8ba5b4d7b33412b","See End Item P-5A/NA","See End Item P-5A","","","1","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"Hover Infrared Suppressor","3","28.2","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","5-2d1d4200cb9352e00e87eb2b68ff470da9ee0e34e50973a32e2b5cf971f04eb1","See End Item P-5A/NA","See End Item P-5A","","","","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"Miscellaneous","3","1.914","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","476bb125e872c0c70d28a29765f57e9cac786010a7a090c46cbccf23e3219f96","6-1cbd51dbe3d74278652e118fb192115da32f629178e5e2a3e22ab880c820ee37","See End Item P-5A/NA","See End Item P-5A","","","","503-3c509f965cca07f50f8d020975ab8e7dd02916349df120176e12cf8963563173","root"
"Avionics","16","33.339","26.543","48.382","33.338","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","b4c6cf926d2b336db794238f2a4386bae34220d6a1901227d2ac2527ad9022b9","0-e63f26dd902572e5ef875c977a482ecfba8aca2a0792673d349c6f5f0843651f","See End Item P-5A/NA","See End Item P-5A","","","","505-d6111e85b893911d35bead23c73628637a6dada233197bb3b25571ff3830317a","root"
"Airframe","14","49.94","39.815","72.574","50.008","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","b4c6cf926d2b336db794238f2a4386bae34220d6a1901227d2ac2527ad9022b9","1-9f471a58fdf161db970a0b55a32d3044eabd782a8974ff4eb28e4bf9474caf1c","See End Item P-5A/NA","See End Item P-5A","","","","505-d6111e85b893911d35bead23c73628637a6dada233197bb3b25571ff3830317a","root"
"Apache Block III - Reman","12","69.253","160.237","192.764","107.707","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","955003074ccebc6720a490ded3729c9bdca8cc7b01fd76b92fbcec69828c544e","0-80d5f0b2c616acf356b42490148c96a276d990a451455f687bf013f23398163c","See End Item P-5A/NA","See End Item P-5A","","","","538-1b336b8289ddd3e211146d8eb66a0d1487e58205fe9ff1bb90d9f1c63a54f02f","root"
"Apache Block III New Build","12","","","104.263","146.121","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","dfa13d6ba9123d0f64c1462a9ea1e0b6ae62d2813da1972863d56a7001b06112","0-ba5352db9cb9437f0e9a79d9688221eec5295ae6db175d8e5604a50f7529f5da","See End Item P-5A/NA","See End Item P-5A","","","","540-068a0aaf74e07eae6486831ffa4990b8ec4b3b3cef12d6741404b765cc63bd16","root"
"Warhead","19","","","7.687","7.698","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","0-d197d97c52b01298eca8ee56fe1355b347e180c81fd8ad5e893d5d28641ad150","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Launch Motor","14","","","1.547","1.537","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","1-38ac3c0218c85f0557b5b136ea2c3f1e9771ce5763809e749a34f8ffdaa1969b","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Flight Motor","12","","","0.291","0.289","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","2-8b418f86e0252970eadd52675cc170d7b4b9ff852ba42af4207b3073f21f97a4","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"2B Sensor","18","","","4.623","4.705","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","3-4732a45dd5365ec04b3e3ae38b6948fff650872795a5e15e71a74dfb19d5e421","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Gyro","13","","","2.645","2.628","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","4-83cd476617d8a84546936327478132ac8faeff40ae136a38efeda78c35a42b47","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Flight Motor Case Kit","10","","","0.601","0.597","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","5-a9eb0dbf56dd23d7840ee0714c042c6e0178517da34a4e4524cd9f9df81f1b5e","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Control Surface Actuators","13","","","1.565","1.555","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","6-df1855973dbad6ac98622d6bf261428eb150d6bcf9ef73699834e1851dc9a5d5","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Beacon Shutter Actuator","11","","","0.927","0.922","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","44b5bf338c622cc883179b29baa0eba496cc1459abebf2456f3403445a6c39e1","7-89e3e255a1e41073c975685f7e0e92e3efb276a2ea82851ccfc21af48b3ec318","See End Item P-5A/NA","See End Item P-5A","","","1","556-f919daeb92d1b219474a5bd7a3b25f7244a3a899c050330304e73075d7b0fa78","root"
"Long Lead Parts","0","95.999","81.811","82.616","74.167","117.855","119.993","121.828","124.021","352","1170.29","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","28b13f43bf3c9204df28d14742096359999d135bd7377ce37d00969774dd7bc2","0-19f4af893d9b6cb50d9087dce1fd3d75350b97cdb168be4f615d732633bf0aef","Lockheed Martin","Newtown, PA","","","","933-d2093bf3ee3b3a52086578e3deff1eaa721bb3629cd972c088d845a0d5224478","root"
