Name_val,LineItemNumber_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOneOCO_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_Total_val,Cost_ToComplete_val,Cost_Continuing_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MDAPCode_val,P1LineNumber_val,@PARENTROWID,@PARENT
"A-10 Squadrons","81","0.000","1.777","1.855","1.629","0.000","1.629","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","0-1c391702a74ed819320abcdeb29367ad5d3d954d4f1f63a434595a51ff6057ab","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Aerial Targets (Target Drones)","81","0.000","0.52","0.468","0.522","0.000","0.522","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","1-eb64dbe51c111bd70a1280100e4768d6cac28dc2dfbd4a396ef0722375415de7","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Advanced Targeting Pod","81","0.000","16.017","4.485","2.061","0.000","2.061","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","2-28ee1ad812498f248ad0a20143e0388592b69fecffb9dfde99bb6d40c9936693","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-1B Squadrons","81","0.000","12.455","12.121","17.988","0.000","17.988","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","3-fd76b640f585363353556944e772bf3409853874e5561395fd8773e7ff2312c4","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-2 Squadrons","81","0.000","15.005","12.131","6.481","0.000","6.481","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","4-59f43f12893cc5b0562c5f092f1756f99afa1d714daeb25e755ef55f90fe6be9","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-52 SQUADRONS","81","0.000","7.006","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","5-38bdf73fdb94b222a5a5289b4d97dfca8ddc6eb967eb3153e3bf49080ca065e0","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-130 Airlift Squadrons","81","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","6-d34b21f34b89199baf1671a7ebcb2fd1916497949369c4d297bc1994a700001b","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-17A","81","0.000","0.000","13.626","7.955","0.000","7.955","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","7-a6bef2c1f62f57588415876a7361c69f87d80c9847956ba1e7d038e3e48ee239","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-27J","81","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","8-32016f4d4c44d74da837483d42e3c3e73143cf9e5dbdc1b6ba2b40253b96ddd5","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-37 Mods","81","0.000","2.147","1.578","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","9-8d9c4ca023fd65c69ac7ce540567af33746ec0d3d49c3891c1a95f8d39032e16","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-5 RERP","81","0.000","0.000","116.175","117.186","0.000","117.186","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","10-ff89479e47f2c72fc3d4c6a154f356fdde4de0df6368c4608bb7272b2539def9","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"COMPASS CALL","81","0.000","53.461","62.007","28.663","0.000","28.663","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","11-6f63cc994975bd4389ee0474639fd568da6e53cd91f3ad74ec2633d5fbf2e314","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Combat Development","81","0.000","0.134","0.122","0.136","0.000","0.136","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","12-d6870ea5521265738e97ba5533285407bad9a1d70856c639566e2e700e8c88f7","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Combat Training Range Equipment","81","0.000","1.628","1.466","1.642","0.000","1.642","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","13-c062092e21994b9238d1763e4f81ebcf58b55c222f000422ccbdd53c7499e7dd","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"CV-22 Osprey","81","0.000","107.911","56.752","90.374","0.000","90.374","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","14-d5d2fdf937cb5554ad145499f976fa38b7964f0af542150ed0ff58ecf8cafc00","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Airborne Warning and Control System (AWACS)","81","0.000","1.031","16.928","17.498","0.000","17.498","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","15-3fcd90927ed6e3bd19e23eec379dfabff455265ab4e1745a988e33d44f3d2bb5","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"E-4B National Airborne Operations Center (NAOC)","81","0.000","2.089","1.568","1.392","0.000","1.392","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","16-e41fd948cc6c3253d6cc22c1ef20a1aa2a453edb52c4a232d567739e87c49171","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"JOINT STARS (E8-C)","81","0.000","0.000","14.311","3.422","0.000","3.422","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","17-def5ecc5d38837ec540f8ad52f925eecec90adc827194ad2c83f6b45714a80e5","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-15 A/B/C/D Squadrons","81","0.000","6.381","0.086","0.097","0.000","0.097","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","18-baa204117908d06b64602989dbcba54eb06677993a3b44523dd2c62805d04400","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-15E Squadrons","81","0.000","6.458","18.38","22.557","0.000","22.557","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","19-1dcec4a95751d0e20b951ee3c91ab11c34512b9595f061de4902f7e990bbb7c4","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-16 Mods","81","0.000","7.126","4.952","4.827","0.000","4.827","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","20-e74394ec16f019e0ab47134e67895a2965bc414597a0950bad9e97bc77e11a64","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-22A Squadrons","81","0.000","111.841","8.885","12.765","0.000","12.765","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","21-d842ae28efe4a418de6adcd2c4821f14bdbd62cc5fb78c020a01314f08e88ac9","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Joint Strike Fighter Squadrons","81","0.000","261.924","149.556","181.833","0.000","181.833","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","22-69f315a8c8705a83e94255b6703b82d0be5e8088e1f5da65f2c7b689a3e31d4c","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Full Combat Mission Training","81","0.000","5.22","3.238","1.4","0.000","1.4","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","23-1e500b8dd38f6f7d97aed5e61bfe9919f68e0ef4004b216dea864f86fe076edb","","","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
