Name_val,LineItemNumber_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOneOCO_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Total_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MDAPCode_val,@PARENTROWID,@PARENT
"AIM-9 Tactical AIM Missile (0207161F)","1","0.000","3.492","7.866","8.854","0.000","8.854","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","0-f1d014d117143cd101a2c2377aa229268c4368db30d55eda07355d4e75432751","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-65D Maverick (0207313F)","10","0.000","0.000","1.398","1.401","0.000","1.401","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","1-547b02cd909896df325af1c4bf5935897e93b2a86ef40466b325d5cab9c275fd","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Preditor Hellfire Missile (0201109F)","11","0.000","0.000","0.299","0.3","0.000","0.3","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","2-6cba78b71e8295a59811c7eedc92873d3cfecccbcebd7a2a3f86e7f90b978b86","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-86 Air Launced Cruise Missile (0101122F) (ALCM)","2","0.000","0.264","1.296","5.206","0.000","5.206","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","3-1bbfac07a2ade1f1baae914ad01142c863df4cff11aa1e48a46c7bc8f81d51a5","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"LGM-30 MINUTEMAN (0101213F) (MM III)","4","0.000","19.511","13.922","36.908","0.000","36.908","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","4-2c506b0e105a28ede2536d6a7f0137d325474869acdc5558a9b6c88ef357c7d8","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Small Diameter Bomb (0207327F)","6","0.000","0.000","0.000","14.755","0.000","14.755","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","5-8b154e354a53ace2b8f21088f32f46fa0e082c03b0a1f65d9dd9845b6e05cfbb","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-88A Tactical AGM Missile  (0207162F) (HARM)","7","0.000","9.919","3.401","3.338","0.000","3.338","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","6-6aea9a25d06c959d54bf587a357d39a6da30b6a5a3a432058f1d219cc0d86d1b","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-120 Advanced Medium Range Air to Air Missile (0207163F) (AMRAAM)","8","0.000","0.817","0.804","0.805","0.000","0.805","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","7-9e652c6abd4387c29e926bf36dc944a0a8ce0df5ca490a6b176a2047f053e4e6","","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-9 Tactical AIM Missile (0207161F)","1","0.000","3.492","7.866","8.854","0.000","8.854","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e5e916380019ca5320fd8c7359e69680d69a091e65552434d9e404847cde73c4","0-91889d1ac624ee15b51ea6eb8c6f04f06f9f9523c4d917ea97da0978eb73b29b","","0-0aa46e2f9458e2d12e585ceebefa7b73c1dbec0af898e260ebc5a1a67342bc8a","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-65D Maverick (0207313F)","10","0.000","0.000","1.398","1.401","0.000","1.401","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e5e916380019ca5320fd8c7359e69680d69a091e65552434d9e404847cde73c4","1-d5d17426446cbf7caf39c893fb9a486c91cc36675211bed91599192d721d2a67","","0-0aa46e2f9458e2d12e585ceebefa7b73c1dbec0af898e260ebc5a1a67342bc8a","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
