BudgetActivityNumber_val,BudgetActivityTitle_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"4","Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","0-065a01eed7c96215a43ab3873ca94f316d893d3df04ec39ed0a666334d34bc4d","323-597094895c5abc0027dbbea42e155360744317cd47751a9686c63a42e4c7018d","root"
"4","Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e5e916380019ca5320fd8c7359e69680d69a091e65552434d9e404847cde73c4","0-0aa46e2f9458e2d12e585ceebefa7b73c1dbec0af898e260ebc5a1a67342bc8a","349-aa4a7f0780fca5823c18c4ee16487410408a098069970ba34a7b68fdf6cc326f","root"
"4","Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","eb76aa25aa2250f63038a2459490458fd839f2d0088630d9ea793bca093bea93","0-521e3fc8820202396d00f87ea33f51fed9bb9c1ededa1e31ed9266c12e0364b8","929-e2f6f789f3c6d69fdc72464a0a547ae53af9cfb5440af2cd638c89838f5896e5","root"
"4","Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a707703519deee903435936fca6529a54a2ed01c6b8a2a8de629932260578d8d","0-82b956254fe2f686da7280b7c6fcf6cd6dd01619f0bf13231d0c2a81008e0c62","953-06971fbff45e436cc15c5778a6c23e2c5f3ffd1309e56bf8ed48eb6f906148f9","root"
"4","Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a55daf9ca8f93eeb4cc4385931880ac099c7ed6339ea7a8c4c5a57679670d46c","0-238d914e0828a59e0a4e8e632d43c5f181a1c6a7bebc4900ecbbcc80f417bed3","1889-8e81d9f0cbf336170e6647264288b70256cd1a4622f4ccc59b240f52c53e2dfd","root"
"4","Spares and Repair Parts","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","1912-e9e4d055a8d5a32c2a49ab8c851cb857bebdb747756c6dbe59d95e77f67c5eb4","root"
"4","Spares and Repair Parts","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","3004-ea768a312137f586060855ef25765ffffcf30199129356d8ce72f94b240b2fba","root"
"4","Spares and Repair Parts","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","3028-7c18e45c71d9414f922410849c41a372aa46e62cbdd91a67b6a957f1a9da8118","root"
"7","Aircraft Support Equip & Facilities","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA6-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","b40eae23784ed2b5692424a205eb181888bd3545eaa6eb463572005a97d5c4ea","0-b18b780ab7601ce148d6364eba8dae34af0a75a2312d9327e12841f01de00164","3640-d8f396b395bca06324c343185c351b3569c108821aeef115764cbfa4b84a726e","root"
"7","Aircraft Support Equip & Facilities","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","841fbf40f595d8021dbc0a659b6cecf93db33119978e563d683d6ca0c564b97c","0-edf4983fa808bd9c4aa0f8772e3d67526b086b56676b661b6b017c77f8b6b727","3693-16a1d78491e4dff3546281d93b5220eb652f499d332a07357b9591c3e0b7b6cf","root"
