val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"MHU-196/204","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-f05090eac4825bd37ce1089e89afdc40707d31ddae8d0b7cca6e7d16d0dbe87a","0-d572b1af0adc91409b3d2ecd959f2817d5e9b5faa5455142abaa8619ffb97ffd","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-67dc29128ac44e783fe3e4c78fbcd3cca7ad8b64f602c5829d69bd96ec246731","0-1ec83cd30f07bdbab8ee08f6d72671b4f46ece729674b3262b97e87c5d119c36","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-114547b9eebc24c6603d160f0e049ffb1a55a6ef9f6ec9854ed6f309c49a53e2","1-fd20dbd4fbff752ebde27b3e0a94f225a2e9759f992f1e8840f06332db69f1b8","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-1B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9bc81fde20876de83e5fb3699813037cf0e2d90ff1e771dfeedd599a589110cc","0-665ea3cff2f59cac1fee60ac4c8a678a33582473f2037ad3de4497bec90e6f54","0-e35f44da7d253ae3ef88d59b07fbb9cafd09a6dec974789a2822259952dbe365","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-1B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9bc81fde20876de83e5fb3699813037cf0e2d90ff1e771dfeedd599a589110cc","0-7d52c75ea5679e7433594dd8f2880c5d9cb0b70431a4a332c2810f7bca06e06f","1-c2a0467c1d6c26ca9b817c1ccf55bde1870dcf46fd7234f507ec8268bf1fdda3","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-1B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9bc81fde20876de83e5fb3699813037cf0e2d90ff1e771dfeedd599a589110cc","0-c86d0762158c3a2cbb0855fe8c13c95ef35599f5505f3f53fe94976a08c1c56b","2-90b31e035ddc74655420af7f51cbb932e81e9202e8f86033f5f2823a729fd0d2","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-1B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9bc81fde20876de83e5fb3699813037cf0e2d90ff1e771dfeedd599a589110cc","0-d170fc255319940ce20615f597752fae14e2041534d76e1f1188dcb566327610","3-beabca5739e83856064b43a32d1998f3c21f1b6b99af242a5b8af7e0d9b668d4","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","0-84914704a261c57319cb17cd35670c2dd70eb04b7a65b6dc678547167bb7f9a2","0-1eef0bac8c8b9520478d8a1912dd9dd1a4d17185a8cd7202b3c9091e789ddddb","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5C","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","1-710aab4105f4dab02f66d5b8900de7ed0235a80076a439ffa3d6cb207345637b","0-1eef0bac8c8b9520478d8a1912dd9dd1a4d17185a8cd7202b3c9091e789ddddb","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5M","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","2-5a2abd799159266cd36897ccf0c04e8d140aa20357b0c644569f2088865bb3cd","0-1eef0bac8c8b9520478d8a1912dd9dd1a4d17185a8cd7202b3c9091e789ddddb","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","0-3990450efb6480fcac4fb64172eb6e2fe851cfad449a0939b563d832e878fa7c","1-0f0dc06f35abddfeea935ad6fb8c776363fa3ddeb1eec2a0fd8f1eaca40b504e","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5C","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","1-865f96d132ae2e9599bd5b28b14fc2fceb8f0b63d471a54efcde877153c83aa6","1-0f0dc06f35abddfeea935ad6fb8c776363fa3ddeb1eec2a0fd8f1eaca40b504e","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5M","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","2-3133a42dddcb285498e39435d2ff5c0ec2c658a4c25f3599e4499b7edc731b16","1-0f0dc06f35abddfeea935ad6fb8c776363fa3ddeb1eec2a0fd8f1eaca40b504e","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-5B/C","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e049539817dd22b34918c2c0be8271bbbd79d6b6a486234ddff8e6be076c0e3d","0-b453623c536f9b67261a33b36083a608ae96f86d03fada1ae01e0720ec4a4512","0-77b0b65668541b1aef76a85e79f5c27e27df5c3f58abb133fca8947bdf6f3f05","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-17","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-974b757d01fc574549b288b1fdafd2a4c39c40f6a5529e6274ba05334ef207c3","0-cb0d0cdccb862be4ffc9e069aa6af5c94bd55eff571968b495a37a3a18d9ec4c","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-17","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-ac5005406c31ee79d625b40516416dc0bab80936277c2257f0f211a842d41b2b","1-3a0c7cc0a0baeb36d002f5c53765a5348f7822972e8dbcb42092dbe3340f9d32","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-17","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-70042f5564418647866f27317013439feb41b81414ef5afd5330b5ba055bab3c","2-f1d194e605ecd3c1f5f067338c7ecd64b64bd6b63d3a1d83d4c4292e8a57b304","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-17","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-11a5a4d6670212fbae7b0ac77f95959d37c4b9dacb58c8af095cc5d40374596d","3-ee0dea9e99689b43d9a8198dbc5ac6116231a4330069737226d6225990bb2293","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-17","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-73083f792a29a9d9465a901e49382ddb57773647cc163615ee33384d836d3f99","4-6b244261b29cedbe6364fadc347d93cf320f5d82f50c0a791de9e56ca470bf78","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-17","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-88b6f38c905c6095a2136b894fafca68d293aede7eb8cb3d922543ea30b9d0cb","5-2989f5ea737985a896188e4dd9d34932c9f6e7e8999171a011deb2176d95eb1c","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-32A","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","f868d5bf55e2e9d6c0371b9f426291ab29276cc30d93ffaae5535d57b3241072","0-4e7bc10d2d4896582156a526d6ae16b07c38c3e5e3042732c33feeda6143bf46","0-e19065533eb825550c6d98f75e50460df47fed5955fae2eda3e27cbf6b5f17f3","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-37A; C-37B","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6167a0889fafa7345cbbe0e87980f26e5f42a8fa1a49ddcfe9fdd14c46ae711c","0-84018db9b04ea31a4b07192ca488b9de28a57f96af0dabfe99db3dd82642e19f","0-9c9bcca897abdf87bb4df0c7d9925f703e8b9e9e87c88fd5736cfc7bb60ac6fc","root.record.ItemExhibitList.P3AModificationItemGroup"
"T-1A","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","61971b6d93d090165872882c8e5f295e3554e8b237ccef83f6220767b15875cb","0-aa301dbbcc060aacef25aaea74a247f9769cc4c5a71f45da6537d51eec79863e","0-3faf2abdc4e777e43c250ffaef792bc144539f56ceaa976e0e9c392265e9354d","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-52H","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-6f04822fbad43d25b763ba0fb42498b6a55e9e95661f93f5c34190eb9c6cf0c4","0-5d4cbd1f8bdcc8b27dcc9aed0811d7a954df679c4bd666ef7c00a78c9ddc5979","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-52H","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-683ba89e1ba2ad9928bdb154409e394f4596ae5da181ea310be453d106899a87","1-9e8234cb93bca499847da74b6ca0165d328f6cca605b6615b2854a417ef7566d","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-52H","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-e52587aa6ea95f05b30ec439a21bfd692ac96cde56a8dfa9858b5f7b5c86bb5e","2-0bd0373903a0ad8c416fb4d59207056c0048e1035aad00dd3e9b5932a20d00bb","root.record.ItemExhibitList.P3AModificationItemGroup"
"B-52H","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c18079498214be7c8507bd7289056635ea6ba000e7bb766e68a998d56e53f49a","0-56841735a674a83378264205609a89c379e34c03f6287cb146666e7ecd79f4d8","3-914bba601e45511944122b9fa26d46b1bf1fa8196129f001c6aaceaec732d13b","root.record.ItemExhibitList.P3AModificationItemGroup"
"T-38","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c56a6f37538fa0a193ca2c8da2670869a80d7e57f66d2f0deaf8cea86b79dea","0-2fc9fee7dc00aed50cde16594441ba6a837ab11b3542caf36cbd5252e9626606","0-812497686bdb991274d3503b1171d1936000b321c5c2a90937c8c8d8c4faa3d3","root.record.ItemExhibitList.P3AModificationItemGroup"
"KC-10","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a186459ef488b17957ca457f19c9f47c19d3f53fa20e6c8fc934b523e94fe7f0","0-bbbe34c0cc8b098a36de92f7222908a86e94d7d61bac4a31b044e97008821452","0-d5f1d85578f1aae75c3a46b55d4a96c59c4f702289d6e8ff7a66a2c58edd91ca","root.record.ItemExhibitList.P3AModificationItemGroup"
"C-40B/C","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","53d7945676125164b374451c801569abe5e85e372ac58d7177fd8d3439b86165","0-ee6b1738c9d97f2942d4d9792c0bbd0cdfcf3302af90c93d660b7da7bb3cc01b","0-64010ac92b0071c4ed18d881058347fdca70f15cfad72d6b597c96430a02d689","root.record.ItemExhibitList.P3AModificationItemGroup"
