Name_val,Name_@footnote,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"1.1.1) HH+ VDL A Kit - NonOrganic","","9","1","","","","","","","","","","","3.375","0.375","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-b0f0526b62d8f2544475a636f14cda46d6404027f5cafd480f7a9419949f217f","0-f7ec4865c0941e846e7656128ab66452edb9fcb79585c16d5647d5677da24671","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) Harvest Hawk Plus A Kit - NonOrganic","","","","4","","","","","","","","","","","","0.979","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-13c928b29b9507f4c22bd8de0db8308e7ad674bea37ec11c0043d400a1d450a2","1-991d67efbce0afa4ef5a9767011ebe2ddc575e1cec63330af4935dc4399fd097","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) HH+ Radome A Kit - Organic","","4","","4","2","2","","","","","","","","0.2","","0.125","0.064","0.064","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-8db0c140f201832e9eacf2fac83b2a46943a0da594e367beda8f50de161c3d65","2-db429c579e88248e6f28d38a5d9a63907732bca00c24b4b84d6090405d95554e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.4) Weapon @ OWS430 - NonOrganic","","","","","1","1","","","","","","","","","","","0.4","0.4","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-04f537759a118242aafd5c1da93c4d7c74e2ef8d6e0c43ceb16f07a2ebd49a20","3-f2956ef248ef6896c6238300e02eff89d498b0ff93a67c194043a7e22895f146","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.8) Archive - Organic","","","","","","","","","","","","","","27.684","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-282d597ed885a3ac1b70e014baf8c0b0c003e52135f445bcf2ea56ab751ea225","4-816b3be3bbc7ca62dec0c2ac4ec0c579be401210f2a2b91a7404e587338f01b5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","1.998","0.772","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-9d0a8d41b9874cd855b11e417d7b9b57cd579858f4225ef3e4ef451ffa807bf2","5-30e5eed4a5d5db0cd7c515ecbfdf61b8323bb2faded591cef377ab3ee9e71c3d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.4) Weapons @ OWS430 - Organic","","","","","1","1","","","","","","","","","","","0.216","0.216","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-90dfcc869985451926ddf2d4f45426f62cf8a513e0e354e727d2e05060fc5821","6-d1e3161b8dc5869ed3659cb64d2c1799f3ec0bdaee2338464a7d82f405e2db89","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.5) GFE - Organic","","","","","","","","","","","","","","0.782","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-766a1e6880b5f4fd16c474471db398bc1e031552a5e6a776c9b61f582de7b15c","7-d4e4181cf3bf31eebd7bd28496c19df5610b4b97e2e27ed61eae4619ba0a387e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.6) Archive - Organic","","","","","","","","","","","","","","91.48","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-e939ea0f2ca784a7edf35c18aed694615c7188b850b8008b6f0c4af7803b1a1c","8-4a617ddf579ad6525b64f68c33de578474ff43370f6afa96132a777baea2d8f4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","20.287","0.288","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-3f1fe2858e538eb9874a3facc92de3d0be4b978d0a1f2f01e5a5713f4dc5ba19","9-09045ac0897f8d279cfddde3830065933c0312703bfe9aadb62eff81dd0bf03b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.7) HH+ Testing - Organic","FY18 increase for OT test.","","","","","","","","","","","","","","","0.45","0.473","0.473","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-b4dfe291672684e2604045fd30d7ba4ab659b151d1b2da32b53e650d45c35463","10-69f423c3ddd210a9c3dfecadf8a7a83985a815e466b3cc90de00b896127e328a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.10) Weapons @ OWS430 NRE - Organic","FY18 NRE includes engineering, drawing packages, TKI Kit and Installation.","","","","","","","","","","","","","","","0.7","6.287","6.287","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-a6d92526edc4d22e980a277b20ec628cb7019d8ac8b11225dc90b42be61f9dc6","11-969aa41818cb35767438fd36e32a000a8b520a05c92ba5e00048c7a3a1734bee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) A Kit 7.0/8.1 Block Upgrade - NonOrganic","Block Upgrade Kits long lead time 18 - 24 months.","","2","","6","6","","","","","","","","","2.845","","9.054","9.054","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-2882eb47b7c694e9f82bc2870f9c2e38adea1233b6dc5c926b973c16963e5e66","0-91586dcb3113451fe7a492dbff3a2e29db7acacaa2023811c6e58a5389eef899","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) A Kit ADS-B Out - NonOrganic","ADS-B Out interim solution installations expedited in FY18 to support 2020 CNS/ATM mandate.","","","","25","25","","","","","","","","","","","0.133","0.133","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-53566a051f4fbf0bbfb352d00d8e3de3e1d8524644c837d79b6d8c73224356d6","1-a11e230584cae368b91137870ce960e1266d88d1579c32b760a57cbba39e1cf0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Installation Kit N/R Block Upgrade - Organic","","","","","","","","","","","","","","2.163","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-76efb8521d4eedb1c0b2cd5d6fd6c5e7bcba2eebafd438f473f13b29f6ba59a4","2-b42ca6ea12b01aafc6254ed1f631a6e67ef6003e1d03b49b03101b7a1c0da112","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.1) B Kit 7.0/8.1 Block Upgrade - Organic","","","2","","6","6","","","","","","","","","4.424","","14.081","14.081","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-10172cb20356f8c50fd40dba6f4428c941e368a6f5d9889572fa2e11c6786754","3-cd9f19a9fca4580d465d111a4dcacd4b861e943122337596d99300ae38b03c3a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.2) B Kit ADS-B Out - Organic","","","","","25","25","","","","","","","","","","","0.454","0.454","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-5512237c36d9d7af075bd33ca0fb6677c343263dce17ee7cea4064367062b0c0","4-434f15a696ec9b6b59744231166f9f21823b80185a228e6557f0b7d1c01d12c8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Kit N/R Block Upgrade - Organic","","","","","","","","","","","","","","","3.494","0.95","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-d686ea20f46bea4d61283ebb38c674863b9c39cdfe30cf8f8aa5ac8e8fceb811","5-cdda62b27b791ec9bd697738d732f6946064f2b77081b871b2e9fee09ca1b755","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.2) Installation Kit N/R ADS-B Out (Test) - Organic","","","","","","","","","","","","","","","","","0.628","0.628","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","1f0b77c1a058846449a676e34c388b920d6a6e062bbebf07e9607bfb105407d2","0-229fb92ab345f6ac701de898a364938c8bd36ce7b45de71c6936ca742cd474b8","6-175df92c612e37486677dcfd1b237daf15e6674a76437adb646580989c9d5041","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) Carbon Brakes A Kits - NonOrganic","","16","","","","","","","","","","","","6.306","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-c81e6fce460d2b4433cf7e01e98485eae5847ed0fbe071918612c065299ee524","0-95ad80d87fb00285c56406283335e772905f9861623b031ddeb3c160c1fb4670","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) Seats A Kits - NonOrganic","","6","10","","","","","","","","","","","3.354","5.286","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-c21fba8c25bd075ed04633fe288558d1f994885434cfc0097e3a414e7c66581a","1-162e0e6c405e5160ba53862fc7b4b8510f9e00d327f2bcfbf67793d7d6d55f4e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) ADS-B OUT A Kits - Organic","","","2","10","4","4","","","","","","","","","0.015","0.153","0.078","0.078","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-e0105f49029c81d0f85913928279ab0738be884c144bbf75e1fa377605cf7a12","2-d23ca851e319046bff0e7999dc46e4a6118881bc8e7ee4b0b9d5f39d4680cc13","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.5) Fuel Tank Sealant Upgrade A Kits - NonOrganic","","","","","3","3","","","","","","","","","","","0.825","0.825","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-a47e5866881a97d5465dbd06e9327865ec2c4dd8f5e38c1bd78d2800376246ed","3-6cd94f2610530a6ee42a728f8bca9b3d18417c703d9b05cd005bd5f8815daf4d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.7) Archived ECPs - Organic","","95","","","","","","","","","","","","2.984","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-883fa9e0c5872aa1eeb4519be33592f77b34eb82c4132e7f57343f4b792acd2e","4-efb8d160770cc91e5e8ed0ca32f772b8cab24942d6dd183af298532b40707d1a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.8) PY Installs - Organic","","94","","","","","","","","","","","","3.614","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","071e889951e3145384f26c1018f59354f792790c082ed4a8c47755b0a0f78f17","0-b180c664050bf443f1e70bc67d893c8b303ed882d952b4f65ab7b76beac47312","5-2ec3208b798378d9151f8c2fa362c7fc1f882a6866f20b7d01241b3300fbd7d7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
