Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","5","118.144","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-60e8d7eb3eff0fec6d0d1b5cb6ee8dec545d4c50e28d42b8691b727431005ad7","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.199","14","1.057","15","1.158","15","1.158","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-468104cefa2a42bc1c08fa324f70a2fe210db4642a79fa32536875248c02ed3c","0-cbd3e5544094aa4004648973c93322c198ad219952f453cb47108b6982463016","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","112","47.246","16","6.288","15","7.995","15","7.995","444","166.815","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-2ccbf6cdc5d0ec9527c98983c1652cf7ee6b9fadab947ff06a61b5f032f1ba94","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","16","6.288","8","4.264","8","4.264","16","6.917","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-e6382c380b2dfa67e546b387d841a07a5b24c6339f6f0e004fea952d65acf350","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","8","3.144","","","","","35","8.581","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","2-4c6b15346f71c79bcf42a927a67dd973a272aa2d8725afa1c1dc8c3bb8841d04","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","5.134","2","4.656","","","","","6","16.071","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-6088e17274cb6ccfca75711cf44c32ddf38da8e598875153218e3041ce39d327","0-dfd763f25d9246447ab856a0834c848ee1c76df693e217e8dd048411b3bd39e8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","14.533","2","11.941","","","","","4","30.39","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-aa6193c2bf4fb587b96c8c9a55beca5bf8d1849de8d7c333c19c0ea0861c89c5","0-059b8274213250edef2f402ff4a2a3177009c3dba78284a544e5e173401b68dc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","2","5.063","2","5.063","","","16","15.8","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b4a0a1f5bffbc93a1b835110e4fd293de1a2d0177a43de726dcfaa581bb20cdc","0-caa9449c983338cad777e3d9dc88c9843053836c2a68c11a562881e637bfa941","0-eefd51f3294ac8a74ab70ffb476755cc2dbb752d8231df6d4228d4124475e303","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","26.481","6","14.539","13","33.839","13","33.839","55","129.871","4","10.292","1","2.701","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-cb89b4b8c385fbcfde5a2089afa8b8bf04d882b061add7d8316c2c8022992416","0-fba390c13d601ef34aafa005068846453fd30d01fa5bf90b0978594cb653eec0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","1","2.207","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","1-854ea399501261f8743f64df195b85733064de7e6a2b66a3e67130ad1357dddb","0-fba390c13d601ef34aafa005068846453fd30d01fa5bf90b0978594cb653eec0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
