Name_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","1","26.404","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f9967fa42b57731954068ef520219961b9e7c3b2bb4bc4a87f98c5625c6ba5a0","0-8268f83041d4b61bff69546dda16ab85e4aea75ef39f0a2c1ca1d6db05e9fc60","0-1d919b827a974efa588ff00cf3ac107e0abf0fc4acbbe2bccb5e55c4c8001dab","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","cba0cd297e6be791ef2bcfeb4e56f5ff9e6fbc950d55bc245b5871e2429867bd","0-2419566e3c81c61dc5b91d31a0006bfcfe6bb42af0281db298e61bbd61a776ab","0-d51f6a5783aed9e2310bb89c2dcc33fccf3db9a40458cb076ee3e8d171c973aa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","3","10.305","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","beedc27ca541947adf319bb5b1b581dfd5214e64502e92cc1fff70badf58b344","0-d7487440130026317e3bcc997646633a30a31725abb2f94aba1a2d046f585492","0-ac67acc78d83b39019bb52f79c387ab0d182cd0c9f551a40b67d6126ad97dc03","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","5","0.25","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","1b69f888ea8ce167d58a275c92aa54a5c14d3e3ce7280432298742ab6fb44e8e","0-ad7796cc89f69372b7d27f1b8b06c7a90fe0f82dba221956494c8e3d253787c9","0-ea4d7a4963e103d3ea9c3a547b76c9e9c3084d4f51064dea486d034ccfd7f103","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","9","0.965","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","55ff224b0c16f6229c62c5aefbbcc36d0cbf265d66b4c8a46704c153db79c343","0-952a3421db5f13e214bcac818647eea39809bc20edfdfaaf7e41698b3aec5520","0-035ddf9292657b9f61d3966294bd2fd3835939115df06f48c88e5d41a6620da9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","158","45.735","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-be6a0d540c28b284833a9cb6041da32d7a843fefc6030497749b4845807b994a","0-21c9316c486d868515b74852133e5f86f360053a1fbdb43e713d344e73e68cf7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","20","5.789","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-9508759822f2aed140184de87e19a14d93dda74eef49fa4f52501d40e2a52d74","0-21c9316c486d868515b74852133e5f86f360053a1fbdb43e713d344e73e68cf7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","14","2.15","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-2fecbde27a575310e2fe8c992559af37d9e9619e5d87381d758c6d63b6517a53","0-1e87e4cc9aa148ecea7972ce441aae44e9d2554162c906a01eeec53f238f97a3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","26.404","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8ecd181f0be17491705fbab80b4dd0105939c12cd6f64d3cc41b3cbd45586462","0-07dd19218646fec584c27c6d82056e91eaeb2aada74ad2267ac9ee7297d660d0","0-feed0ea3d17d467333061285b823f3f7ba39a9f3576f86ede8c65597e55f9fec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5901a4c8b0d4adfbe277a0b6d649d7a40850cdab63961f7b77d26372c000f59f","0-71af75fb25f826c4b211986db6e4dc56020b9e18befe2e48857d0a37b168cddc","0-e6b000126bccf5df2bf25dc7f715565f23ce0a194e07122fe8730630625f8bdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
