Name_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","33","4","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-0b9dd7197ca56571b1ddbdf4aa6c821c5df66b22bbf9682c731167740f45948b","0-767dff231ea5c8784095c9e4efa52d2c25995162e1f3b0f34be815bb6b7fadbe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","1","12.74","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f9967fa42b57731954068ef520219961b9e7c3b2bb4bc4a87f98c5625c6ba5a0","0-e5ce77019746a8fb58dbc7811c6e60833caad2fa076a027430196b0f07af7c1e","0-1d919b827a974efa588ff00cf3ac107e0abf0fc4acbbe2bccb5e55c4c8001dab","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","1","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","cba0cd297e6be791ef2bcfeb4e56f5ff9e6fbc950d55bc245b5871e2429867bd","0-ceff13366c96db29ae57223c36877770567b7e1475d50a4810b8e456886706e5","0-d51f6a5783aed9e2310bb89c2dcc33fccf3db9a40458cb076ee3e8d171c973aa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","1.07","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-c663ce25c4dc10e5a5358bee694878756947b0c6e31352b4037a6f2a26ab5fb1","0-aea9f4e88d26d130ac04e047b8f4ce8df8447d82ee0927e58be8397b367a9934","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.913","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-a8341ec4254f116327ab265b9299ed4ac145fa9baf8c87d2c9b8a6ab95bad413","0-3d6bac344f42494acf5447a7e28b81c0270b9f4042398cd18b39d8476d7c5984","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","1","1.8","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-f2c50780ddc7b9ad556ee4e0794fb88d5190f41a61cb8eab9a2a3176e0e3e22d","0-58192ef9ed952ea8fa595ed9a6ac6337e0ec8cdd0f043f4c230c53b045fc2eec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","16","4.615","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","0-2d1a19450d0b5607fc1bc0e67965a28cdec2c0c55bba5cb634e72be2a2484d5d","0-1cc3997bffe8db38b2101249a6848488b4f060207c32686be7a2b0e9ee88a002","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","19","5.48","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","1-fae648ac941c0d55ac4194c315bda947ff16f8bafbfe41ad890b09d11b5bc065","0-1cc3997bffe8db38b2101249a6848488b4f060207c32686be7a2b0e9ee88a002","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","5","1.442","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","78e2884d018f5c61b9f3aa102f3ee0123bfb3460e832ac75daa9d44670eb2be7","2-32676c9499c91bcdeff32110e8a61f8d1b59517cc0d183b3661fa707c8eb92c9","0-1cc3997bffe8db38b2101249a6848488b4f060207c32686be7a2b0e9ee88a002","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","10.866","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8a13fe62ec4f7c8fb1a395fe3c95a9da56a7659c28f1303bbf32769f2e9c4bbb","0-b183c1b8410f21440c89fd0f74b1689e7283342f66bbf7c5eb05f2111a0d02fc","0-9f9152007e57ade129ecf957d4f5a6c4030bf973c4f1d7d9fbd5a302f99b0ea2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
