Name_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","2","1.767","9","7.462","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-05c38756d599c52e3c6f090e5222d152514efa1e71a71e6e4221e023eb6204ae","0-454277a80590bab07e4fc505f2f8daafc6872d625f2cbeeb279e334c8473c74f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","6","10.361","4","7.151","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-9a32ffcc184ed1c17c2cd0f59f4e660a2dce0174ab57e2380663984cf9470b87","0-c8cb219a15c1128aef9973f737b3941d863be376e73d60c955b161e425bdfb1c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","6","5.604","4","3.869","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-a8be49c558305d401736af5a4a459afe27c4948321fca924172e7bc80e851cb4","0-013b33dfdfc390ce38ab307e53e754bfe80a4ade95dbfae712b8d3bf8b3b9a01","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","8","3.076","4","1.772","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-3ebf582c804ec99a6fa1684d43911ce30286423858ee3dd2b80bac8ae4c9484c","0-173f9fa3aa9d2136d733703ef51a78a08d83f6437a2dc106478e97f9dff92da6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","6","14.876","4","10.277","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-0061da3afcfc5302d0235af3fe5fc0406ed57485677febf8992d41a08d859961","0-374a7787f4c30c529f873f1e922b6710acc3294d03d9a1d46602b3f295d73af5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","6","154.352","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-9996be1420bc837e08124f6b3b0901c4d1f45244808a51ad64281dae330cdf35","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","5","129.163","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","1-695052c6424bd0449368543c19eabb5dda736bfb3f80698425c278bac8006bc3","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","29","2.606","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-656019e702f1ef389866c2a1126b923b042a518bda05b20fbd6ea863c3bdc335","0-cbd3e5544094aa4004648973c93322c198ad219952f453cb47108b6982463016","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","6","2.964","42","28.35","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-c971fbf972d16957901854a04b8eed951832478bb6da2c2747bf7ba25c5ffce6","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","24","16.2","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-f6e258aa413b38f4a347ad79b0e3c4e765eb5caa4ea4450d3c1374d5e7a4efba","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
