Name_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","3","5.364","2","3.727","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-616de6017ff079b9421cf86cc3c174d0bed6bed74a8be098f460bad1ed6c18fc","0-c8cb219a15c1128aef9973f737b3941d863be376e73d60c955b161e425bdfb1c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","3","2.901","2","2.017","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-f5a978f04a5139e237b079cec16920e85e8ab9b33ef9dece2a32547158c48e9b","0-013b33dfdfc390ce38ab307e53e754bfe80a4ade95dbfae712b8d3bf8b3b9a01","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","3","7.708","2","5.355","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-e492d7b7214596157396e15df65a1fc8541cf61b06769511825a4882e6081b76","0-374a7787f4c30c529f873f1e922b6710acc3294d03d9a1d46602b3f295d73af5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","11","232.737","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-69342d4306ef4fbe69c7d0ac8d3536f10be141b9ba21012826d2f30ebe327e10","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","29","2.907","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-b7dca4b19583c5223a38b2b86d41e21bf3e909defb864b6e2a5ca0abb0bde515","0-cbd3e5544094aa4004648973c93322c198ad219952f453cb47108b6982463016","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","33","3.238","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-7f47ceee2318db3cc4f0cdb6f1ad17b49064d067ab2d29a1ceeadea2a5bd5fcd","0-767dff231ea5c8784095c9e4efa52d2c25995162e1f3b0f34be815bb6b7fadbe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","5.298","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-efde85612e29cd99eec1423963274d8d9ecaba46ed18705cc52523de669e80c0","0-dfd763f25d9246447ab856a0834c848ee1c76df693e217e8dd048411b3bd39e8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","15.099","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-e6b8efe35499c6f3514fe4b79545a8c99d895fa07c83fa88ae86c5930224ea41","0-059b8274213250edef2f402ff4a2a3177009c3dba78284a544e5e173401b68dc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","24","0.632","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","0-fdfe7b82e21a6ba163af7b163631a3d491bf6532e48271abcd66b057a95eb41c","0-65a673a5a5dd0cfe185879081df114cb9a04f8fa1ac6efff145e43ed07e00bd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","6","0.158","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","1-fe8b0e814db79a8b0f7285cf1c5f7bb6b559b1caf5c346a1d96139fe1d25a08a","0-65a673a5a5dd0cfe185879081df114cb9a04f8fa1ac6efff145e43ed07e00bd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
