Name_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","1","2.709","3","5.558","3","5.558","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-5316d9229eac91fe0752ef3bfe59dad75ce69632e3bcd960026b134ad1218b34","0-c8cb219a15c1128aef9973f737b3941d863be376e73d60c955b161e425bdfb1c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","1.384","3","2.999","3","2.999","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-adf20468e9a27e24134a80388fca51dbc6dba90e25b3d0d788555b91a9568707","0-013b33dfdfc390ce38ab307e53e754bfe80a4ade95dbfae712b8d3bf8b3b9a01","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","2.539","16","8.485","16","8.485","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-97bb392152673df3c839563061c5d5bf1c82554c9a063ee30072e5c0a46817af","0-173f9fa3aa9d2136d733703ef51a78a08d83f6437a2dc106478e97f9dff92da6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","3.214","3","7.765","3","7.765","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-efbb249d905ac29222332f29da5b56fe202a45d48366333b679490e3b074778e","0-374a7787f4c30c529f873f1e922b6710acc3294d03d9a1d46602b3f295d73af5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","7","137.523","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-8f7df837b409288370cb58343d430fc7820ea7828c8ecece4dd8c3ea6a4c6579","0-0e294da383ebdecdd6e57948737b495c78c0b4bf2a5b5bdf06212dd588482010","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","165","87.945","165","87.945","59","29.146","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-be3e21acf327bbe4334054587c3205e7535ee3ce3fb02c709a0be99d2152d22c","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","1","0.494","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-7e7295e463753191799de16eafcdf7fb88b8d17dfa67c51b96cd6a183dfa0c07","0-28edd9db4da6e6b4807f1c764e48284a77f7f7d0e82ec4ee31399d7850a6acdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","12","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","66a2e813f9095cffeaf362a268485559e78bdf9106ddd06206eb478ca0f810f9","0-45772faf5a20000384cbba277dc72baa4b87ece59c37928b5f8bde3d6b23d1e8","0-3dda79bf2ddc642cc7ec4b6adb00685ff79fe83cd4e44e81ba66b97149d9ba2e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","1","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","cba0cd297e6be791ef2bcfeb4e56f5ff9e6fbc950d55bc245b5871e2429867bd","0-469fdd419d357aea8d7a123301f8229074586de282fcd1f9d45cfcd126f2ece6","0-d51f6a5783aed9e2310bb89c2dcc33fccf3db9a40458cb076ee3e8d171c973aa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","6","3","6","3","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","2e1d78dbc8d2c1ac56746831c9e5727c31091ed30cb43e44e5083d349a5adfd7","0-8484c4afbf702d7afe4e7393e956b3804dd1c415c26226710642091ad13e64ad","0-aea9f4e88d26d130ac04e047b8f4ce8df8447d82ee0927e58be8397b367a9934","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","","","3","8.102","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4d2f558fd3af0cbafb6ac42f2ee8588f85e0942e85da6af717ae34179a25fb62","0-80b72cad8e204f2b73237b6fe3d69c7d0a8e7f152d648bb28ff7d315e67e5203","0-fba390c13d601ef34aafa005068846453fd30d01fa5bf90b0978594cb653eec0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
