Name_val,Name_@footnote,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_Total_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","1.921","0","0.000","0","0.000","0","0.000","0","0.000","0","1.22","0","0.000","0","0.000","0","0.000","0","3.141","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-e94a8e222ba31f5f677977298c45a41bbe0eba56e47f2a5fbcdc9896e8308386","0-1677e30208cb81a1dd8921ffe83e2535369c5d27a3f19b42ed4e3e0d46b04689","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","17.99","0","0.21","0","0.13","0","0.135","0","0.000","0","0.135","0","0.14","0","0.146","0","0.152","0","0.158","0","1.086","0","20.147","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-94ca05bceec23462cd9fa2cabf551c091e5788c731be5a061e3a41ca628b4d2f","0-d3db462fb7fdde9f18a1632d97dbdd6537c3ae964c39ad64750cfdd55142df09","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","43.976","0","0.21","0","0.134","0","0.139","0","0.000","0","0.139","0","0.145","0","0.15","0","0.156","0","0.163","0","1.336","0","46.409","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-770c67c9b799da1ff96f266c43c6a3b5d229f900c19d9e64bf3c5a63ccc0ffbd","0-8be27730b499bd13f076278f7b9704fd3088493184e479071b52c7c827410b4e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","0-3d4e8d0dc1a70c5fbc9c7a184ddcf8376d80c60078c66a1e022285c86b30b8e4","0-e5b69231058266a0a82f7cdcce05a0e76c3955899b54d54cb6e8c06295574078","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","1-6cd4e3134d3f2315e8ce4b7b5453bc40c174b0ad8a84a59a68c15bd0671111ad","0-e5b69231058266a0a82f7cdcce05a0e76c3955899b54d54cb6e8c06295574078","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Reserve)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","2-b220e0e86c0e892f04fdbb8fb5c6220e9ec37aa6c6ea7fe3b16f76c4f1278da9","0-e5b69231058266a0a82f7cdcce05a0e76c3955899b54d54cb6e8c06295574078","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","12","5.635","13","5.234","12","5.227","0","0.000","12","5.227","8","3.866","6","2.35","0","0.000","0","0.000","0","0.000","51","22.312","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","66a2e813f9095cffeaf362a268485559e78bdf9106ddd06206eb478ca0f810f9","0-25accc3238819d31ccabf6adeaba727d17002bf1bdcaedf840de4fb5696e2f51","0-5b205052a4fddf33d8db7ab6fecce72194bb158bfdc5ff33369be7d5c2b43674","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","1.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b4a0a1f5bffbc93a1b835110e4fd293de1a2d0177a43de726dcfaa581bb20cdc","0-84f30c48748f1ed8d629297379110f7be6642535b51a888a223180dece16e8db","0-cdc1c305a16534c4be3633287f1525ab7bd1933c891f98d9e2b1710258b746e5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-29eddeb9ab34278c150dd38af657e617dee75d62299005521010f14bc6b5f792","0-5afc794bd2847e2405791fbb4d631f30efcab14ec2f9091024ee7860f611729a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"KITS NONRECUR Group A (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-d064285b03f03480f1a5448113c7e7d7b6d63087f181c0e4725e67cbd603c280","0-16736c3c7a1141bb293d5e65bd6e7568dbf6adb497fdf8e73d48930f202943a7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
