Name_val,Name_@footnote,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_ToComplete_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-56613df3a0ebfb371243bd9e0fb8ca2a3d98ef1694f73f1a5363893c919b6ec1","0-80dde2444bce1b92074dc27d741102408a95c66a856d984fd40d03e7ae061598","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","7","0","0.000","0","7","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-25baa197685ba310f6eb54c16404ccc1e509a78d0076a88edacec799573f3c38","0-69fff8c6ecf29379209d43852d0d1bf0e3c48059979dcc91e423cd70c0168c93","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","36.207","0","9.48","0","8.631","0","0.000","0","8.631","0","8.173","0","6.377","0","6.693","0","5.484","0","5.24","0","86.285","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-d55358d3ca4b6ee3c29ec14ff994dc2ae98257881c2183219e05ba87e58aecd4","0-c748542a8b6e2fad9a7309a89b7c60a9ab12e463b289a36a2b63f2abc79dd627","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","15.349","0","3.684","0","4.505","0","0.000","0","4.505","0","4.823","0","2.934","0","3.414","0","3.155","0","2.187","0","40.051","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-64c568e2ceed05764c9d58b7887b174fa98efc0f1e06ee9350bad236a95288ab","0-57f3a0197dfe5565680160ff809a24b6d64875edf7e1b960e016134f535f6376","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","8.071","0","14.07","0","3.027","0","0.000","0","3.027","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","25.168","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-5b132bc13fb3776f0bcfb3d8aa42d12a8f34ebe7134142ae499542ba1778fddc","0-67b0238a0f4e2b2212247020602e7d4e01d06fd3d438ddc74b7d234b182c231d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","10.458","0","2.682","0","4.095","0","0.239","0","0.000","0","0.239","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","17.474","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-53f260a39a38acf6f3b260148a0ba9d02cad43630ea69d639178cafed8bfd7ab","0-7b256182f84c3d6327c82dcbad0730b3579aa31b6055e5ac3fef4cfddacb5000","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","20.924","0","4.781","0","4.102","0","0.000","0","4.102","0","4.488","0","3.307","0","2.699","0","2.628","0","2.62","0","45.549","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-c0368be3dfa2575018da254c0274e37b44ffd0d80e21903c37f488c139253710","0-7790ec1866160c07c5c3d8c653045e951485838c8093548e6897ad2a631bd420","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.06","0","0.000","0","0.06","0","0.06","0","0.062","0","0.000","0","0.000","0","0.000","0","0.182","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-cf40d00a089b6e71864045e3a0cf81223ef8630e45a4c0027298cd85ea3ae75f","0-5afc794bd2847e2405791fbb4d631f30efcab14ec2f9091024ee7860f611729a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7f95dd75bf2114bf4d2e64dc73bf59014a2f5703906050baadffa60e23e7eafd","0-ed58184c25108c198609628ef456d2395eac914e1f81c48c62c74f377725513d","0-16736c3c7a1141bb293d5e65bd6e7568dbf6adb497fdf8e73d48930f202943a7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","7bcb6f6d45c43542b7f5ac6d84e9b8c61a05304670b11bf2fb4cbee320d2f60f","0-4a5e161c16fcd833202750d367d8f630094074f6c9fec98ea767d51ef236e9aa","0-589ec0e1d87f51ca0f820fa34ab7c5b33d51c0bfc7bcfb56dcb09df9d0188e6c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
