Name_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","0","0.000","0","0.000","5","29.501","11","63.251","0","0.000","11","63.251","0","2.17","0","0.911","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-31a4dc6b8a1126d164d70dc27f89381c84640692f219b7f9d1ba6c6ffcdb004c","0-80dde2444bce1b92074dc27d741102408a95c66a856d984fd40d03e7ae061598","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","14.887","0","7.453","0","0.000","0","7","0","0.000","0","7","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-454f6dba2a1fba7e0ed522114bc64eb39c4b4096b258069910ff4caed40363a3","0-69fff8c6ecf29379209d43852d0d1bf0e3c48059979dcc91e423cd70c0168c93","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","2.044","0","0.000","0","2.044","0","0.741","0","2.405","0","2.638","0","2.131","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-b31c9c3bdec3d03fdb7f1cc07e8662f2b7c5570f12bc62afb5e567b7c43d14be","0-78846ae1a1d9d3122cc20a1ce37f609eed48b4b61d9385cef0bcd6d6d537597f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","4","52.956","9","56.165","10","49.663","0","0.000","10","49.663","5","33.239","5","26.88","7","37.502","8","38.495","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-c9eab79a34a44651889be7fd7e79bc376754f94ae90ed7eb20901d8a24262d7f","0-c748542a8b6e2fad9a7309a89b7c60a9ab12e463b289a36a2b63f2abc79dd627","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","2.7","0","0.000","0","2.7","0","2.8","0","2.937","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-a34eb0df54e39056642137c38765fefcbc5cc17c80199d251c92131847ce7b95","0-a09b7ade9dbdb83a7016abb15761e7d14add8da562be409f9fb07c38faa585fd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","4","20.933","9","14.299","10","13.55","0","0.000","10","13.55","5","9.812","5","8.291","7","10.144","8","9.994","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-116c0f3ba896be88bb0d2884104ed313cd04df7ef38ea14545474ee53542f0e2","0-57f3a0197dfe5565680160ff809a24b6d64875edf7e1b960e016134f535f6376","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","17","17","28","33.46","12","12.962","0","0.000","12","12.962","0","5.35","0","0.459","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-b9e06c9abbb998b2891a50960fd110485f8b15782650f92fe02b185b1839c44e","0-67b0238a0f4e2b2212247020602e7d4e01d06fd3d438ddc74b7d234b182c231d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","22","56.631","26","59.126","12","44.302","0","10.512","0","0.000","0","10.512","0","1.692","0","2.586","0","0.242","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-36469822458dd59c01c8b223a74eabc1f40bec8c3ff94bbe1285148ebf2fa79f","0-7b256182f84c3d6327c82dcbad0730b3579aa31b6055e5ac3fef4cfddacb5000","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","0","0.000","4","27.086","9","30.658","10","24.076","0","0.000","10","24.076","5","15.647","5","15.056","7","23.636","8","23.664","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-e1e8e832b6020967ef5a0711f2ca912b216ae37be26acaffee464038596a46ce","0-7790ec1866160c07c5c3d8c653045e951485838c8093548e6897ad2a631bd420","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","5","0.000","7","554.573","11","714.336","6","475.02","0","0.000","6","475.02","0","159.708","0","74.191","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-db50e51225c4ce16f654f5bba485c7e886166ca20144e5f90fe4213b9c6bf01d","0-c57e77290212fdda930003088af0907bebb13760fccafb3236db7a0cce5ac6a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","1-ff2d6bc0bb42322ec60ecbb261cab5e90e82ea3f4b6ccdb3fd025ad10ce45e1d","0-c57e77290212fdda930003088af0907bebb13760fccafb3236db7a0cce5ac6a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","5","256.803","0","0.000","5","256.803","11","574.744","0","31.999","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","2-807c7c56f904d4a43ed56b8e7b9161f3d39fadaac8abe6beee2531f0d1f70562","0-c57e77290212fdda930003088af0907bebb13760fccafb3236db7a0cce5ac6a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air Force Active","30","15.701","0","0.000","15","9.899","29","19.9","0","0.000","29","19.9","29","20.743","6","5.336","0","1.049","0","1.091","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-46db84878dc8ea33487427e58eaf3b4d7c39cbf69b116ae8ef20ff7d7d19fb68","0-ec0947669c590e72c6fdc97e4810b63a6f33d215f529b0e8ecbeebd275b7ffbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","13","9.377","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","1-ce6ad07baff67146171eebdac73f7eb39c8b6128e5e827809c5452011003dacd","0-ec0947669c590e72c6fdc97e4810b63a6f33d215f529b0e8ecbeebd275b7ffbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
