ProgramElementNumber_val,ProgramElementFunding_AllPriorYears_Quantity_val,ProgramElementFunding_AllPriorYears_TotalCost_val,ProgramElementFunding_PriorYear_Quantity_val,ProgramElementFunding_PriorYear_TotalCost_val,ProgramElementFunding_CurrentYear_Quantity_val,ProgramElementFunding_CurrentYear_TotalCost_val,ProgramElementFunding_BudgetYearOneBase_Quantity_val,ProgramElementFunding_BudgetYearOneBase_TotalCost_val,ProgramElementFunding_BudgetYearOneOCO_Quantity_val,ProgramElementFunding_BudgetYearOneOCO_TotalCost_val,ProgramElementFunding_BudgetYearOne_Quantity_val,ProgramElementFunding_BudgetYearOne_TotalCost_val,ProgramElementFunding_BudgetYearTwo_Quantity_val,ProgramElementFunding_BudgetYearTwo_TotalCost_val,ProgramElementFunding_BudgetYearThree_Quantity_val,ProgramElementFunding_BudgetYearThree_TotalCost_val,ProgramElementFunding_BudgetYearFour_Quantity_val,ProgramElementFunding_BudgetYearFour_TotalCost_val,ProgramElementFunding_BudgetYearFive_Quantity_val,ProgramElementFunding_BudgetYearFive_TotalCost_val,ProgramElementFunding_ToComplete_Quantity_val,ProgramElementFunding_ToComplete_TotalCost_val,ProgramElementFunding_Total_Quantity_val,ProgramElementFunding_Total_TotalCost_val,ProgramElementFunding_Quantity_AllPriorYears_val,ProgramElementFunding_Quantity_Total_val,ProgramElementFunding_Quantity_CurrentYear_val,ProgramElementFunding_Quantity_PriorYear_val,ProgramElementFunding_Quantity_BudgetYearOneBase_val,ProgramElementFunding_Quantity_BudgetYearOne_val,ProgramElementFunding_Quantity_BudgetYearTwo_val,ProgramElementFunding_Quantity_BudgetYearThree_val,ProgramElementFunding_Quantity_BudgetYearFour_val,ProgramElementFunding_Quantity_BudgetYearFive_val,ProgramElementFunding_Quantity_ToComplete_val,ProgramElementFunding_TotalCost_AllPriorYears_val,ProgramElementFunding_TotalCost_PriorYear_val,ProgramElementFunding_TotalCost_Total_val,ProgramElementFunding_TotalCost_CurrentYear_val,ProgramElementFunding_TotalCost_BudgetYearOneBase_val,ProgramElementFunding_TotalCost_BudgetYearOne_val,ProgramElementFunding_TotalCost_BudgetYearTwo_val,ProgramElementFunding_TotalCost_BudgetYearThree_val,ProgramElementFunding_TotalCost_BudgetYearFour_val,ProgramElementFunding_TotalCost_BudgetYearFive_val,ProgramElementFunding_TotalCost_ToComplete_val,ProgramElementFunding_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0101127F","3","376.739","0","52.827","1","57.069","0","6.336","0","0.000","0","6.336","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4","492.971","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-9565e03af65826db1dac6e1996704f55bd8ca9bd78e9916eab7a97181f3c964b","0-80dde2444bce1b92074dc27d741102408a95c66a856d984fd40d03e7ae061598","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101127F","0","78.582","0","0.834","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","79.416","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-377997de4aa98766ef7a920e461222b6fee9f4469bd2fbb70c9f7da7414d1983","0-69fff8c6ecf29379209d43852d0d1bf0e3c48059979dcc91e423cd70c0168c93","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101127F","0","0.000","0","0.000","0","1.323","0","0.411","0","0.000","0","0.411","0","0.417","0","0.425","0","0.434","0","0.439","0","0.000","0","3.449","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-3de904a3070167044b58c186fdaeea027418852f91c5097bea104134764b6fda","0-78846ae1a1d9d3122cc20a1ce37f609eed48b4b61d9385cef0bcd6d6d537597f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","0.000","0","4.574","0","0.947","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.521","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-1d659785e9618fcdfefdabe2d25ffa86bb1095752e406a8e71538f3912d3e54f","0-c748542a8b6e2fad9a7309a89b7c60a9ab12e463b289a36a2b63f2abc79dd627","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","0.000","0","0.381","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.381","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-b9a50dea72d9cc2dc2aa6f55c7b6a644e12a6a19f2824f8c7966fb8786a096f9","0-57f3a0197dfe5565680160ff809a24b6d64875edf7e1b960e016134f535f6376","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","0.000","0","1.862","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1.862","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-9a09fdb3ef9fc4c56d4039c673b2bc7303eb179cc212765c8b6b9a4a1f50d76b","0-67b0238a0f4e2b2212247020602e7d4e01d06fd3d438ddc74b7d234b182c231d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","34.303","0","5.029","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","39.332","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-e4a6ec3baa0dd52e472ed2bd11fb6bc69de607c965ec2a408ab8f1d15e04159a","0-7b256182f84c3d6327c82dcbad0730b3579aa31b6055e5ac3fef4cfddacb5000","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","0.000","0","8.725","0","23.752","0","2.776","0","0.000","0","2.776","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","35.253","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-c168d91e91c8d054f58489856204e3b133f8429c623b502665d713f2c94faed6","0-7790ec1866160c07c5c3d8c653045e951485838c8093548e6897ad2a631bd420","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401119F","0","0.000","0","35.601","0","12.941","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","48.542","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-546c4e0b3a9edd63c09a42a51be75fe5979eb765201408b2b2c13416bbb91b70","0-c57e77290212fdda930003088af0907bebb13760fccafb3236db7a0cce5ac6a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401130F","0","283.938","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","283.938","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-f78d9e31ddb62646dfe774093451cbe93c66a20847b770c7941964d8f73664a4","0-0eb4d66bfec134148b8e5a18e06cbb5dbc3d2ad61ac683119c0bfc0527ac39dd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
