val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0101127F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-1e4dba19d8639fdafb14a9e2fd39ae466e2568c8881292ddc2c835a859ed6de6","0-e7ac4ec1d22f7af9bd7ba8c40ec1ae30438ab66bdb72c3aa6dfe03533802592a","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101127F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-abd1908a10b1acca4f67b78cd09b481d4467693b4f968eb6855530aa0ca36f37","1-7c9ef78f9fa1070a33a448eb08776f639ac13a71c7b2d303bb47b8e5e681aca3","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101127F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-ba532f03e5fd826ffcda2046c78196975add91e60409ed588bca76a537cc4c5e","2-a8b2a338497b0fc8866ddd7cfd073cf6e790ffe6ffe1dca892d93c3104d603eb","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-53b8c3809211b90bb9f62cea02177f9889a0987c01233a08c8dea2aebfd9289e","0-4b560c90137869d20065b5f1650e8310fb7ef202c8dddf50087f005b314ee8f9","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-06124d5178a6d52c97a84b857e830f44073ffda92a736818f7be075b0178e45b","1-97d0f4c26983dc5a371e043248371a99d47787a5e909b3b6e31b8344e58e1362","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-8f6137831a7d6dd84bace810e12121e98fd1167fb5c8b526927e76169b038ff2","2-f049592cadc6aab651727de22b03dbfea04b549481c7a6882395517b96a37b03","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-c2ab1b7bce4ec0e87c32e0938e7a877a2d3d78a90d8f680579e62dad16a32bae","3-d63e63f6d12bb6153a079343a9ff40f41e225393770f628216baccdc8283e666","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-45ffbf5e984ac809a5c05f850fe0cd75cd27f31d6bb582b29f75dff319bb7a3d","4-4834fdb1be66dd8a9277f3344a7e9a4b0fad39881642f351f646d17fc206e5a1","root.record.ItemExhibitList.P3AModificationItemGroup"
"0101126F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-b26a3f149f52c8ed577a161b9dfd43691bcf79de19a8899bfcb891e9da153de4","5-6834e361ad86752299662e59d7b2fdd2a0b792af47a32b0f8a3f1caefe469545","root.record.ItemExhibitList.P3AModificationItemGroup"
"0401119F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","713cf295da661a0f7a7fea2ef9a01c83eb618def45b660d8e0d80ea0ad62c3c5","0-e3f7969bf95a2867ee7f8e4fe902832b77fdc63291b44564b312563043d8b411","0-cff556b2998c693cde20ee80e763ceaf53a097c93c7c54f2c5ff0272ae2ee5ee","root.record.ItemExhibitList.P3AModificationItemGroup"
