Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","51.918","7.469","8.189","8.189","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-f9877fdb7d4728704c840eefa6044bd0e700a6ba2eb71cf1709cc854f272eb04","0-1ec83cd30f07bdbab8ee08f6d72671b4f46ece729674b3262b97e87c5d119c36","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0.000","0.000","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","1-af89980b9b4441f997950a00c0bd48261c80fa61d0025bd303c3d75eab995bee","0-1ec83cd30f07bdbab8ee08f6d72671b4f46ece729674b3262b97e87c5d119c36","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","2-ef774c453302cb973b6082352a95244d188957144c6f58398e11f2b6c52a778d","0-1ec83cd30f07bdbab8ee08f6d72671b4f46ece729674b3262b97e87c5d119c36","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","6.275","2.006","6.415","6.415","6.575","7.715","7.862","8.009","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-3f2e15c6643a374fc84a9e2311d5de16b2a301e8ed28e8ed840486f596d57418","1-fd20dbd4fbff752ebde27b3e0a94f225a2e9759f992f1e8840f06332db69f1b8","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","6.354","0.3","7.6","7.6","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","0-6051d23fcb96e2ffa6adcc3da29c0889d1607a0a73fe11e56858ed4f6727afc9","0-1eef0bac8c8b9520478d8a1912dd9dd1a4d17185a8cd7202b3c9091e789ddddb","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","0.000","6.165","6.165","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","0-48b45cbb7cfd5ec644c0a860240414f8383cbd598d85a5fe391794e6fd1da4f8","1-0f0dc06f35abddfeea935ad6fb8c776363fa3ddeb1eec2a0fd8f1eaca40b504e","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0.000","0.000","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","1-0e5c54daf2ccf1e3835048872443c42a4633306f4cb1101678d1eb3a850f00f6","1-0f0dc06f35abddfeea935ad6fb8c776363fa3ddeb1eec2a0fd8f1eaca40b504e","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","0.000","0.000","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","2-521716229c25e16379aa884c90f0aa5916fb045859bc636f2815030774b3c8b6","1-0f0dc06f35abddfeea935ad6fb8c776363fa3ddeb1eec2a0fd8f1eaca40b504e","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","675.472","251.552","77.236","77.236","0.000","0.000","0.000","0.000","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e049539817dd22b34918c2c0be8271bbbd79d6b6a486234ddff8e6be076c0e3d","0-871720576505fc03e515f270c50655ce0f2ff662a068b4f8b7efe9c437fb89ad","0-77b0b65668541b1aef76a85e79f5c27e27df5c3f58abb133fca8947bdf6f3f05","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","273.46","843.965","254.23","254.23","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e049539817dd22b34918c2c0be8271bbbd79d6b6a486234ddff8e6be076c0e3d","1-693bf428cc3e7243be8b9b2d8068d11600c8b71d0cc215dceda4c386332d110c","0-77b0b65668541b1aef76a85e79f5c27e27df5c3f58abb133fca8947bdf6f3f05","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","11.131","16.254","7.188","7.188","6.275","0.493","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-c5ed95dc223c2a421f17a4728c059e8356acc0807bf3e39a63d9e5c442c11e91","0-cb0d0cdccb862be4ffc9e069aa6af5c94bd55eff571968b495a37a3a18d9ec4c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","2.218","0.107","6.193","6.193","","2.767","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","1-0140e9f44798073ac88e9b522bcb43ffc33835f995314ce65b0e0a4f870e05ce","0-cb0d0cdccb862be4ffc9e069aa6af5c94bd55eff571968b495a37a3a18d9ec4c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","1.96","0.581","2.179","2.179","0.207","0.638","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","2-09a0e3f6019592ceaf1fd2be899b14b24b886eabdea836aac5b7266165c6e1d1","0-cb0d0cdccb862be4ffc9e069aa6af5c94bd55eff571968b495a37a3a18d9ec4c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","109.696","9.306","22.098","22.098","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-7a9bf4cdb5fd98e4ced7f96a17694f72f9830ba92fc9e856bf5b5c1a01b821d4","1-3a0c7cc0a0baeb36d002f5c53765a5348f7822972e8dbcb42092dbe3340f9d32","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","12.372","10.044","16.898","16.898","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","1-48c2f12f308b04b8efabaa515addd961bb75a178ab5afdf4698b6ab58d544a2d","1-3a0c7cc0a0baeb36d002f5c53765a5348f7822972e8dbcb42092dbe3340f9d32","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","21.123","3.653","18.589","18.589","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","2-c22af2bc53051d806535a8ed496c9b4d1bdfd32fcdaef770030761636016927d","1-3a0c7cc0a0baeb36d002f5c53765a5348f7822972e8dbcb42092dbe3340f9d32","root.record.ItemExhibitList.P3AModificationItemGroup"
