ServiceAgencyName_val,ServiceAgencyName_@footnote,ProcQuantity_val,ProcQuantity_@footnote,AcceptedBeforeOct1_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"United States Special Operations Command","","4","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","b2843f20209ce48f046f7c26c235b6323af4e336f0c6de8d8b62128a77ef7d6a","0-0f13d08c6d80b66a5b2b32fa3cff4444c7c96e954335a57737de456e902342b5","0-7be3575e7b54539e066d0a9217015232a31d12828bef8b18e3fa674003476fae","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","7","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","b2843f20209ce48f046f7c26c235b6323af4e336f0c6de8d8b62128a77ef7d6a","0-762a3cbcdde5c0318ca1628fa690ddbe4dc6819e1a412f49ec56f5f9fcee73e5","1-f94d6f7e506dcc1deaba5cf0b9e3c20629a9055dbf4c5b9ca344cdaf1add474c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","1","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","b2843f20209ce48f046f7c26c235b6323af4e336f0c6de8d8b62128a77ef7d6a","0-db1f0cb746072118c53fbfd88f6f44ad5d8025e14c1bb5d035b89b010e1c4d47","0-70a5bf953371e0048cf5ba7e768d4f73237d9c786625883dc99f7a547732f128","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","5","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_SOCOM-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2014.xml","b2843f20209ce48f046f7c26c235b6323af4e336f0c6de8d8b62128a77ef7d6a","0-ac8382ee3dde36eeebab01e48c52de1d20fb18604e426246f34e38359e46725d","0-5d26bd922c043c844f99620b75402e28b14e09e3d38743fbda4f166a9e718554","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","4","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","693168e4e777d60b975353795b37b6c1744a94e09c76b0d79cd3f47080be282e","0-b238ff090bf81f0206b1aff7e1045238c24badd14faac0f5c802d92c8c4931db","0-8a7752f6d0d31487c5425d2812a8978ec9c32f61db58b679a2c251a6ffd33287","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","7","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","693168e4e777d60b975353795b37b6c1744a94e09c76b0d79cd3f47080be282e","0-8dbac33491f985e2eb5f0306c2527632006e3897a4153e6ede8509870c41ebad","1-ff201fdbdd3c85304ba4575bb28e6fca6347924298df3bc62fc6836983d8e16c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","1","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","693168e4e777d60b975353795b37b6c1744a94e09c76b0d79cd3f47080be282e","0-ad9a698aacc73a7f0a09c8798bc41439a156e588e57e163519eb06216d4aa86b","0-94127495478a9ba843e096aa86d6fc5439ad10b49b98d45f2355631571e582b7","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"United States Special Operations Command","","5","","0","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","693168e4e777d60b975353795b37b6c1744a94e09c76b0d79cd3f47080be282e","0-f89322c897bc1b83be5a07cb11bdc4b4d9fb20df78836592e2ace0bbae710ba7","0-f788a7202ca045f827fa2dc03d9ac57eb1bd2e79276ff654b9eb7c47ff63d8b8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","User software licenses as DEAMS deploys to various locations.","8000","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","dfa61fdf5cfc7243a07dd97b306040191a5dc67019e7e9903aa0749524ce7b98","0-81af7561bca80c7bbff509867f8c930b271f1dd5657e27504ba170f94aa743ed","0-b126df580879358be0bde02d8c3bd86295941542372984b84d4c2125a67c1965","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","Reference footnote (5)","18500","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","dfa61fdf5cfc7243a07dd97b306040191a5dc67019e7e9903aa0749524ce7b98","0-7c37b9264fa7327a722fbad3cc3a9321b3328e3c311ac214f3ce23cce8e774bb","1-3defe685f3e29387073952e55fcf80e63f42022c80d88340fd0ce1dcd3379f48","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","User software licenses as DEAMS deploys to various locations.","200","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","dfa61fdf5cfc7243a07dd97b306040191a5dc67019e7e9903aa0749524ce7b98","0-250f71657467a7e5666c54fbc30f98870c941ce870111a9bc7108804bffff461","2-b135cd67eb0bc6789fc76dce4e6582274c4343d6abe373e54b3816e3fbb49a85","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
