Name_val,Name_@footnote,Location_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@PARENTROWID,@PARENT
"KERN STEEL","","BAKERSFIELD,CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-f9a0e2ad676caceaaaa6eeb31fb89f87a8f343eb20d4245446014226777ae701","","","","","","","","","","","","0-3c28d88d69ab012e61c0da4a3e16157be450e0f9ee434522abc9ac68b81af762","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"AAI CORP","","HUNT VALLEY, MD","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-e387691abee4aeccc5574dd73ffd6ae346b8f3c5dff90d4cf8de2709e5f6e2e3","","","","","","","","","","","","0-306d1b2fef287737aa3ff3943385d9c46efaec34506a8d3d2727b5eb7fa14bd4","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Ogden Depot","","OO-ALC","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-dd891f409c2c935a2519705455c91fe54aa922df750f33829b59043d12554dcd","","","","","","","","","","","","0-a19464003d4aea45f2ae0bf56cedc7ae01ef31364729307b9fd84e9eb31a4f04","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"GSA","","Unknown","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-75f05c36cb3788ddb9d6f28405eb74b40de597abfb362539fb9c980499ce059a","","","","","","","","","","","","0-1120bb0eef2a02dd1797b46822463ebc64a878c79b649ee5bda07865aa200d19","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"GSA","","Unknown","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-c1a15c2bf788cd296c82a48faeda1d3ee438bb31d087621693c1a35eba1b673e","","","","","","","","","","","","0-d70a3c0b577b9996b4ffc44471f7a0597e88e3ec49b68cb3a17a6a7cf9b938fe","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"BOEING","","ST LOUIS, MO","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-e318b47847a9f3983c7fa336f6a5d17d70072088551882fefdb637a19333930c","","","","","","","","","","","","0-2e6762ae849acefb3f3a3e5cd909cbe79171cc857a108a7425ecbe328213eb02","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"BOEING","","ST LOUIS, MO","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-43b11c1476cfa1040255df951707dda41df49828bea515d744ccfa239428599e","","","","","","","","","","","","1-6d95539f5b9bf66d8458020bd9501c2cd6b81e8eed66bd5897ad8171d2e7e438","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"BOEING","","ST LOUIS, MO","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-1305f53e02e5cb88e6e4f6d42530a056ee5b82caae049780d80d939bc1586485","","","","","","","","","","","","2-7a0d0422f92248453fc65bcefa8350363a4254fb546f091e14fb85d76f9bb994","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"KERN STEEL","","BAKERSFIELD,CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-0e4edb149af155dabded917f69d1a1c55799e52712e19c36d5180e7be92135ed","","","","","","","","","","","","0-63b3a015de7aaf17720fc25b0676f981682aa16dfc2ee2e56b36044d4e82f576","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"AAI CORP","","HUNT VALLEY, MD","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-fdb79213bbe2957419a14c06de268538eccadbd5d4afe05e0610d11816ccfd34","","","","","","","","","","","","0-d742bd607ccfc3784a6f8bdd392a027d1b2e930188124a49c86f8d9685ca5437","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
