val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-800a412a7f5b13182966ccc40b2547b9996780c3a8199a2c0600436f5299438f","0-3ca6d55dc0937ea110f7a0ee769b94fa59dd7d108cf8896682295d2fb91f64a2","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-1cdc9fd0f0c30a5b06e97153ccad1b472a9b3cfde85e7f56e0bc46df9f2582eb","1-a076e79995cc5ee903c014da7892247463791a073ae47b82bb06cb9814ca49b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-1cff1bcaac488d19b618bb1cbe1f47b525e0bead0c0f0cf67752985dd56dea83","2-4920519fddbd9a729ad88e7de1a54b3593f1b8c2f86c4a9d0063ba18fe06b495","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-419d9fa1432831009ba22c8ab35f46f1d0f4429399747c1f262408176c0e00c7","3-23b35878b3dad159c389f43e5fea0ab4de519fa256f14ef467c2e66d687261a5","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-32db4ad4058e5eb86e64b8cb659dec9710f0b072c68387370b3c118ffd98a699","4-8d45716ebc54ebc147a2a926f05a81cb0585b74cc326c9f3b60d22e8d7c6c093","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-c8bf10214bed959b3c80f050cf0cdf56a25539bfbd0bce1ca36ab688c5d36105","5-ed4c2758947eee3bcc61104ca8b65f844e034e5d63a9909b6f64841967fef9b5","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-91a29434a2f823b59023c7c3a155a8357d94370aa688b7d64d1c864fd79b70bc","6-a7f7a14588d54867e4756ff7087af149d60f0355a1f8c6be3b513b16d21da0f4","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-a0b53f2a25fee53f48de4cba69c5dd00dd17d95a051a550fcb99e927d9dbecda","7-ecbfb14d1f261f49fe09431b49fb13ba7f3a9a806d009b15516c046ee9a3764d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-1f2ae67043a5779d0a1838e1f1ede859a1124abc4073dfb19f2e411630357d32","8-22299f266d5d841735c1d8a2c766c48006bb04274c6e0a530c5550b619865a72","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-305e4a53323033184f226a677eca3500894fd2bd0d0230760fbb0caec94f27b3","9-bdd11e31e0c18bc7bcad7a76714ae5dd7e8d6aec34f4656043463ff5c0e20b1e","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"B-2","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-08dca5d34996f33fb6042420a329e0abfa3241fe7305fd7844364e75ec4b2cec","10-0b1c9a72fd3d91964daea61cefb6f315f935fb3a11ac160267ce115b99843da2","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
