Name_val,Name_@footnote,@SOURCE_FILENAME,@RECORDID,@ROWID,Remarks_val,OverallHistoryPlanningRemarks_val,TotalCost_TotalCost_AllPriorYears_val,TotalCost_TotalCost_PriorYear_val,TotalCost_TotalCost_CurrentYear_val,TotalCost_TotalCost_ToComplete_val,TotalCost_TotalCost_Total_val,TotalCost_TotalCost_BudgetYearOneBase_val,TotalCost_TotalCost_BudgetYearOneBase_@footnote,TotalCost_TotalCost_BudgetYearOne_val,TotalCost_TotalCost_BudgetYearTwo_val,TotalCost_TotalCost_BudgetYearThree_val,TotalCost_TotalCost_BudgetYearFour_val,TotalCost_TotalCost_BudgetYearFive_val,TotalCost_TotalCost_BudgetYearOneOCO_val,TotalCost_TotalCost_Continuing_val,ModificationItemsIndicator_val,@PARENTROWID,@PARENT
"B-2","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-4b2ba5f2dcfa5f0f7b3843250bce4a18406c348b9c19c5af43a7a7ba64fcdc81","","","","","","","","","","","","","","","","","","0-5e2dcc223b8bb76f4af7aabb05ee12ddf6566ad4ce39093a639159ed27e1358c","root"
"B-1","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28cd559eb45d8d0cb7605d5de81c90900c108b27b19c49bdc83e811de5dcf373","0-d15b64f1e6f3dcddfdd2679baa0143faaae636dd5d5e3cf83fe1436e27a25009","","","","","","","","","","","","","","","","","","1-83190adf71595540a1f424246c56b7e01d6e9519a7b0e08454d87176b933d60b","root"
"C-9","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d5cc488945a5f6aa5c27e0ca29235120943f05f6600a33ae3c9fd9af49c5ce13","0-ec5b4e904a0960702d101880f08c9a44160a224bd5b4ed310aca3df54056d61f","","","","","","","","","","","","","","","","","","5-26b0cba58559987f8c5d65cc68a4a5297cff69be43095142cac3a63af0c89fe7","root"
"C-17","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8bf976c6accd36e8559c03d97b294c8902aa574e2ece552803d86400bfc66807","0-d8a9a586d12fac7a4972a66e909938c2311addcd7877495bfc532f426bee53ac","","","","","","","","","","","","","","","","","","6-f3d19aa66f18928070afe0016f0b7186d245a3b84ccf4d64b286c8fa180acddf","root"
"C-21","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","83060046c5788c31d12e9112c81417b9974b5621c29d73e403c3badd576ab279","0-c068a43c27d7d67ae3bab28d1098f487e5bcc36788a9934f10f9cbcd2e014e5c","","","","","","","","","","","","","","","","","","7-94507bf09e38b6d782005afc718a22124bc184554e7f402bec2de2f0c00e27ef","root"
"C-32","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c092a26ca1ded86b45ab7541348d631c885121542a95bce4518e708324908e9c","0-589922166cd37e57249e189842530941def72f5f0bf043163c81b38d22371a6a","","","","","","","","","","","","","","","","","","8-4a78cd03f3207120a19186c0364ab217b8a77b5591fd47c833047a34a892eda6","root"
"C-37","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9f24d5ffa9bcebbadc4116d8239707eb83c09f8c5fb0b57f72d834631f6dc0b5","0-5494e9cc400482f695b9e12629075ef174175613b480750994a46034d29bd6f0","","","","","","","","","","","","","","","","","","9-d043b35610b3c1c68117bcf4c112a77044ee3400f8c37824a5e0058ea819e703","root"
"C-130 AMP","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","62a0ac6618776e0eeb1de173941225302b4e11e169e6891ffb9f06c05d7f028e","0-5c7a865d2702dc048e2007c5e18b9f55794fb749d016e0aafe1e7cfb51fa775d","","","","","","","","","","","","","","","","","","10-6106bb9cea7ae3771148a307775f6b90378acaa028c624834da6042aad55bfef","root"
"GLIDER MODS","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ce3473abb8d72200beb02b9758f02a3590f1e4804d82ab06c0528da6b84bd58a","0-9b5e0c3547efbdab399efdf2320824a1e4569f3f9b57a355a9bd8f326bd7f214","","","","","","","","","","","","","","","","","","11-95c0425c2273a401b7015380e42f22fb8ce15fa8b5831bda708bbda5ea6bc65e","root"
"B-52","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b2d8afccacbbad6e360e0d83fc9b6f11326b8d6bde17f88d3c4e843f38ab51d9","0-fb2dd3bf5fdba4b059e3566ab6928164004533d784efe9c3c4be446642c3c14d","","","","","","","","","","","","","","","","","","12-ff31f00512c50031b56adaef575dc7cc1ebbd8760a8df8b1faa075dc1de75be4","root"
"T-6","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","66a2e813f9095cffeaf362a268485559e78bdf9106ddd06206eb478ca0f810f9","0-5f6762bb10b1ac50de398947aa82e075ecd52f01adaa52735623f6f490517c1c","","","","","","","","","","","","","","","","","","13-e432ccb22983b70e098d95c594f23da26265e0044b59bb5f660deb1121801b93","root"
