Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air National Guard","8","349.26","9","479.896","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b57571c483b3fcd1a6d6430d5d46dae98dbdba9565ada34187b6b95fc5a6c4a2","0-b8ac0a5e65328b6cc300751a16bbd5f5a39a403b55ba8fa04c1c270aace7db79","0-5b3c6727fa9a59a12fb1603dcbd938ccd6c891bb39212f923923e01608efc6bd","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","9","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-6c142968af1032f59d4f20a9b8ea429c462b5672f6293119dd3c7f67b65bf341","0-2295d5f407a9c51fbd86b8e22fe458b60bf5e8da1db694cf4371d0b19edcf1cd","root.record.ItemExhibitList.P5Item"
"Air Force Active","","4.7","","14.844","12.3","","0.000","","12.3","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-f041d0d73050c629e5fbf6906009f78dd3ad7d9b0c51329ce8caa3d01e8b90dd","1-0c3125a21cb77913e9c3dfcb9a0171f28e30e588d916a40e834cdd9b544bbd66","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","11.2","7.2","","0.000","","7.2","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-c914e2234ed65f5d500d4911b6eae4610cbc516be766a45b23c9e600be48d2d1","2-3a04bb97d44b6f9bf2725911132ecc1fd188ec47708ded90619530f18004dbdb","root.record.ItemExhibitList.P5Item"
"Air Force Active","","5.053","","0.000","1.9","","0.000","","1.9","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-36279774b089628382300e09b8732df6a2a4ebac3b3eecf3f2c5bc1a81142af5","3-cdaddd28b53499603dfa8a28d96eb06acba051a91fc218977293952f5e5f145f","root.record.ItemExhibitList.P5Item"
"Air National Guard","8","349.26","9","479.896","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1bbb7d0b0130a1836400f4027edfb2b942cec98bfe7185e10fe5c4dd981ddb3c","0-515f927e071fe1fe6aa61e802020478e24151afb1bcf0096885c813a6fe3c59e","0-f699c78c026777ff077030579e8a02798164d925d720cac6dfe0cea0ba3db7f0","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","9","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-ef7ae1947534c0f575d111b4cbc84c51a277053ada06fc61ca8ea13b793f6266","0-66781cc3a10c04a38ecf3e596f17e06e7506700e6a5e891611a75826f454dd1a","root.record.ItemExhibitList.P5Item"
"Air Force Active","","4.7","","14.844","12.3","","0.000","","12.3","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-a7247fd2d28206009a97d8eaf42fff3f5c63c302bbb0cd3e23bb04b06ab274fe","1-5ebec010730b57e44e80a2d714f8b9a8820c8b6e1ed434af03209eeb7b1a7be4","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","11.2","7.2","","0.000","","7.2","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-2a9e02ae7920987fecab369399a08bea8b392e7983d1a30774c767a9cee11512","2-49acf4c1b40f2d9a6ffb9e15993e8b1eb643dd9b0604cd830bdf7f0081b4a715","root.record.ItemExhibitList.P5Item"
"Air Force Active","","5.053","","0.000","1.9","","0.000","","1.9","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1a9075384ecf2407b8eddcdcb625b365ad3367e82b707f75f769b4483b21ec69","0-6739e95f1d80ba045a41b050925b57a461beacc22c36d15ece9caaea629586f2","3-07d49efe845966e5f06283c0226c7312d273aad229a42ec300de0de712298701","root.record.ItemExhibitList.P5Item"
"Air National Guard","8","349.26","9","479.896","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7a9eae9604e5ab81e81e89f8ffd8e98a878ebf2cd45c4053c4ac7f8a3e805266","0-3d8cce162b77037f2e3e30650b212bc2c697d3de1a791bb8c5545286e7c01fe9","0-6559d4d062ef82d9cacb36f39dab835f1439b7d479dad87fc6c2311b8017ba83","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","9","0.000","","0.000","","0.000","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-8053d4100a1fc8dacbc76ec37a749c3ab729fec4ebbceb295b5723c3ffcf5460","0-0dbbd933720477cea6fa431e682b72576992d5b471e6312abaff17ebabfec807","root.record.ItemExhibitList.P5Item"
"Air Force Active","","4.7","","14.844","12.3","","0.000","","12.3","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-522b7b35051ea312f37ead9a86f31e240bafe01301d5f77a9d2294dfa6b5cc07","1-84a00711a04030cf1a43bca7f404899cfb83642dd54efce1e034ce857127acfb","root.record.ItemExhibitList.P5Item"
"Air Force Active","","0.000","","11.2","7.2","","0.000","","7.2","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","73df3f1d29c542d66672d33a04d04b9e2dcc18b2ed6ea7ec6a4bd99b52f355e0","0-790e838c97bf41ac7bc7c44bf766b9d28271fd05619df972ef9aef6a45625adb","2-bb72f87ad00d0166020613ed20efeef18e465b7b1aeb1292b7905d98888e3da6","root.record.ItemExhibitList.P5Item"
