Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Special Test/Special Tooling Equipment - Block I","A","10.606","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","10.606","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","0-e4c0fd0f28d08e96f1a595ce735892a79fd76c6bc5c3e1600180512efb891944","0-0f2d49047de7512e6b5e43a8af639687b5387fdbeea79383636b15d95f422de2","root.record.ItemExhibitList.P5Item"
"Missile Containers - Block I","A","5.666","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.666","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","1-eb6b57409b2bbab9c2b2cb5591126347b722c86bffa9f7a3e3cec9628dbc17fd","0-0f2d49047de7512e6b5e43a8af639687b5387fdbeea79383636b15d95f422de2","root.record.ItemExhibitList.P5Item"
"Non-Recurring Eng - Block I","A","21.771","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","21.771","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","2-7302b7853339bd4dceec316ed56f902c061535e88324fae4f990b9cd4ef30539","0-0f2d49047de7512e6b5e43a8af639687b5387fdbeea79383636b15d95f422de2","root.record.ItemExhibitList.P5Item"
"Special Test/Special Tooling Equipment - Block II","B","0.000","3.096","1.857","0.405","0.000","0.405","0.302","0.304","0.306","0.308","6.367","12.945","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","3-65ae402e18cee874163a167be0de62289163b8c6176d5788b86a4964a6066fff","0-0f2d49047de7512e6b5e43a8af639687b5387fdbeea79383636b15d95f422de2","root.record.ItemExhibitList.P5Item"
"Missile Containers - Block II","B","0.000","0.422","0.553","0.678","0.000","0.678","0.654","1.088","0.691","0.711","13.539","18.336","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","4-fb8bb7e4898a7b688e573d1bcc8eccd6b83be1b3d9900a34431b59f56aafe4dd","0-0f2d49047de7512e6b5e43a8af639687b5387fdbeea79383636b15d95f422de2","root.record.ItemExhibitList.P5Item"
"Non-Recurring Engineering - Block II","B","13.598","4.853","17.478","0.981","0.000","0.981","0.000","0.000","0.000","3.998","37.478","78.386","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8dae3db13d08cf6bae22952387d39b872a6723768b722901fc54c0d66573e52f","5-7560469c3fe13debec77bb19fb02d8d412146c51db1765ad30ffca0c9e901cef","0-0f2d49047de7512e6b5e43a8af639687b5387fdbeea79383636b15d95f422de2","root.record.ItemExhibitList.P5Item"
"1.  Containers and Cables","A","0.000","0.814","0.905","0.906","0.000","0.906","0.906","0.907","0.907","0.907","6.886","13.138","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","106bb334f249b7849830fc2a8d9b750d80968554ae54c7c032df86229d9dc8d5","0-8f8fc8f64a7ede8349d0d0a921ef2201548218411bacbdf7b47b55e3ea9b493b","0-b5ce05e47e9239e62d35f9cb413cdd4b2f99b39cbbb1b074157e19ea267dc003","root.record.ItemExhibitList.P5Item"
"Special Test/Special Tooling Equipment - Block I","A","10.606","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","10.606","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","0-3f0849a1d6510b28854dad78cdd61c2388e335674e88b1761076b63195d14562","0-13951b7ddad8b4e28a1e86e17532c44fab8eec2c70a80189cc5fe4085cd86406","root.record.ItemExhibitList.P5Item"
"Missile Containers - Block I","A","5.666","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.666","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","1-47e606001c26e56ec0792881f90257ffbd872eb51aa27d7684fe9545b650f3f5","0-13951b7ddad8b4e28a1e86e17532c44fab8eec2c70a80189cc5fe4085cd86406","root.record.ItemExhibitList.P5Item"
"Non-Recurring Eng - Block I","A","21.771","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","21.771","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","2-4f7082656c5a3c6b6f8ea22017bf52c6799a787d61ad166a80f45c676f35e782","0-13951b7ddad8b4e28a1e86e17532c44fab8eec2c70a80189cc5fe4085cd86406","root.record.ItemExhibitList.P5Item"
