Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Space Vehicle 3 launch support services","33.05","","","16.5","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","49.55","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","0-807352be2df1f6487658b1cf1fbdc3fb266c06e931629739292d181758e538b2","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Integration of Space Vehicle 3 with launch vehicle","2.128","","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.128","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","1-02b2139905ac2d0d3df8ee32e26da9e944b2ceafe42c8f1745d1ce8a9704f8bd","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Space Vehicle 3 propellant","0.000","","","0.000","5.229","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.229","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","2-327db78da8644503ca1f9765b4c4b1b96ead16875cf0fd29ce9d9278cd12e7d9","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Space Vehicle 3 Spectrum Management Support","0.000","","","0.000","0.000","0.032","0.000","0.032","0.000","0.000","0.000","0.000","0.000","0.032","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","3-14058d5f5f8d3b3ee5cb21a48125d88a0710668be9e466c3564b5c5709e68ce3","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Space Vehicle 4 launch support services","0.000","","","0.000","0.000","12","0.000","12","25.1","26.7","50.4","0.000","0.000","114.2","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","4-8c81c1a2c74aa87d9302cdf8ae2e2cbc430d43dd2c70152359199c9d8aff28cd","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Space Vehicle 4 propellant","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.504","0.000","0.000","4.504","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","5-129dc947efc221b56c0c27951f32f3266bed9c7bfbf11ef2b81aa7e1ddb84d5d","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF 4-6","0.000","","","0.000","0.000","0.79","0.000","0.79","8.57","9.4","14.7","14.9","12.8","61.16","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","6-1f8101cf1516e797d0775c092a3b913f2baef2b3a6ad6a954f4d73c41925ce2d","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Checkout & Launch / Launch Readiness","199.046","","","56.764","71.621","23.048","0.000","23.048","38.773","33.947","41.783","39.583","22.628","527.193","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","215d4662ac3156e4aefad8a86b02ae7cd16a432e622f72c8f500503b09df0dae","0-1982349dc77435f7473d4d3b4dfcaa5c85c3a5c1dd3a3c3f3f2ca99ebf6d1154","0-433c18b8def0be18d655cb6e37bc1fec2fa16ce1233d20a3a6d8cf58a970be56","root.record.ItemExhibitList.P5Item"
"Storage, Reactivation and Transport","4.543","","","4.766","0.000","0.000","0.000","0.000","0.000","21.104","21.844","26.74","0.000","78.997","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","215d4662ac3156e4aefad8a86b02ae7cd16a432e622f72c8f500503b09df0dae","1-ba9be1380eb5eb5ccd9f7e17983459a795bdd0c69f96f6c210ccee56ec900ea7","0-433c18b8def0be18d655cb6e37bc1fec2fa16ce1233d20a3a6d8cf58a970be56","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS Block II Follow-On support","0.000","","","0.000","0.000","0.885","0.000","0.885","7.667","18.833","10.656","8.625","4.59","51.256","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","215d4662ac3156e4aefad8a86b02ae7cd16a432e622f72c8f500503b09df0dae","2-59ddba12861e35bc67e505bdc1e4cc56361ac00bda12500673ba99ef165628e5","0-433c18b8def0be18d655cb6e37bc1fec2fa16ce1233d20a3a6d8cf58a970be56","root.record.ItemExhibitList.P5Item"
