ServiceAgencyName_val,ServiceAgencyName_@footnote,ProcQuantity_val,AcceptedBeforeOct1_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ServiceAgencySuffix_val,@PARENTROWID,@PARENT
"Air Force","","24","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-8c46aa023aae7c048696a4a9d9b10ff33d4ca58e34577abfb4fec41c62e7b8df","","1-ebc56b8d2046b5e7a4516e4ef78d3effbaa21ce905b67a52f96ea3cdcdfa9912","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","48","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-200c5470acf53b9ff8168a13d53a668c33ff029031af0970422336615f687bb8","","2-791e69937a7ad297b88c7d1d7d03fa2f286c62d399abd0d37454e95c18dca779","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","48","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-ce59eb3b86e0abe5ebe75bd51932c487c2ba108f0e41b83e9267bc17ff2ffef0","","3-cef8f08b6a98dff3db98133a0f9677f59fbd07b53ce001e1acef8a308e286cdd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-347c42829b03b15ab6d8de56d5b1f3ad1ba02c34f0de4bb8e0d2082bd1cb819b","","4-f33af27dc42589a9bdefb360da0efedad24e974932225c9464517ff27f29eb45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","12","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-5312fcb1a7ca6b5b94fdbb922f14733ee3f78f404b760c61eb26acdfa59c4291","","5-2bdf4a4cbe88402040169ec0f1dbd68d0b136cfb0ad1d36edd12d43911ffebd0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-a9bbc3b2d8b900ddb6365038740201f6790dc53fcde10c4bb3b5c7218355338d","","6-a2efad9f67cb383c5bb62aa8670560b3f3c8d1be70bf96c27d1ccbb8f4867385","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-2e7508250dd69bdb7eeed87d124e558674136c343f9988181cb44089ea4328c2","","7-ea19b1b335282a6ddecab3e58eb3b5f461ccb0431ff7cfa7359bfa89c1b7f527","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-27a42c2054f5349135814bc8bb9780cd720031777c9faeeb73f1a39325f1be69","","8-13fe43337389bcf0fd79a8252f85b119cfdb187a0821821c275498b5e38523e5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-e1b6ce1693d563ccefb0362cf3d0cdfaf13783fd7cd5323a33b2a42f7ea68575","","9-f7a92ff99bf16d7da6d316bbb70d648f0274b0d84baccda09552635511670744","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","8","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-316971be0d31a3c1a4070f5f39e5227240fb675283535fa1cb5f1807d24fbf7a","","0-9ea3cbcc87934d7dbb4400af1cc94883fb3964952a35e797020d839b1a2899c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
