Name_val,Location_val,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"General Atomics Poway","CA","2.00","5.00","4.00","9","7","19","26","12","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-0910dd911e8dc40f32ec4184ba523010c6d60ac253c98c9dd59b2b3d4b0c369f","0-3a8847d7b5e0604649541b314766911c4151cce12365bd3f666d3ef9e970a612","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"Northrop Grumman","CA","0.50","3.00","1.00","4","0","0","0","2","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-2e1642e4bad863fafe7e7413a51d9c4875ab03a320279517d79fddefb25cb82d","1-ecb1c38795fafcce548fb81acd26e2f5be693976add7df6a70878c567fa7dcd3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"General Atomics Poway","CA","0.33","8.00","4.00","9","6","17","23","9","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-438c0430c1c3b43be35ca3c3b2c352ac8329940d7ea803d2c271a3a86a872087","3-26cd459853f7312d09f6d922ffecb91643456dc1ea5013fa28248cffd184aac8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"General Atomic Poway","CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","1-971c67bff1cb2ac5563c7d6d5f3e171df47e476b9278104ff2e107b5cd3e69b4","3-26cd459853f7312d09f6d922ffecb91643456dc1ea5013fa28248cffd184aac8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"General Atomics Poway","CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-428bba3dbb8db878dfa12a369f1d9351637586f98d5a70f8c5a58e2f1d5c0728","4-d96d0568d868f701277e1f4376d59c81785f176107bf1a1a21f0a1f0f8401ce5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"General Atomics Poway","CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-cb3dbd973d7f70cc4a3a2995bba9c9d91fc20c973c896ee9ad53f0fde4394a2f","5-d30583160b568ac811b58d04866d5583690b28a56521ff952e2e4bd09b8a3a60","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"General Atomics Poway","CA","0.16","6.00","5.00","9","1","10","11","3","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-88d81203cacc3bd58bf7b3f8b9989b1c7504e732e9bd86c6d4e049990841bf14","6-ec751c957befdc0bc08f1f90eb358ede021fd5ffce90a1a538baab3db879d4dd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"L-3 Comm Salt Lake City","UT/CA","0.08","1.00","0.08","1","0","0","0","9","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","dc8aa65a82754d44f4affda9776740a031654ab87581c0849e543054c8c24839","0-154060ef2599bf5f80e31cb39e0970680af0abb945146a310030c3358e1f90f1","7-aaac075d38c8ef2dcb7d63b3bda08ea9d88a652a0b89a0f445b0843200f4f2cc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"General Atomics Poway","CA","2.00","5.00","4.00","9","7","19","26","12","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","733336bf324f20dedd4718f00dffef33481f156568307d083925b389c2019d66","0-04b1d0c208b39032c64a99f52458c6033d9f57b26cccc2ed1651597fd0b7c6ea","0-b77ec63f670949f610ce8e14a19bceac2873bdec77464a7c8df655759d4dce48","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
"Northrop Grumman","CA","0.50","3.00","1.00","4","0","0","0","2","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","733336bf324f20dedd4718f00dffef33481f156568307d083925b389c2019d66","0-39a518ef204a6aa7278b822f307d8389eb6598cf497f00655d61dc87e1604fa0","1-d8fd9ff1028fd52e2f6b12184c495058c079625f73e63ada5c299ac03522e62f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement"
