Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_ToComplete_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_ToComplete_val,Cost_UnitCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"Non-Recurring Cost","","A","709.295","","","332.58","","","358.857","","","425.421","","","0.000","425.421","","","470.734","","","437.595","","","618.141","","","582.702","","","5461.792","","","9397.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-6671d773ec267bb95fbe7bcad9e960351ffeb2e5b6e7ae59e7707a6c250c4934","","","0-b9a357a9bc1d7936458ca4524b2c2e3b0a95b3bc4fb2db50f16650568f9a45f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Ancillary Equip","","B","126.024","","","85.085","","","76.451","","","113.312","","","0.000","113.312","","","111.548","","","173.323","","","239.343","","","233.057","","","8417.824","","","9575.967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","1-86483954c599417167258c26aa28b7e88f4db98e33cf9dfc637b25ebb45979dd","","","0-b9a357a9bc1d7936458ca4524b2c2e3b0a95b3bc4fb2db50f16650568f9a45f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Airframe PGSE","","B","113.31","","","47.313","","","33.188","","","49.006","","","0.000","49.006","","","41.259","","","66.113","","","70.519","","","125.983","","","1799.335","","","2346.026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","2-3f822400f803d137955381b38427d63b161212b5ac74d08113afc3c880f42323","","","0-b9a357a9bc1d7936458ca4524b2c2e3b0a95b3bc4fb2db50f16650568f9a45f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engine PGSE","","B","34.33","","","12.273","","","42.527","","","52.016","","","0.000","52.016","","","44.186","","","46.274","","","45.325","","","44.456","","","297.163","","","618.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","3-1e1c9baeb8554d4c7006fc94d635529841861bc230e133a49ae283bcf3310cc4","","","0-b9a357a9bc1d7936458ca4524b2c2e3b0a95b3bc4fb2db50f16650568f9a45f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Avionics PGSE","","B","79.964","","","39.55","","","129.778","","","73.123","","","0.000","73.123","","","75.846","","","68.754","","","76.804","","","63.658","","","595.599","","","1203.076","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","4-499b0a3ae272a56b9cc9440d4d4f5deb01438d45049dce69255a9e1b8fac0eec","","","0-b9a357a9bc1d7936458ca4524b2c2e3b0a95b3bc4fb2db50f16650568f9a45f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Peculiar  Training Equipment","","B","127.064","","","80.252","","","145.363","","","80.333","","","0.000","80.333","","","39.815","","","27.358","","","140.574","","","63.291","","","2971.72","","","3675.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","5-9c09c4d5c717efb6cadf0553097a8b9329cf93c70654d200052b48ac470802e8","","","0-b9a357a9bc1d7936458ca4524b2c2e3b0a95b3bc4fb2db50f16650568f9a45f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engineering Change Orders","","A","0.000","","","3.29","","","6.445","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","9.735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b57571c483b3fcd1a6d6430d5d46dae98dbdba9565ada34187b6b95fc5a6c4a2","0-d709ee706a857cb680b90dbab468fabe9638d819e5d2c4840d96aa866278185d","","","0-d529cb0fbba1e3ebf40eb32eeac831113706f8f0e0328c553b38add6aa7b1dac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engineering Change Orders","","A","0.000","","","2.818","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6787e60dffa4ccb6e457ea20751b023bee38aa100c51939df4dd2ccac1b7caaf","0-12c2e1b2f633e3c902cf033b6799ccef7f53bb4e34603a81e608d65644fc805d","","","0-afa0816855c22e5a98aad57c1db7d32ac5528880d5d7fca58a522bc643064d9c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Nonrecurring Tooling Cost","","A","103.428","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","103.428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5dbc797a8bb1004bf62febab688b9f7b2ddae5f46406112d4d314e7258725cb4","0-402518802af37397d7f1e63f71b54b5f0710db78e273667b479484be641663f8","","","0-103d58a0c616d274d4d0bf1c520547ea7888d2e790933d7244a7933d6f0b358d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Ancillary Equipment","","A","4.689","","","3.875","","","1.673","","","1.361","","","0.000","1.361","","","1.038","","","0.000","","","0.000","","","0.000","","","0.000","","","12.636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5dbc797a8bb1004bf62febab688b9f7b2ddae5f46406112d4d314e7258725cb4","1-0fbfaf786009eb13c4abb50a495ada317914c202a5723dbfb1214cae4ee22bfc","","","0-103d58a0c616d274d4d0bf1c520547ea7888d2e790933d7244a7933d6f0b358d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Parts Obsolescence","","A","15.32","","","4.586","","","3.964","","","2.061","","","0.000","2.061","","","1.5","","","0.000","","","0.000","","","0.000","","","0.000","","","27.431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5dbc797a8bb1004bf62febab688b9f7b2ddae5f46406112d4d314e7258725cb4","2-ad7a0cf31c7a0794883ccd99fe85dca5fa2515a074c8a159ab2ced5680047dab","","","0-103d58a0c616d274d4d0bf1c520547ea7888d2e790933d7244a7933d6f0b358d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"QF-4 Aircraft Drone Mod & Integration","","A","17.104","","","16.528","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-a14d1c0d19a21e09a515209d65695761846252d6c3fa0ff76abc5179e232b8ba","","","0-35ac7c2363b6c7d7e464ecab7e86a96745e7040706efaee01caa60bb6a11b8a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"F-4 In Plant Repairs","","A","0.8","","","0.99","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","1-44516a3c13bc8f980ce75a503e3a60bdad27fb9f0fbcda3dc5771cc0260e4964","","","0-35ac7c2363b6c7d7e464ecab7e86a96745e7040706efaee01caa60bb6a11b8a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
