Name_val,Name_@footnote,Location_val,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Lockheed Martin","","Fort Worth, TX","18","48","36","8","6","23","29","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-67975082c03243a63b3a681e1604b171f7562c8c011bb2d7149aabeb36985f71","0-be9ca06f6774f5d99b7fa82306c09be8150cab98103c7ae2620a389440b47fc0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Pratt & Whitney","","East Hartford, CT","24","48","36","8","5","16","21","8","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-b2c4b61a167af23ac614c509ec3ca0d67bf49d7ff74b5ec0235fb3f9d7bbfd99","4-d556ff667af6c6fec9bdb89072b547b89a91f6cf149ec45ca96085ce04a3daca","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"L-3 Communications","","Waco, TX","1","15","9","0","0","0","0","0","5","36","41","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b57571c483b3fcd1a6d6430d5d46dae98dbdba9565ada34187b6b95fc5a6c4a2","0-97924fb6ab5bffd66a6efcae4772e598b434892854e1c6d1dab1eeeae5efa34b","0-bf79a3de80e08157da8295cf50e4acdaa8e6998621f846adbde4f193dff261aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Cessna Aircraft Company","","Wichita, KS","1","60","36","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6787e60dffa4ccb6e457ea20751b023bee38aa100c51939df4dd2ccac1b7caaf","0-1cb85f125e1d83e4aa17cf2a9695ec89c03fc6b556d44b9185064b989997fbf5","0-6af380c7f00b47807c186d7ebb9cb248a09b1f17f62c43692764be5647575784","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Cirrus Design Corporation","","Duluth, MN","10","50","25","6","0","0","0","6","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bfdabf527f48532a8740392e6b05da334e26e2174a17e75f7a4c2087918e6fc3","0-3b9b2d07054cb2dfba3bbe27eaf8dac1c4b9b7a2c2d5e35884c905a947a439d2","0-8f7bc94388b4e46f5a8f2c4c506709e2758268a7be5220d6331a53942a027d9e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"ARMY","","Redstone, AL","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00dee9f9f028e4545b5a6df47348a8edc35f51591d1ce4be329e8688687f60ed","0-8ee3287240bc3fa79cfe7bc362d9148bb7d92202965620c06f6db91722211e86","0-9a27bd4a84d451383ff99b7d3d972825a62b26ebaf64bef6c2d10115a2f54f9c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"ARMY","","Redstone, AL","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00dee9f9f028e4545b5a6df47348a8edc35f51591d1ce4be329e8688687f60ed","0-b83945e61e5a75d97c6e994183941d588d0caee8f5edcf3500e064de66129517","1-6a3d37897aa73ef12354091f7118f90a099a787a49149d5faf21f69befd191b4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"TBD","","TBD","0","0","0","0","0","0","0","0","11","33","44","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00dee9f9f028e4545b5a6df47348a8edc35f51591d1ce4be329e8688687f60ed","0-e6877693af6efb449abbbfa55dc54eecabfa38fb15e435050cdb4cc2cb4b509c","2-151f51e796e7773284de7f0fa252c9743966978ccdb1b3ec75312ff1dbcf9a07","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Bell Boeing","","Ridley Park PA, Ft. Worth TX and Amarillo TX","16","44","25","19","3","26","29","2","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5dbc797a8bb1004bf62febab688b9f7b2ddae5f46406112d4d314e7258725cb4","0-779f8fa8e525a9233bccfdddd4f1c72dec2ecfd792e947c915fc34f4b110a647","0-420cba6881c9495d0ba4e7b4456cfa0c7f5fcd3db046e51ec4701aee8d3ac2a9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Rolls Royce","","Indianapolis IN","0","0","0","3","0","0","0","0","3","16","19","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5dbc797a8bb1004bf62febab688b9f7b2ddae5f46406112d4d314e7258725cb4","0-f7cffd9e51e2be6d934a35e0fd7607351848878b172e97fc292f51678c22c682","1-900db9a53b18b441fafe26160d747b3764b68cb168edcd3a62fbdc377ef0b7b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
