Name_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOneOCO_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Proposal Preparation","0.816","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-1a88ebd0e747f96dfc9c3541aafe410984fa6beba2ce2e44a82ebb0603d2cdf7","4-3f4a99eb58058893b5dc4cbbbb3d1fe0fbd27782e4c116916602d824415d6141","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Government Support","1.393","0.729","1.148","1.304","0.000","1.304","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","1-271c820d71d5bcc4fbcb0b8ac4a86d988cfb0196974f983ee320d81df88a6b93","4-3f4a99eb58058893b5dc4cbbbb3d1fe0fbd27782e4c116916602d824415d6141","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Proposal Preparation","0.816","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","49ea51a266d1f26fbb7e9540dcf13ac7edf6e0045e26abc78725de6f38f215f0","0-4a2cb965534789aaec7e62327e72e08bd3506e0f0422d2c9bea47a8f240a7118","4-7ab82d11ca65477bd5d7c75526ed3673935074e27102eafa4afdc173aab8b191","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Government Support","1.393","0.729","1.148","1.304","0.000","1.304","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","49ea51a266d1f26fbb7e9540dcf13ac7edf6e0045e26abc78725de6f38f215f0","1-e7f28cce8ded2540f8695cadbf26dcab7ac1e743bc8889d65aa6efd7a8f2e10d","4-7ab82d11ca65477bd5d7c75526ed3673935074e27102eafa4afdc173aab8b191","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Proposal Preparation","0.816","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cdde32f263605efa565ce4d4f2dcfab53c9478c879b60a96129ffe25b7d34e8a","0-c28098461ad5900e74b58b259b37d41d5453e7be5ad43450eb0740585ee71c51","4-6b412874d5ce82893b8bfbaa9833ca9a92328d62a8d46b1c75f6f1aac4ad63de","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Government Support","1.393","0.729","1.148","1.304","0.000","1.304","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cdde32f263605efa565ce4d4f2dcfab53c9478c879b60a96129ffe25b7d34e8a","1-55ff2cb4cd94b6cd1b6e08ad4148a2546055cf684e401d57d9d36f0e5b9f0d45","4-6b412874d5ce82893b8bfbaa9833ca9a92328d62a8d46b1c75f6f1aac4ad63de","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo M1083","","","","","","","3838","354","257","8","240","248","584.333","71.179","54.025","1.662","49.867","51.529","152.249","201.071","210.214","207.75","207.779","207.778","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","419cc7e6796fce0e404e3fd1565ad6d43e728e42a9b2c8e98eb0df751aaf2d01","0-66dd1f06bc8ffbb814fb87fdb44f8cebf2db3950bac60d76a61d25dd10e6f040","0-a08042f89730faf7f4cc968561f90a68bae0ae48a022327cc14218bba37a513e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo w/winch M1083","","","","","","","845","","","","","","133.739","","","","","","158.271","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","419cc7e6796fce0e404e3fd1565ad6d43e728e42a9b2c8e98eb0df751aaf2d01","1-4b0da9e3962d9874dc8266a0a3fd20219a8fb131c738db16ff28020ee9debc4e","0-a08042f89730faf7f4cc968561f90a68bae0ae48a022327cc14218bba37a513e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo-Long Wheel Base (LWB) M1085","","","","","","","1313","29","219","","298","298","422.299","5.931","46.833","","62.98","62.98","321.629","204.517","213.849","","211.342","211.342","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","419cc7e6796fce0e404e3fd1565ad6d43e728e42a9b2c8e98eb0df751aaf2d01","2-779fff4064ce3bee738705614544c2a12257732b03216b23e9d42cbc710a51c0","0-a08042f89730faf7f4cc968561f90a68bae0ae48a022327cc14218bba37a513e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo-LWB w/winch M1085","","","","","","","65","","","","","","10.563","","","","","","162.508","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","419cc7e6796fce0e404e3fd1565ad6d43e728e42a9b2c8e98eb0df751aaf2d01","3-b0efa4b27ad148ed31c1e99cc303f38d7b2220bdd9f939bbe8d407c21110a629","0-a08042f89730faf7f4cc968561f90a68bae0ae48a022327cc14218bba37a513e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
