FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,RevisionsAvailableDate_val,ItemNameSuffix_val,OCO_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,@PARENTROWID,@PARENT
"2011","","AFSPC/SMC","2011-07","2013-06","1","5.200","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-5e4d16d2f37dd74054bc7a7ec91d2b55f99e3a6f5ecee92544e8c00126c29027","","","","","","","","","","","","","0-46be809ff59caff84ae91daa68b22be3606bf0f69190224615a3ced479db65a6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-06","2015-07","1","8.000","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-e0bac05f1d6355a8d1134af59e213a3f18d5c72f2b45a5fb12be541db13c9261","","","","","","","","","","","","","0-937a5b752e704efd2429f31e72c8eaa50a900ecd2f702236e2e686b6053664df","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-11","2015-07","1","9.100","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-4a3a2783255b09a9745429054342de7305f904e312fe549e024b80dd4821f86c","","","","","","","","","","","","","0-b351c5387b73ae68e6421660703e18d86e18c283ded8fe201c03c744c8b4bbfd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2013-06","1","5.116","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-67455c23bcde7f829b40d899185831c80b0635b66346c1b8701e4995a81e96e5","","","","","","","","","","","","","0-5df974a1563b081efe4e2bf5d5c712275498f7c9c888fcbf70966b60f7e51562","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-06","2015-07","1","21.320","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","1-b1f30f39ba2e76bf1ece1c56c6243bac99d03e07226bf6e4b5911c9241b8ba7d","","","","","","","","","","","","","0-5df974a1563b081efe4e2bf5d5c712275498f7c9c888fcbf70966b60f7e51562","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-11","2015-07","1","12.162","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-1d5a7448cf73a45d8f24a47c3070ad87cfff1e0646762d1d17717cfdfb65bbff","","","","","","","","","","","","","1-9909b82a19fba5f023878a306cf38ab97a50ae5efc0d40284a277d0751fcc60c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2012-04","1","1.615","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-a874ca5bcc98e419e5f7b4bb3863cca36ae604e98559a08bb5a713b712983880","","","","","","","","","","","","","0-20de28abc02417954b8eac11450741dd6239bf45b980a8dedc7163605b967c23","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/ESC","2012-05","2014-06","1","4.241","true","2012-02","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ca4a21a6df897b8aea1925161ee0fd863476b50df1ca5a541e8d6f45ea12f962","0-4ac8f1f214cf7ce85b5f836ba32b464266736e03143a2d35eff1d6ab65e69cdb","","","","","","","","","","","","","0-588877e02abd27356a894d8c0f426c56c974e64a5b23c95e4ee8be019708a1ad","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFMC/ESC","2013-05","2014-06","1","1.272","true","2013-02","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ca4a21a6df897b8aea1925161ee0fd863476b50df1ca5a541e8d6f45ea12f962","0-fc2f737dcc78c289febf19e3c5308bf8e15faccadf14a9693dceeffd90842c6c","","","","","","","","","","","","","0-f0284d49ac0b198973f382fe6232a9037687bae338e7f81a238ce6a73092f31e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFMC/ESC","2013-05","2015-06","1","1.502","true","2013-02","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ca4a21a6df897b8aea1925161ee0fd863476b50df1ca5a541e8d6f45ea12f962","0-23a2ff775003c364ebc7b20143630e793e979c63ab1fb844fd7e12dcf6cbfae0","","","","","","","","","","","","","0-5109028e4e23489d32aae87a3a9957c8550c45294e35665b3179f5f139c3c9ab","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
