Name_val,Location_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@PARENTROWID,@PARENT
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-46be809ff59caff84ae91daa68b22be3606bf0f69190224615a3ced479db65a6","","","","","","","","","","","","0-fce5817810890d1d8dbb8d1e923c2ca267bf43f849026a10c6758bfdfc716ea2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-937a5b752e704efd2429f31e72c8eaa50a900ecd2f702236e2e686b6053664df","","","","","","","","","","","","1-01b620ae5eedc4e43dda5b2f1bbb85fc9172dec31c24516f371a53a151f3fae9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-b351c5387b73ae68e6421660703e18d86e18c283ded8fe201c03c744c8b4bbfd","","","","","","","","","","","","2-af97406b07b15bf4545ca119b3647cb222abe3e2b9ba4f9acbd326025f479641","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-5df974a1563b081efe4e2bf5d5c712275498f7c9c888fcbf70966b60f7e51562","","","","","","","","","","","","3-e59559160afc2605ed6484155f752ce7326b47c3e21d32916c861b42c37109e7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnycale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","1-9909b82a19fba5f023878a306cf38ab97a50ae5efc0d40284a277d0751fcc60c","","","","","","","","","","","","3-e59559160afc2605ed6484155f752ce7326b47c3e21d32916c861b42c37109e7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-20de28abc02417954b8eac11450741dd6239bf45b980a8dedc7163605b967c23","","","","","","","","","","","","0-b5f3f84c8bb61f34edbcbdf637e3bc4bd9f12a59b6c8cf58167a25f1ab932775","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"ITT","Colorado Springs, CO","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ca4a21a6df897b8aea1925161ee0fd863476b50df1ca5a541e8d6f45ea12f962","0-588877e02abd27356a894d8c0f426c56c974e64a5b23c95e4ee8be019708a1ad","","","","","","","","","","","","1-a1175449df161d9e587d68dc8f4e0dc0e7e44a37796888a328985ef0d46a6167","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"ITT","Colorado Springs, CO","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ca4a21a6df897b8aea1925161ee0fd863476b50df1ca5a541e8d6f45ea12f962","0-f0284d49ac0b198973f382fe6232a9037687bae338e7f81a238ce6a73092f31e","","","","","","","","","","","","2-c18a336e2a3068dcad5e90991d45525562579d7a828b348406684e2dee3df9b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"ITT","Colorado Springs, CO","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ca4a21a6df897b8aea1925161ee0fd863476b50df1ca5a541e8d6f45ea12f962","0-5109028e4e23489d32aae87a3a9957c8550c45294e35665b3179f5f139c3c9ab","","","","","","","","","","","","7-7b7d1b4e1de1ac187f1c676c536d76b4ce86a012ed23638d569c0c73e40c0e79","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Integral Systems Inc","Columbia, MD","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-3da6b6d8f1d2d78f81be4edd09d57a3123b398c16feac0ebe172995a4ddb4b2d","","","","","","","","","","","","0-b935e97c9a605c9ac3052585c53c4140764e20dceacbacf0344574d48711589d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Harris Corporation","Melbourne, FL","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-ab694efc8dc411c4d045ed27119b05127aed1327d2bc5e6588380d6c5672e1d8","","","","","","","","","","","","0-90728735ccc3630d9f7c571f298e499efc11c62cdff5c8de9d9733c5ea80e3e0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Harris Corporation","Melbourne, FL","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-f0a7a538e710c72eea9cabf79682d0dd6509b006d6d664253214b826e1a7ba71","","","","","","","","","","","","1-ba71f039ea3b0778863255002f833a25b258f60232f2a85bf8e81ae3f5d52360","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"Other","San Antonio, TX","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c91f5cdd4eca7519e06ff3914b55a327c2bbb5beed3ace01e75b39d74e6cd62c","0-875f5dbbf2e5419e7d1f4709279b788d9761287d9b36829636dbaad2df225bbe","","","","","","","","","","","","0-5c0f9984c7b87251dcc84867b3181ce2b29db5f46ae00ab443cdde1b914863b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"ROCKWELL","RICHARDSON, TX","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-42cc0d59723f4caebbe78bbf3a76c1008892cfea2dd4027f3ae496751d3ea9b2","","","","","","","","","","","","3-0cabf8d89a591b69046887d0706f2c98904f0ad66b2f81707e615cb40f41c22f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"ROCKWELL","RICHARDSON, TX","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-ce1b2480b08847f98d5adec6464469e0a26c75cf828d9525208991ffd18a9760","","","","","","","","","","","","4-30ad611276681e1febcd85b6c7d1bf169dba55d453cc75464dd01b2b3fcb7ab5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
"ROCKWELL","RICHARDSON, TX","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f71f544339083af465350ace9c24e4f34c61dc147efc0afdba8734bd51778f89","0-b81fdfa790c116cc6372a0455acd2702996f9b70f5ad303cc8211c5454f9fc75","","","","","","","","","","","","5-cb93293d018d1d49c5666c2691ede90626a183de6ae6c6e23910a385e168cd9f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement"
