ServiceAgencyName_val,ServiceAgencyName_@footnote,ProcQuantity_val,ProcQuantity_@footnote,AcceptedBeforeOct1_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ServiceAgencySuffix_val,ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule,@PARENTROWID,@PARENT
"Air Force","","20","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-9a4a511aaf476390e011e5bc3dd6274a91afaf4a40a499d132134c9e7914ceb6","","","0-c6b18974c4b5d9a7edb4b4390f963d185a2104123081267136eada6ea43f8b95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","20","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-3819b69a912e2c7698aceec197d8ea1754745ee5f084736f7351a09593a73dfc","","","1-06fc70c847bac1d6a1181ff4a492c264c8666682be07d6476699b54c7adf5df8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","4","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-5285aa435c1516c844b95cfe6904d77acc3041e3d822f885c653296bf3c13306","","","2-ed0b525b11e921a02ce88dd9d646c0868f6b279c2740e5f7918a96765ada0d2c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","40","","32","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-c50c385e81e1c827b56148369f082be9cf9a767744ad25881a5df942d97410b6","","","1-6225a84e5e6788e00ea532b6e2d01d1f294a7ac563e92d4358a13609c16d45af","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","8","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-eac62b8f37fae7b191728aa74b1f55ebc2597b27c440aa2db4e0b22bc2ae1661","","","2-896a6d0621adb2dd7b2267c6ab3d641e48cf0865dbf42b7fe807ad9ba263d6ec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","25","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f91bb0eaec14b11654bb7470bdb8dd674cc6d331264ea5d8d30e080a2b92f183","0-2c96dfb3f9e2e130167b7e454dabf197483ed7d95aa9a715e8816fd5d8b07ceb","","","0-9144e1cf90d8fc3e694c648c9ca6b5d402617b5eca74a924dfc97c89518ccdbe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","22","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f91bb0eaec14b11654bb7470bdb8dd674cc6d331264ea5d8d30e080a2b92f183","0-aefee65d35d76ba91df8df652de607d306363049ce1f8ead6c8291de53d459db","","","1-73481e4649773926b585e86e2a02be4b660a4b8a577ce8cfd69aa736b2fc2cdc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","2","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d0ba0f78d606148c657387c9866eb5e31e8dd73a0d50c2749f4ddea76d67aadd","0-d7bce84a3745b122b5a6c5e55f07fc7627c7253264d5ab002fe1a7a09b871e06","","","0-f684e9c7fcc9ec4df4b24601c9388fa2aeee64e11289d169cc88987d2e8e8ace","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","3","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d0ba0f78d606148c657387c9866eb5e31e8dd73a0d50c2749f4ddea76d67aadd","0-6315865295a7098fb6de09423505350968a76d1d35a03feeadb5520e4d7365eb","","","1-1be9227205b73356cb89c3d23db91a4d73648a431a20815ab37f298a1e4614ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-9073f2818924afb9e23a4c2aa8f2488e7022c414d4135ae00bfbe9a79df9972f","","","0-db474dfaf1e630b53485a1513dd5b3a04f1f83d4b5805c29df6ea79882cb7b27","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Air Force","","24","","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-a47244496f5ab031dad2d2d3923cab4c036b0363800f25dc21304f147502f495","","","1-659d609818b2a31c44ca56a07e376f09a8ea210d9e9265609a17229ed39dc7ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
