Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"LOAD, ASSEMBLE, PACK","","0.000","","","19","577939","10.981","55","97575","5.367","24.01","489963","11.764","24.01","50604","1.215","24.01","540567","12.979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-59b4bf5b4aeb44a8a6c8dfec41cde2bcd0847af62b1e4a18b4bb48cb7b0dfce1","0-66ecabd8990f18d4c8bdd4adca4dd6408c77c3208e9e6bec46ab955c10e5b7fd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK3-0","","0.000","","","193","116","0.022","209","19","0.004","212.12","99","0.021","222.22","9","0.002","212.96","108","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-782026d9c30abf0ed2c68a1263d2595ceb64cca7d2782a9e49fd877e16784d85","0-66ecabd8990f18d4c8bdd4adca4dd6408c77c3208e9e6bec46ab955c10e5b7fd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOX, METAL M548","","0.000","","","33","2370","0.078","38.13","396","0.015","39.17","2017","0.079","39.22","204","0.008","39.17","2221","0.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-f6b7483950756f4a1ff135779336cfd7d50cbe6459a1d31a64d70e857a8da413","0-66ecabd8990f18d4c8bdd4adca4dd6408c77c3208e9e6bec46ab955c10e5b7fd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","9.73","503186","4.896","14.14","327157","4.626","10.96","904197","9.91","","","0.000","10.96","904197","9.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-6c6cda4ce101b0cb2171ddbaa200c8a83cb5d1434560ec0936a313ab3500a4d3","0-53c06207778f633625012d9bf437703eb0f183051f00c486cdd4c6ec2dfc0b13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOX METAL M548","","0.000","","","33.14","2052","0.068","38.69","1344","0.052","39.17","3702","0.145","","","0.000","39.17","3702","0.145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-2bdfe51077f3974fb35756cb0fc959300152ef9084cd21a239bf35311dfef972","0-53c06207778f633625012d9bf437703eb0f183051f00c486cdd4c6ec2dfc0b13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK3-0","","0.000","","","196.08","102","0.02","212.12","66","0.014","213.11","183","0.039","","","0.000","213.11","183","0.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-a3795c48f0bb6259bbefd4428778be08214515f430847dbfd654de8a74ba5977","0-53c06207778f633625012d9bf437703eb0f183051f00c486cdd4c6ec2dfc0b13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK (LAP)","","0.000","","","51","931044","47.483","50.34","209479","10.545","51.39","72232","3.712","51.49","90425","4.656","51.45","162657","8.368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-24d4aad7733f0ce9834e3db7c10a3e69d22ef4e9160c01dc36453a9ceb303d46","0-abf789b281e1545d38b236c232655ba697fed9f2abc93e0b1b7adda3d716df3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TUBE AND STRAP ASSEMBLY F/30MM","","0.000","","","401.91","1677","0.674","405.84","377","0.153","453.85","130","0.059","407.41","162","0.066","428.08","292","0.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","1-baa58b8ca0a2aa90d10ded703ff5ea97697d4b1c93ae8ddb5cd2cd162c488037","0-abf789b281e1545d38b236c232655ba697fed9f2abc93e0b1b7adda3d716df3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER CNU-332","","0.000","","","1898.03","1677","3.183","2761.27","377","1.041","2761.54","130","0.359","2644.17","163","0.431","2696.25","293","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","2-db9f11bfb8a62948891ed4bc262b228f39b6702f1b6d3e838405869317b1652a","0-abf789b281e1545d38b236c232655ba697fed9f2abc93e0b1b7adda3d716df3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD,ASSEMBLE,PACK","","0.000","","","16","1988675","31.819","17.16","331355","5.686","31.5","162063","5.105","","","0.000","31.5","162063","5.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","707f02397a1e2bfe9d27940b6636bf80270ddc4ca86c22fd47d096957a6415e7","0-2327fa00b4d58b65c18102a97e774726a2fe96b6e02c3479cc0f081bc98426a7","0-e76fc297e7f6896e269eb6a05c2b6b34cba54cc3475f7d1252611a1a8c3dc875","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
