Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2014-02","1","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","0-33a2bc62f8b9e97c800a432a6f92e7d148e0f842e85b2a0f10a7ef05c41dce9b","0-4601cf6f5e4d142010f6b984899f6dc5472504536ce178aece96ba017a987714","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-02","1","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","1-765bbca1575395b16f97f63309d8d5122de59c24fcdd41eeeb1f095eb7fd298a","0-4601cf6f5e4d142010f6b984899f6dc5472504536ce178aece96ba017a987714","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-01","2","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","0-d7a57377e3cc6baee3f932151f60f96ac29afb149badab4f355ed88eb3730219","1-802a061caf90b661579d8301a93fe6c84efba045d7f51d6f94c676761b425bf4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-05","1","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","1-94dbfc9a5a7cc165f604f610e0714f98ff7f0cd27a3e82be2729bd0cddfd4d0b","1-802a061caf90b661579d8301a93fe6c84efba045d7f51d6f94c676761b425bf4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2013-07","2","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","0-a659ea7e893a1bc7c8e423ae58969e4bdbfcd4e46fe77a1619d59aa3a3716aa0","2-5de52ad7b4a71ed2359390ae158c98b722bc9ab55551f1d654a67d43a48f97c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-12","1","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","1-cc9693f5a22d96d5970a938e1b7d245b8effd23eddb858018e7049ea429315c8","2-5de52ad7b4a71ed2359390ae158c98b722bc9ab55551f1d654a67d43a48f97c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-10","3","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","0-5334ebf5268327c2578ee413fb0fc82586eb742978d9c3c85349ab4815f593be","3-4b21d863884f5b5146ef0f06fbbf737658c92319bdeda6da8296fd02c1f6d45a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-10","1","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","1-ad47772c906442d9771dd5936c3eeb093c713176b074f7aa7ffd73c382e0b25a","3-4b21d863884f5b5146ef0f06fbbf737658c92319bdeda6da8296fd02c1f6d45a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-12","4","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","0-8e3f363d4070b2cc95abecd5a6797886caf69bd8ea5b72f21048189f940d9979","4-d390046d648d07461004cfa1c12b746e46186af606851f71299e61cb1e6f447c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-10","1","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","04ba31003147d065bb7b0469d96856c0e467991933cc18cbefa9e3616265b178","1-11cbbc7156c1ee7608d960c1217ced06b03e78ee2904e0f245e7581fc5fc9ea0","4-d390046d648d07461004cfa1c12b746e46186af606851f71299e61cb1e6f447c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
