FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,OCO_val,@PARENTROWID,@PARENT
"2011","","AFMC/ESC","2011-09","2012-08","1","0.607","true","2011-01","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","27f4ee5ddee3c9c8291b8071eb6fd6c3382205a785c275f3a02be89e5aae43b5","0-6dc5cc3ad6dbac11c4eb8b10a13de222d0dc10b6c59b3ce2951cf2da7d1b5d3c","","","0-bf41ff000753f4b220acb9bb8e8d9cb75e2bae7771adc03a9c214522b4550c3f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFMC/ESC","2011-09","2012-08","1","0.607","true","2011-01","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5715c9b006692968d79127d8d7e584bc45d6b62d4847094b3904d9d6a82d55e6","0-1e49f820c6960c7ea6003757be5d822d2065512d7733a094ebc28a6288c77648","","","0-efff3cbcea6cbcce9e185a294d73da7cb394bfdbcd8b1b5cc6e3e72888fb3a60","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-10","2012-11","0","0.000","true","","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a47c3fb9f686f4c27b6a0c74baf4c97ee263dfcee495db8e9fa5b39c2bbe72cc","0-a7ab5ad4214614c99faca1db4a3919f2f6d07b78adff89924149957b68fcef33","","","0-ee612e6ea5a4bc0e93debea559178128f719e5c28f77c1cf9261bac8f05de1a5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-12","2013-01","0","0.000","true","2012-04","C","FPIF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a47c3fb9f686f4c27b6a0c74baf4c97ee263dfcee495db8e9fa5b39c2bbe72cc","0-2029f5b90ac4263b6d8a80ca67b1220c831d3f39c933e3200dedabee8a352c0f","","","1-43e071c257cf8e78520772b128b159b76050a3147043f66636407e1972bbaf81","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-10","2012-11","0","0.000","true","","C","CPAF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b95a51121912b4e606479a737b273c66366c627a06c3c2369abb6b7327b379b4","0-c8efb289d6190a2ac8760bb91280c2530c487c92b4c37ab78445884f4e7ddfe1","","","0-12578b329992e74ad3a1aa9f9c3d9bb8c7f4bb1be67f93293c05dba214899031","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-12","2013-01","0","0.000","true","2012-04","C","FPIF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b95a51121912b4e606479a737b273c66366c627a06c3c2369abb6b7327b379b4","0-aea1b336af3d3012c50ee5cf2f0add59cc6a9b933455ada917966e597087d5f4","","","1-b3190697be28cb32f4069a4facb250930b4ac5569cbbff5f386ff2774e4e95a0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/AFLCMC","2011-11","2012-11","5","0.863","true","2010-12","C","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","e3e63a3887d6989a5c2d7108b276daf9ff79d7d1a66fe1bb40809006bb4b76da","0-24e1600a1ba63489eb62c28b8cec849c477b40d9a61e7b5396eeb30ccb4caf2f","","","0-16fa0fa987b28763f8daf2886a2c0b603a8a7e6c2dd068792d24b87114428d45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFMC/AFLCMC","2012-10","2013-10","4","0.119","true","2011-11","C","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","e3e63a3887d6989a5c2d7108b276daf9ff79d7d1a66fe1bb40809006bb4b76da","1-c73573e1b28f46d3778cd42dcabc873f6d186dd440c6009b7dffa8b190a1efb5","","","0-16fa0fa987b28763f8daf2886a2c0b603a8a7e6c2dd068792d24b87114428d45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFMC/AFLCMC","2014-03","2015-10","3","0.172","true","2013-04","C","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","e3e63a3887d6989a5c2d7108b276daf9ff79d7d1a66fe1bb40809006bb4b76da","2-315e78836e5dce3b7cea845fdcdcff96d63fc1e8fcce1a093a5b5c8c27ebd8ba","","","0-16fa0fa987b28763f8daf2886a2c0b603a8a7e6c2dd068792d24b87114428d45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFMC/AFLCMC","2011-11","2012-11","5","0.863","true","2010-12","C","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aa85cbe4f41cfc1c4d9fce368e1b9af8b54a97cd1b25776caa379b7ef036623a","0-9f492cda98369a8cfe4aa4060c4d3475dcd245683bb6256c30cd39048f84c3ad","","","0-7b8d200d8ef6e1435003a3ec08ad5cf71d6695d081cfa2685213cfc165786f70","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
