Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Pubs/Tech Data","B","53.594","","","15.277","","","0.289","","","15.722","","","0.000","15.722","","","12.827","22.98","25.734","54.587","719.443","","","920.453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-4dc1cfa78418a1ac4cab60f9817f192b35994e9a365cb00d9c05ffa4490da4f6","","","0-06c388ecba98a7be25c7765c425841fe99598202280a97dc7fa52f59975b1f14","root.record.ItemExhibitList.P5Item"
"Other ILS","B","70.274","","","90.432","","","225.223","","","135.834","","","0.000","135.834","","","89.85","93.429","155.179","194.374","2234.338","","","3288.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","1-347fe1767f47f70586b784ec8f302f16902cc483547541edc49696f08036a14c","","","0-06c388ecba98a7be25c7765c425841fe99598202280a97dc7fa52f59975b1f14","root.record.ItemExhibitList.P5Item"
"Engineering Change Orders/Engineering Change Proposals - Non Recurring Flyaway","A","2.304","","","0.011","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-ab3a8a6f2c3ef6df2f3b80634cbef380a87309d60f652e2a2955c66d717f1253","","","0-adb2310b84d5a1ef0f081c896297bb2f60b1c8367901f00bab0592cdcf15bb7f","root.record.ItemExhibitList.P5Item"
"FSAT Program Life Extension","A","1.517","","","1.176","","","2.588","","","0.313","","","0.000","0.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","1-c996e72ec4d06611890ba110acd637917c317e5f4cde18f9aa1c50f0d63dabc3","","","0-adb2310b84d5a1ef0f081c896297bb2f60b1c8367901f00bab0592cdcf15bb7f","root.record.ItemExhibitList.P5Item"
"Data/Tech Manuals","A","0.503","","","0.465","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","2-051432be26cc2b5cf3365999880bfb7ab05cf9624300a92cc2db839f740288a9","","","0-adb2310b84d5a1ef0f081c896297bb2f60b1c8367901f00bab0592cdcf15bb7f","root.record.ItemExhibitList.P5Item"
"Pubs/Tech Data","B","53.594","","","15.277","","","0.289","","","15.722","","","0.000","15.722","","","12.827","22.98","25.734","54.587","719.443","","","920.453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","0-488127d5f6da4361782735721031eb20447983a8b0175d54ba45b3aa6b82be8b","","","0-ec9de133f03aced7b746a0103b9a83440d47af99c13fa3dbab89a90877842272","root.record.ItemExhibitList.P5Item"
"Other ILS","B","70.274","","","90.432","","","225.223","","","135.834","","","0.000","135.834","","","89.85","93.429","155.179","194.374","2234.338","","","3288.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a7c231a729ecd9dc4ae9936eb487cb3e928861489d641113a76c375e9894e723","1-4b35a9102b780da7286053145772811f19e299b8c276059a3d27b5fa6e0173d9","","","0-ec9de133f03aced7b746a0103b9a83440d47af99c13fa3dbab89a90877842272","root.record.ItemExhibitList.P5Item"
"Engineering Change Orders/Engineering Change Proposals - Non Recurring Flyaway","A","2.304","","","0.011","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","49ea51a266d1f26fbb7e9540dcf13ac7edf6e0045e26abc78725de6f38f215f0","0-89d316b7a52f6398c21bbfa434ebfb7b8755be1f6bb1381af76bad3628d7b401","","","0-7a1a93732cc486aa0d8ed527836341582b605c70d93ae6af7ed5b2ca557d8332","root.record.ItemExhibitList.P5Item"
"FSAT Program Life Extension","A","1.517","","","1.176","","","2.588","","","0.313","","","0.000","0.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","49ea51a266d1f26fbb7e9540dcf13ac7edf6e0045e26abc78725de6f38f215f0","1-56ea927167b0a908dbe0a17e128898c027ad7fc3a486477e12472693616d17b5","","","0-7a1a93732cc486aa0d8ed527836341582b605c70d93ae6af7ed5b2ca557d8332","root.record.ItemExhibitList.P5Item"
"Data/Tech Manuals","A","0.503","","","0.465","","","0.000","","","0.000","","","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","49ea51a266d1f26fbb7e9540dcf13ac7edf6e0045e26abc78725de6f38f215f0","2-6531eefb3c396b8cb956a752ce7fe06924d56135f8b68bf1de73b0a10cf1ecb7","","","0-7a1a93732cc486aa0d8ed527836341582b605c70d93ae6af7ed5b2ca557d8332","root.record.ItemExhibitList.P5Item"
