Name_val,IdCode_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_CurrentYear_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_CurrentYear_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_SpecsAvailableNow_val,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Site Setup (PACAF)","A","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4f2a9f58cf27ad27f6cc4ad67475586852d3e834bd18d5357580c4d26cd69c02","0-ae885d0336794497138968a8574fcaf0716548b58b682d2dadb0819383d4d359","","","","","","","","","","","","","","","","","","","","2-71c33a73d63ccfb10439d5db82a232db3bf8baa89e730f7dd08f5599e5120053","root.record.ItemExhibitList.P5Item"
"Site Setup (PACAF)","A","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3c9f7b77615c542a6cce166b6e6f8c33b0b516de44f9bfb066f13f57f3336791","0-41c2c911a00707d61fa348f214021be63adcf953d064569a08af45c39d8fa759","","","","","","","","","","","","","","","","","","","","2-ba8348139b838d82d6fdd4b357d6a6c69088a7d7e97a2f089d6c0daf4d0d9ace","root.record.ItemExhibitList.P5Item"
"Initial Spares","","0.101","0.55","0.259","0.06","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e97b0d5e64f15b8971a26e90beddf82cb49d82d3f2246736e37eee46895127fd","0-24adec4cdb178d6c96d9ea925faa7f59715130eb775a2d2c6aacf957c4da5e27","","","","","","","","","","","","","","","","","","","","0-245953d0a942e36f3bf85506020af4915ffac4133b4b03e433638103b1d3ad4c","root.record.ItemExhibitList.P5Item"
"Initial Spares","","0.000","25.551","2.657","4.952","4.952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","5579bf4a34c5659fe5b487abc0650cc227bd584918494d3d824c8a466696af96","0-93a7e70008effb8c68e1f6819ba84a186234eb0689d45847bd5602f61e871d56","","","","","","","","","","","","","","","","","","","","1-bcd13121bbe234e8f994ca2e316bc19ab70494dc7aadf94a51084ff460efc275","root.record.ItemExhibitList.P5Item"
"Initial Spares","","0.558","0.095","0.023","0.056","0.056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","d82bb35db279d6c000e6f72a0f669c2b6c9c74c425af3469045200c16f21b2bb","0-286597e76b52b39c182867e844446da4dfc1ebda9266c07c7b884ede4ba5f63a","","","","","","","","","","","","","","","","","","","","0-d0a43546dd7bae619c7c454c81d189ba3eea39c47eabdba3553464428c1925a2","root.record.ItemExhibitList.P5Item"
"Joint Threat Emitter (JTE) Depot Standup","A","","","","","","1","","","","","","","","","1.1","","","","","","","","","","","1.1","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","cc1f40e991403df3a856082e18864e1fe1ec5f2e8b6416d112b6950ff1f9c5f4","0-e090f330fb38d59fdc87dd6557fab108170d175514470a8abb51a92174eccf21","","","","","","","","","","","","","","","","","","","","2-34affadf4d2f3b3d2ff82fb2ddafb988d03b3bd302d38e1d27f8c09e33b35901","root.record.ItemExhibitList.P5Item"
"Joint Threat Emitter (JTE) Depot Standup","A","","","","","","1","","","","","","","","","1.1","","","","","","","","","","","1.1","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","5167d6d3ee9a556bef3ee75eabaae2ce6ebb6a98f4e1b3e977c1854f0cb30694","0-dbd766b8c0a0dbc064d58069d8a65a343a7e4f6e5676d677e56c3bcd3cd882e5","","","","","","","","","","","","","","","","","","","","2-c1843e49548f09107132d39cde1fe00e67a804ed12c733ca7b94a6d627377fc6","root.record.ItemExhibitList.P5Item"
"Initial Spares","","","","","","","","","","","","","","","","0.259","1.1","0.06","0.02","0.02","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","13f1e214af094044972fe839eff32b568bc053189baf658daa0fa29915119cf4","0-3677ee436eeaf8217b86986fe208aa6dbfe5013f3e61f524ea9c6a481be4e315","","","","","","","","","","","","","","","","","","","","0-2dc0fd58adfba7fbeccd4d0fba144be29362236ae3992d3d3c23baa7eee427e3","root.record.ItemExhibitList.P5Item"
"Initial Spares","","","","","","","","","","","","","","","","2.657","9.127","2.48","2","2","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fa75e402870d00755ee3c83f3b526b20bf1f366e9cae4da27bb1612f1a31db7e","0-2686b240f3d19cfe27fee032adfd2a70fac5d08514af16dcbb1da8780acbfa5c","","","","","","","","","","","","","","","","","","","","1-7b7ae4e80019067fb2f7bbb4b4aed322fc8c9f7a270cadf808f84e9a4ee3a161","root.record.ItemExhibitList.P5Item"
"Initial Spares","","","","","","","","","","","","","","","","0.023","0.105","0.11","0.05","0.05","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_3-4-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","b9aae75cb87bcd2cafee9cd770aaf7a83925448a2a3d43222bd427f87fa6243e","0-d7605b1d9b05459a4fbb63759f207b2a05c99e280637d629cc4485a294a9edb2","","","","","","","","","","","","","","","","","","","","0-8c51d2a8185ad48156c8f14bdd82fd6a2da4af3b1500340be905eeab33df232d","root.record.ItemExhibitList.P5Item"
