Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2016-10","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","0-eaea3391074a62f42d07e8d15980b98533b6a77b5e3feeaa3e8f646f020fa22e","0-fbcbcff6f5d54430a0c1cc648db1f629c5bc84ae96fba488f35851c8bbd4a30d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-02","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","0-96fe6b09a66b17e49235970485eeaf99e0afe2bd25cf79517fe25e5e020e7682","1-9db3130b92d8f85bee23b5685096a25a5d0165ee7893ca71684d017f39b6993b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-03","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","1-5ca3d081453a175a5cf27e88d76ebe62fdee39c4515dd0209c6f60cff265cc0e","1-9db3130b92d8f85bee23b5685096a25a5d0165ee7893ca71684d017f39b6993b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-02","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","0-4ff80cf01172b403d1527c872fca9d544c393082b0e0d660577fa2607547eeda","2-d8b565b814209bdb93d4b76096e1cceaba707324c00ddff1a71c997204832825","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-03","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","1-98fb6ce4e4aad12d12410a44366e841c2bb5c700dd9a8524629a86528b8eebca","2-d8b565b814209bdb93d4b76096e1cceaba707324c00ddff1a71c997204832825","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-04","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","2-4fbb4a593937068f28c3cd0f2e9c87a377d1deebe35d50235a015a637bcaa180","2-d8b565b814209bdb93d4b76096e1cceaba707324c00ddff1a71c997204832825","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-10","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","c65c2d0ea2fabef820926a6a818da5c6319f34ef25a69b14de78ceb6be599d12","0-131c648b596349797aa2f1f67b932cb3f5a886685c3d7caf9db1225f9653e7de","0-44f883b31a256e59d8f864fb88c7d89e24b02e08f158d2c09530bf6dfe3fe87c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-02","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","c65c2d0ea2fabef820926a6a818da5c6319f34ef25a69b14de78ceb6be599d12","0-95dbceb31eb4725f270505e6dca748198a80b00a5f355f59d5830f3996c17155","1-c7de02957a3973ee6fb173b511ffd630a77fe78bb96f450431715b37685e76c6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-03","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","c65c2d0ea2fabef820926a6a818da5c6319f34ef25a69b14de78ceb6be599d12","1-8d2e4e4e71269feebe108d93585d4b3abdabcaad65e62b321b85d41bf6d26711","1-c7de02957a3973ee6fb173b511ffd630a77fe78bb96f450431715b37685e76c6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-02","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","c65c2d0ea2fabef820926a6a818da5c6319f34ef25a69b14de78ceb6be599d12","0-fd586b39db585fe7bc9cc0aa508a4d3b67934c6fd2a04b5d1c4dcc07e911b5ad","2-c6df5506bcbb3294ab834ce342eb771f2c43ab1b24ad34ff0eb0f96df79bcfd7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
