Name_val,Location_val,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-4da247c6291fb55a494a2f68b1b8269426beb5bff1ee5fcf16b42a2b22449341","0-394447a7252fd6c27c849576c1c76e1f005653861e832529cbab895eddc8e8f0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-a254cdf313402014a0438993bb65c4c2a0b4252a72976db0c03fb7c3560543ca","0-7dfec35618828883da8c4c40b8bc8f91c5dfb9c0a8c285eef9a5b365cc274bc1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-4c4602911e031fc13f429b03f8ac4d2323282cadd770a08ff1ff20a55c1de664","0-d21f382e114124eac88013be692bab314bfead7b40f9e28999c4334f6ee5f405","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-adfd83f8ab4607b70345139a2f394f9d86e7d8f478811d8d75fd86e8a3d7a341","0-96b7e1030b1f8a59ea5a377b5956ef4d85699afb457a46206ed05197681eaa65","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-6a8068c91453095264cc34c901c8322bd513c14760eb4e9f55a44750914a7e39","0-d2fefb9419c30c0f21395048c4d082df54d809eb7bea4ae986f5734ed04d3609","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-3dc9de3e993af856271db57110ac0f47a944004727c94ba207e6c8d7091b8f4f","0-3cdd71e8aee6248f4a9eb65f971edde378876e98c60549d4252c833d354a874a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-d70d48cf98dfd6b2b7f2c74976238edb0801aa9eac0049fbd7e562e47d603875","0-43dced365423dbfa8264f16ab7896d8058437ea005d1fac481ae8e09c685d182","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-b4cb1e7d916b35b2b363fb82a8fd8cc83ae1462141da96db31ec19bebdd4be88","0-fc223cc1cdda83229068fb8920038b243db65395718b1b9ccae8b347281033e8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-81707f3b82b779a062a74d0ec0aed2af06ec0d0b76b2c94f08fc60dd64114bb1","0-1e85416fa0177e93232fd005dacc07aae48e69dea0dcd505f95234da3eef84b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
"NETCENTS","Various","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-d1be9e6010c656d675479d35ca383d43a9d975f0ce7a510436de8fae1079e252","0-44b92352757726e4f6dece7aed829b2d672b253ccd056bfac406f8de5c404f00","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement"
