Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"Interim Contractor Support - ANG Base Activation","","B","11.599","","","0.000","","","11.599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","0-306c1f5002e50ddc3cfa2e2becbfa49a9cba2f5cd700ad7dcbe70781816fb800","","","0-e04de8694204b88d452d50c2f8994dd989c942b13bbddffb8450193549f3bafd","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support - ANG Base Activation","","B","11.599","","","0.000","","","11.599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","34c9d373835001939b87d62096d125596d1c7d23fdc0222462b482644a61cbb9","0-0c99e723c1fc40266e8d1b9224290dc8eb248d21385a3e2ebcd73550ba85671a","","","0-7570d62bc026bd3f3da1c96e40cffc53755cfd46dced89665152837af77daa34","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support - ANG Base Activation","","B","11.599","","","0.000","","","11.599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","be7fe09ae728a1600d0f7bf67edbd3753adecb9fdb0367a0f862cacbdfa2e0a1","0-7839d156621e43e7444ddca46dd9ac2d9c9a2b166779028051deddce32dbff52","","","0-cfbe9ea560c43774202ad6a804a24f31511f4ce7912540767cb97a9d17ba50bf","root.record.ItemExhibitList.P5Item"
"Site Survey/Site Setup/Training","","A","0.000","0.000","0","","","","","","","1.974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4f2a9f58cf27ad27f6cc4ad67475586852d3e834bd18d5357580c4d26cd69c02","0-99855c90d1c89453b1e38957a0ba4ac01d5531be68cc3630d93cb4ddc2836696","","","3-7bbe12bb53a67afcb406bf27afe6bd569d72c7cd779b7f36f4b5a93d96d5805e","root.record.ItemExhibitList.P5Item"
"Mission Support","","A","","","","","","","","","","0.069","","","0.055","","","0.054","","","0.054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4f2a9f58cf27ad27f6cc4ad67475586852d3e834bd18d5357580c4d26cd69c02","1-472991c4061283d0bca364ce6eb7cab504758e4a27364a51eb3621be42336cc4","","","3-7bbe12bb53a67afcb406bf27afe6bd569d72c7cd779b7f36f4b5a93d96d5805e","root.record.ItemExhibitList.P5Item"
"AFNet SIPR Modernization - Prime Contract","","A","25.329","0.563","45","0.000","0.000","0","37.737","0.455","83","3.18","0.795","4","","","","4.614","0.271","17","4.614","0.271","17","0.271","17","4.614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-394447a7252fd6c27c849576c1c76e1f005653861e832529cbab895eddc8e8f0","45","0-793648636136cab9d36a6c19041b051b0642bf93d8c02244f9317ffe8d8b03e8","root.record.ItemExhibitList.P5Item"
"AFNet Enclave Control Nodes - Prime Contract","","A","11.215","1.122","10","0.000","0.000","0","72.847","0.281","259","32.32","0.213","152","14.417","0.481","30","","","","","","","","","","0.222","67","14.895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-7dfec35618828883da8c4c40b8bc8f91c5dfb9c0a8c285eef9a5b365cc274bc1","10","1-3178a9a999c8453d7fa90790420738e324a1158d45ace50ba1f021c9dccf87aa","root.record.ItemExhibitList.P5Item"
"AFNet Host Based Security System - Prime Contract","","A","","","","0.000","0.000","0","67.726","0.106","636","16.913","0.16","106","","","","9.702","0.092","106","9.702","0.092","106","0.094","106","9.928","0.1","106","10.648","0.096","106","10.158","0.098","106","10.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-d21f382e114124eac88013be692bab314bfead7b40f9e28999c4334f6ee5f405","","3-4a9b16c60b85de490c8d811453fab2f69561cc2b93c95fdfcc5549cf1c3bc4d2","root.record.ItemExhibitList.P5Item"
"AFNet Vulnerability Management - Prime Contract","","A","","","","0.000","0.000","0","2.872","0.013","226","2.872","0.013","226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-96b7e1030b1f8a59ea5a377b5956ef4d85699afb457a46206ed05197681eaa65","","4-010c9a88a64e819c560bbb14ba4bfe025f2a3bb62bf62d9f3de8e18730bd446d","root.record.ItemExhibitList.P5Item"
"AFNet Infrastructure Modernization - Prime Contract","","A","","","","0.000","0.000","0","198.259","0.265","749","10.722","0.1","107","26.294","0.246","107","18.313","0.171","107","18.313","0.171","107","0.441","107","47.176","0.174","107","18.635","0.349","107","37.341","0.372","107","39.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-d2fefb9419c30c0f21395048c4d082df54d809eb7bea4ae986f5734ed04d3609","","5-dc29deb0fe462ea08dae85b5cecc45e21ab835958555a4763be568cc32a9329d","root.record.ItemExhibitList.P5Item"
"AFNet NIPRNet Gateway","","A","23.824","1.324","18","0.000","0.000","0","207.766","1.443","144","20.824","1.157","18","28.546","1.586","18","23.246","1.291","18","23.246","1.291","18","1.5","18","26.994","1.593","18","28.68","1.53","18","27.545","1.562","18","28.107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","1-b11d463983eba49cc9cbd0c21d5a7334fd4122f8cb7182034599c52784076ed6","","","5-dc29deb0fe462ea08dae85b5cecc45e21ab835958555a4763be568cc32a9329d","root.record.ItemExhibitList.P5Item"
"Site Survey/Site Setup/Training","","A","0.000","0.000","0","","","","","","","1.974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3c9f7b77615c542a6cce166b6e6f8c33b0b516de44f9bfb066f13f57f3336791","0-1334976c8b3afe9a26ee7ad788ac5632af23ef9ccb31d184c8b45a85a4ef5eb0","","","3-2802bf3eb41095020b4b5225bb9ea33454d7d1435070fa396f7fb8f1244237a5","root.record.ItemExhibitList.P5Item"
