FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,Quantity_@footnote,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,OCO_val,FundingVehicle_val,RevisionsAvailableDate_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery_Month_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery_Amount_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Month_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Amount_val,@PARENTROWID,@PARENT
"2011","","AFSPC/SMC","2011-07","2013-06","1","","6.300","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-2c4828138b9fec809ee6cc2e86adf497263833292ec24db02c15baa51eb2fb2f","","","","","","","","","","","0-bcaf140104bedd17d3e48c73d7aa6d22283d74f758ea5edbc99e60db7968ebc0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-06","2015-07","1","","14.350","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","1-b34768688ae6c41ffba13c266c0091b50bafd2f47f03eb6d9ad199de0aea0c38","","","","","","","","","","","0-bcaf140104bedd17d3e48c73d7aa6d22283d74f758ea5edbc99e60db7968ebc0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-11","2015-07","1","","9.400","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","2-a68efea1c1ef9e8b2cd33cbef8519d54cb482dd1f45996670f6614aef9b4c687","","","","","","","","","","","0-bcaf140104bedd17d3e48c73d7aa6d22283d74f758ea5edbc99e60db7968ebc0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2012-04","1","","4.685","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-6e2da7cddec6c9235852aa5f80aba81e2aa11d9912904d0e88191cf97d2ec1d6","","","","","","","","","","","0-dd9aa28da8ee409019373b879857ea0c06e299825969e23e6ed0553c8b6ed166","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2013-06","1","","6.300","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-4ef5a5779dbabaf49204db879beb7e2c3c790ec7a64201ff4a1313ad0529c826","","","","","","","","","","","0-165439bd780bb9cbdfd38189fd358fa8ba3fbecd80aefa11f0ebf89d08e7d2bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","AFSPC/SMC","2012-06","2015-07","1","","14.350","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","1-0d55315659b022368e0b6140ff1c66998d16d9a8357a0e0dcc58b619d11985d2","","","","","","","","","","","0-165439bd780bb9cbdfd38189fd358fa8ba3fbecd80aefa11f0ebf89d08e7d2bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AFSPC/SMC","2012-11","2015-07","1","","9.400","true","2012-01","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","2-5149066e9536afe7a27a5f9c22efa4622d279882c8351175bb7803a05ba6be3b","","","","","","","","","","","0-165439bd780bb9cbdfd38189fd358fa8ba3fbecd80aefa11f0ebf89d08e7d2bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","AFSPC/SMC","2011-07","2012-04","1","","4.685","true","2011-06","SS","CPFF","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-5b4289cfc6ad68baf401615ddfdfbb1b3a80aed3d54d8f6f297ce482a7bc745b","","","","","","","","","","","0-54adc2d21147ee0a40ca39207097b514bb8983ba078cdcc62f03a977576ad7ba","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (14)","Oklahoma City, OK","2013-08","2014-01","1","","1225672.000","true","","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","7ee66450215aa07e5fc5e2f7586e96df772899f668f3a8a5c59985ebc55d7351","0-053229e016ff098b5951cec1e33b85c06e5c755a42f0053b0fb9ee18aba3615e","","","","","","","","","","","0-ca42f79b26156486a698d0abd550d0f6264122b02d4a921599211bf7177f3943","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (14)","Oklahoma City, OK","2013-08","2014-01","1","","1225672.000","true","","SS","FFP","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","7e13f1f4256aedd194be0beb65b8fc8b222c74d5ea80d6a83a2e4353d3d903b1","0-065198766d9cc951dfc937602b1706c7cd94fdfd6beb25b8b743ea6912c45901","","","","","","","","","","","0-8c0a90607b9a9d55846f70ed4201d2ec7fc2aa47ed31816ac9c9141e4923b8c8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
