Name_val,Location_val,@SOURCE_FILENAME,@RECORDID,@ROWID,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,MinimumSustainingRate_@footnote,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,@PARENTROWID,@PARENT
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-bcaf140104bedd17d3e48c73d7aa6d22283d74f758ea5edbc99e60db7968ebc0","","","","","","","","","","","","","0-7281d3ea1b894869e0519ae2a8e8ce8dba8cb9a6b4bff1f3de5bb0eb01fec238","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","db620a4c1c8a130dd60c948f738fd17d49a1d22f36178245b87b9fa092c86953","0-dd9aa28da8ee409019373b879857ea0c06e299825969e23e6ed0553c8b6ed166","","","","","","","","","","","","","0-921a0ed6462fbc49cd5c735b0fd76041c01d88f4ab66990c8fce1fee666799db","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-165439bd780bb9cbdfd38189fd358fa8ba3fbecd80aefa11f0ebf89d08e7d2bd","","","","","","","","","","","","","0-6b23d5ac99306d119cc23cfb44d63cd7ba02208066f79e5d690e5206cec5212b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Lockheed Martin Space Systems","Sunnyvale, CA","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8a400c2fef47d9b788224f8887bcec41dd3e6a41b162e420da864434d320ae95","0-54adc2d21147ee0a40ca39207097b514bb8983ba078cdcc62f03a977576ad7ba","","","","","","","","","","","","","0-aaba94d0ce18cb100860ef79f21f078f930b6d5f3c57159f37e51874092ba720","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Rockwell-Collins","Richardson, TX","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","7ee66450215aa07e5fc5e2f7586e96df772899f668f3a8a5c59985ebc55d7351","0-ca42f79b26156486a698d0abd550d0f6264122b02d4a921599211bf7177f3943","","","","","","","","","","","","","5-6a40e6fe1306072813abdc5be2fdfca4756fec7229fb8239e5400f68d85206bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Rockwell-Collins","Richardson, TX","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","7e13f1f4256aedd194be0beb65b8fc8b222c74d5ea80d6a83a2e4353d3d903b1","0-8c0a90607b9a9d55846f70ed4201d2ec7fc2aa47ed31816ac9c9141e4923b8c8","","","","","","","","","","","","","5-2e127952b2f71177941fc73345a4df818122cd16d787827bfb8e7dbfbffc306b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"SAIC Defense Solution Services","McLean, VA","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-32c9b0c2adc69f4f17aa76620a31190bdb733423ac842d41d7380d5f66b326c4","0","0","0","0","0","0","0","0","","","","","0-7fc1d426354f5029c6511f34d9e5b6b2f69cca3915a706a3a3479ee4d30aecd1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-84c7fc319b7f9c7ea0175681666a10838cb8d88bedcba4ec1e89d49c056aebd0","0","0","0","0","0","0","0","0","","","","","0-7fc1d426354f5029c6511f34d9e5b6b2f69cca3915a706a3a3479ee4d30aecd1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"TBS","TBS","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-562c00f6eea5d84304745ca4b86e9ab13b27618c85c70bd0bd62447e95c62d39","0","0","0","0","0","0","0","0","","","","","0-fb6ff3558d4b5e85abc9f2b210e24b541d5b734abf18f1ce909e93dd0858a39e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
"Iron Bow Technologies, LLC","Chantilly, VA","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-404e8e43b0fe03698c58aa2128720effa43cd82b9efe3761b07d6beb5c516940","0","0","0","0","0","0","0","0","","","","","1-2f220d43c3ff91e85c42b08a5f75b9416c6ba96cb1200eef6ee8ba59639df05f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement"
