FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RevisionsAvailableDate_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule,RFPIssueDate_val,FundingVehicle_val,OCO_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Month_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery_Amount_val,@PARENTROWID,@PARENT
"2013","TBS","2013-08","2013-11","1","10319.000","false","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-170290637914c3c521a3461b17db72fca72551ce838265e88e435c62be75974f","","","","","","","","","","","","","0-f45faf323b9d5dd55b05d5dd3204e6780b99954e30b1514137c745735644cb88","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","TBS","2014-01","2014-05","1","7743.000","false","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-351a27ba4661fb1bc2e3078eda322d8202c381d874ae64432ad7133fb92a0f07","","","","","","","","","","","","","0-f45faf323b9d5dd55b05d5dd3204e6780b99954e30b1514137c745735644cb88","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","TBS","2013-08","2013-11","1","568.000","false","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-e7a97a99f46e59577a149f53c7346544dd295510214d84a5012a1d4c23cfa51e","","","","","","","","","","","","","0-ff09ce1ba9ae2ec4d1f72ecc8d68359b3171889a3661d2b5a783c2928904e294","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","TBS","2014-01","2014-06","1","476.000","false","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","1-b6384ce3645477ddd6b47e0cc467ca6ca65b3ba1548b48008e9ab40827b63797","","","","","","","","","","","","","0-ff09ce1ba9ae2ec4d1f72ecc8d68359b3171889a3661d2b5a783c2928904e294","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","TBS","2013-01","2013-02","1","17086.000","false","C","FP","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-9c06cb31c365280fd3b05bcd11be5d7dd1f3f8d8bd07883c961c1bb8675926d4","","","","","","","","","","","","","0-b8a7da85272bb76dac27764156e709d64266d633bf79b5c290cd1c53f19d223e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","SPAWAR HQ, San Diego, CA","2011-07","2011-09","4000","0.195","true","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-e08c743e5f5d0d0d546de78925fe901ba9c08cfcd40d8513c3e8776e10ab088e","2010-03","Chemical and Biological Defense Program","4000","0","","","","","","","0-dbaa78c144fc6ec6d6c0cd99f881986251db128accdff7cf4419fd0e36e8e788","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","SPAWAR HQ, San Diego, CA","2012-03","2012-05","5000","0.352","true","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","1-4bb4dbf6e849ae54f54275b370329dd8b79406f74000dab97ef65c32546a4c67","2011-08","Chemical and Biological Defense Program","5000","0","","","","","","","0-dbaa78c144fc6ec6d6c0cd99f881986251db128accdff7cf4419fd0e36e8e788","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","SPAWAR HQ, San Diego, CA","2013-01","2013-03","5000","0.131","false","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","2-14f8baf7ac5c19f2680f9ec9b1c173c1f9aeaa95c8d53baaeb960e8b4baf0017","2012-01","Chemical and Biological Defense Program","5000","0","","","","","","","0-dbaa78c144fc6ec6d6c0cd99f881986251db128accdff7cf4419fd0e36e8e788","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","SPAWARSYSCOM, San Diego, CA","2011-01","2011-03","6964","0.171","true","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-4a6dcca89ae49d1c2f6836624efb99c1df84a223ec0711b826a5041a5674c9f9","2010-06","Chemical and Biological Defense Program","6964","0","2010-08","","","","","","0-791c39cf9f4d963ca1dbce10822e8610daea476047ab6d4978dde70d644c36ae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","SPAWAR HQ, San Diego, CA","2011-07","2011-09","4000","0.195","true","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-25e5fc3c6e4c6bea404d1c8b0e167e7b47785ed2f516bcfcbb6e7ffbdd89e495","2010-03","Chemical and Biological Defense Program","4000","0","","","","","","","0-dfa44896d5acd3e17b3da82462112630eff9c4e6f5289122b7ff635d3e13f7cd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","SPAWAR HQ, San Diego, CA","2012-03","2012-05","5000","0.352","true","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","1-6d80e2f34534f3c781d411b82431716e099061eaab19e81ec1ad873eebcda2f4","2011-08","Chemical and Biological Defense Program","5000","0","","","","","","","0-dfa44896d5acd3e17b3da82462112630eff9c4e6f5289122b7ff635d3e13f7cd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","SPAWAR HQ, San Diego, CA","2013-01","2013-03","5000","0.131","false","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","2-190492df93d5b5c37859fcbc8bfbe213e668a30a8eabcb155fa4911f028a1e6b","2012-01","Chemical and Biological Defense Program","5000","0","","","","","","","0-dfa44896d5acd3e17b3da82462112630eff9c4e6f5289122b7ff635d3e13f7cd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","SPAWARSYSCOM, San Diego, CA","2011-01","2011-03","6964","0.171","true","C","CPAF","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-14a2206394617ac273e15cf0243c928ac4d0de089f081f5fbd243993423b03f4","2010-06","Chemical and Biological Defense Program","6964","0","2010-08","","","","","","0-ea1eeb14e569fcf8b9be2e08bbfa7fbf7f8b112a63116852c7d31237a0a110de","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","DISA","2012-04","2012-05","1","5.399","true","C","FP","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","77125eeabf0b887a1626b8dacfbe020b76bbd36452add05a77785eaccf89a0da","0-30d1d35a12fae1cc34e3f923ea943f6011d1bf5479fd0391287fa04e80d8b3ca","","","","","","","","","","","","","0-e835fac845b1ea22f77c2ed56a878aa5509077cb1650ba52863a9bf10cc8c276","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","DISA","2012-08","2012-09","1","0.215","true","C","FP","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","77125eeabf0b887a1626b8dacfbe020b76bbd36452add05a77785eaccf89a0da","0-729e29f27bc1b68415f368578dca46417d5aa06ccbb24e43da6f2585d44c6cdb","","","","","","","","","","","","","0-5b0bc857b1849cabd01fcfe91880722a027aabcd6fb62c26794576e92d609109","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","DISA","2013-02","2013-04","1","0.054","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","0-8467b0c42a88518b0d53b600407a1451e0420fe441b440f4de5865e4e8f3d6aa","","","","","","","","MIPR","","","","","0-c0c53c40df65a894ee916dc6bdb5f7a46d485d7fe42e8746593067dd9168b83a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","DISA","2013-06","2013-08","1","0.899","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","0-f9855f2d99b52ecb0c55b04d0f978eb730ce593423ae117f2670ca6e98d4af7d","","","","","","","","MIPR","","","","","0-d3cd82ae224e4e42631dce42c693120032a03f4cf5f553e86e7b749d152fe6d6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","DISA","2013-03","2013-06","1","0.509","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","0-9e89af5bf16f6e812a2748e8cea3af22a6912af659d463df81bde1c3d09a6027","","","","","","","","MIPR","","","","","0-a6aecf6d4db70623b24b10384f0b052db8e38b0ee1a1df9cf96959ac6138e7ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","DISA","2012-03","2012-06","1","0.155","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","1-c07c358404b86be21ee301065a4f8567ec663ddc0916c66ced657ab1eeaf78e0","","","","","","","","MIPR","","","","","0-a6aecf6d4db70623b24b10384f0b052db8e38b0ee1a1df9cf96959ac6138e7ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","Navy/Army","2013-01","2013-05","1","0.258","false","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","d37e2136395a57f4acec83ce33a4497ccc8e6c764d0f82782e0832af96f27a4c","0-5c5532072fa48e8d6f36195f1eb1f6d5f6ccaff2c47cc8b52305cf3789426408","","","","","","","","IA","","","","","0-f20822bbfa09339f40721d9a403f5778cfaee66dd61e2145088934fff681c1f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","Navy/Army","2013-01","2014-05","1","0.258","true","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","d37e2136395a57f4acec83ce33a4497ccc8e6c764d0f82782e0832af96f27a4c","1-3cc443c46c0b9298f831df8199f473c056896564b2fb05a15fc78c08a9e9123a","","","","","","","","IA","","","","","0-f20822bbfa09339f40721d9a403f5778cfaee66dd61e2145088934fff681c1f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","DISA","2012-04","2012-05","1","5.399","true","C","FP","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","a2017977fe3e46438984e836b8f18b7d70a3825d93951ef002be1a0cf985b47b","0-f03e0e4b088764efa5dc76e60ca7243df95f3f0e5d7acb8ee6816f158e713a0c","","","","","","","","","","","","","0-9a412c6624e8e20aba280c422d42e889f33cefca264f8f4cd81798ca2dce0c66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","DISA","2012-08","2012-09","1","0.215","true","C","FP","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","a2017977fe3e46438984e836b8f18b7d70a3825d93951ef002be1a0cf985b47b","0-b427488d5aff428615436d09c54477f7ce897edc4d6b2956c8278c1feba11adc","","","","","","","","","","","","","0-a713e89ea48559a22cff5e98e0bf6ec6a5f74002b0af2414ce4782382a919d8b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
