Name_val,Location_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,@PARENTROWID,@PARENT
"TBS","TBS","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-f45faf323b9d5dd55b05d5dd3204e6780b99954e30b1514137c745735644cb88","","","","0-c9e571bda03e1af83c742ab480bfa262d2f9c423f4d38c2b45a85cd6b87ceac8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"TBS","TBS","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-ff09ce1ba9ae2ec4d1f72ecc8d68359b3171889a3661d2b5a783c2928904e294","","","","1-a94a2a437fbe872624dabf40aa8f000841eebce211ed16047cbc69cacfd3d5ce","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"TBS","TBS","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","67071f71009ab11469c26da696e0ae2604f627ae46a7ffdcb7d3fa6a96a5fd24","0-b8a7da85272bb76dac27764156e709d64266d633bf79b5c290cd1c53f19d223e","","","","0-2658b70d156675aef022bddb0309cd298edf40f8358ecd153c51be57d65b15d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Northrop Grumman Corp.","Winter Park, FL","0","12","6","18","0","3","2","5","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-dbaa78c144fc6ec6d6c0cd99f881986251db128accdff7cf4419fd0e36e8e788","1","1000","100","1-725f1b413de7fa4f9bfc8dc5cd04eea2f3185bab0ca749f86d6b18a40720412b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Northrop Grumman Corp","Reston, VA","0","4","3","7","0","5","2","7","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-791c39cf9f4d963ca1dbce10822e8610daea476047ab6d4978dde70d644c36ae","260","3000","400","1-b2037a68fbfce7db5aba3db1b2a1579009a0956eb232f7191d6b12b1ce090e23","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Northrop Grumman Corp.","Winter Park, FL","0","12","6","18","0","3","2","5","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-dfa44896d5acd3e17b3da82462112630eff9c4e6f5289122b7ff635d3e13f7cd","1","1000","100","1-0ba155eb67511c89246cf3a5f588ccc632f61d20441beda8ddeb831786da318b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Northrop Grumman Corp","Reston, VA","0","4","3","7","0","5","2","7","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","2dc8b319e28774b8158e551f3de9ff70b9908792cce30b426a07033c4ab4c58f","0-ea1eeb14e569fcf8b9be2e08bbfa7fbf7f8b112a63116852c7d31237a0a110de","260","3000","400","1-8c8a389e55a1cbccb6a4836f687bc02f73a53b33f36efac70858db7f6bd82d59","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Gov Convection","Rockville, MD","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","77125eeabf0b887a1626b8dacfbe020b76bbd36452add05a77785eaccf89a0da","0-e835fac845b1ea22f77c2ed56a878aa5509077cb1650ba52863a9bf10cc8c276","","","","0-94d8e67c6c807ffe99e6f4fe759c488e5750f5ec0b14d6954b5814112a36ec0d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Carasoft Technologies","VA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","77125eeabf0b887a1626b8dacfbe020b76bbd36452add05a77785eaccf89a0da","0-5b0bc857b1849cabd01fcfe91880722a027aabcd6fb62c26794576e92d609109","","","","1-b99bac8403bc455c1cb10ca971b179ba0a8abf78dec9c6418260081b3cab6ed0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
"Pepperweed Consulting","PA","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","685a13bef48b52a9bf99b5f4a7bbf0e77d1c38ce78a23ed935b18c05dcf3faa5","0-c0c53c40df65a894ee916dc6bdb5f7a46d485d7fe42e8746593067dd9168b83a","","","","1-3c7ae152022324334f46c5722df6035eb90abdd31f08a6b26eadf0810cd932ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement"
