Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Space Vehicle 3","A","842.445","1","842.445","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","842.445","1","842.445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0","0","0","0","4","82","86","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","0-2c834c58776d715c92bf996dae70cfe7980f3e8a385497385b120dea019e2ee0","","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Space Vehicle 4","A","1703.712","1","1703.712","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","1703.712","1","1703.712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0","0","0","0","3","87","90","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","1-09f7a34a5f917bf9a48dc58e4054e14d80edd474e3bd7cf60f72fdc2a77372fd","","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"Space Vehicle 5-6 Block Buy","A","","","0.000","0.000","","","475.3","237.65","2","2394.9","","","0.000","2394.9","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","1435.1","2","2870.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0","0","0","0","0","0","0","0","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","2-06d8b5a1f78d36634540707fc6092cc5c7d3e943dce9cadcffce11157fee0852","","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle Follow-On","A","","","0.000","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","3-f9579adcf03f5ed67158a93f64ae85d38c02ce6a0db6eb683b9a086287c7b786","","0-4ddadbca574947e2a5f97f8219198671b76bcfac32cd6a4949c12924ebef1a9a","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","A","31.063","28","869.768","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","31.063","28","869.768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","0-ade9e2d469734cc3e7bba4c2123c976e73849eb7e12e12789e9665314f4763b3","","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","A","51.826","21","1088.345","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","51.826","21","1088.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","1-e618741ed1fb25ca3bc211db1e26e7a3b604f62ec09179a838c97874689ae2f5","","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","A","82.061","12","984.726","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","82.061","12","984.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing","El Segundo, CA","0","0","0","1","1","89","90","1","0","0","0","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","2-0d3d5594c1176fa0ac1511cffa4bf136cdd9674420f8d35c5e5199a4b25a4f3b","","0-4be118a69f4c0e0c7d85b7791f6eaa7870569fb4ae526d3843d3a16e3806f003","root.record.ItemExhibitList.P5Item"
"Spacecraft Integration and Test--CLIN 1","A","","","1249.446","39.227","","","38.413","","","40.553","","","0.000","40.553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","0-25ac6088751394d712d2b95aaf84d37efc7f8b87d0d7d361174d6ab2d1c65a72","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Integ & Test--Total Awd Fee","A","","","142.208","3.647","","","7.815","","","3.844","","","0.000","3.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","1-5f4e29756f83942183ccdb9e475aacaa17fc4e11f59cbbadf060e47d17ace787","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
"Independent Verif & Validation Tech Spt","A","","","37.87","1.282","","","1.394","","","1.434","","","0.000","1.434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integral Systems","Lanham, MD","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d15fb990f8b482f5f872799d52c5c6fd07e2fbb73e9cc84357ce2ec1c4aaf90d","2-b95afc11bcf07fd7a739206614f2afa86c544b74d4e4a3a2acf58eb69edd5171","","0-dee78045acd731071ccced4fc78a2da2ad73237a38a9585ee61bd1bb970eb2d1","root.record.ItemExhibitList.P5Item"
