Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2018-05","271","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","0-a7143d0bbbc6e3884175216bcb774174308a24b551500de926d05159c4ba7841","0-690bc6fa341498c6395e75ede4c087d096238b27a24828797e0ab04599c15403","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-06","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","1-891c9f1432f88f9eccf13f66dd07a50f83ee89c5c0ff901ed4c2162de5933d36","0-690bc6fa341498c6395e75ede4c087d096238b27a24828797e0ab04599c15403","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-07","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","2-d40ad54ff378a6067907cee49b80a1034450273916596a284b3ef3f6fd0e1b67","0-690bc6fa341498c6395e75ede4c087d096238b27a24828797e0ab04599c15403","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-08","326","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","3-a570f0aaa83e34363c106ed94d37309dbd92c7dae98b869e0256da3e2e9fa514","0-690bc6fa341498c6395e75ede4c087d096238b27a24828797e0ab04599c15403","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2019-04","686","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","0-e7d2f553815ba547411b07e66c69f942913d83f6c750eeb4fc1eeb929bafd57f","1-10dd2b7b50e68b57ad6a82a4ef7a84b49b080a5f4cceda0e5160b307b25ad0ad","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-11","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","0-6942cc19bd771677c832c8c5423ffdea26237da08118aefb2d78850a3c285411","0-d48c91e6ca0f74a634e6c5e22704e25cb52c68b82d91d79ad7e675be9ec4d4ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-12","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","1-0d6d643f6c0a16ec9a083a399498151079287bd6d99c8af81ded233f37ae27f4","0-d48c91e6ca0f74a634e6c5e22704e25cb52c68b82d91d79ad7e675be9ec4d4ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-01","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","2-36d23347e95aa38d09fe8f7c8e1e56c19402c635faea7dcfbdf0279e7f630a2a","0-d48c91e6ca0f74a634e6c5e22704e25cb52c68b82d91d79ad7e675be9ec4d4ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-02","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","3-e8b8261e4163fdd1f202784c8aea5bfa306035d9e3dbfa5bf9fd1caf859c4486","0-d48c91e6ca0f74a634e6c5e22704e25cb52c68b82d91d79ad7e675be9ec4d4ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-03","2000","2019-BASE_PROCUREMENT-2019-AIRFORCE_AMMUNITION-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","948340796190edae4b7d09a84a23e6c0f1e8d2da5a93e04cbdddc3e0a25eeec6","4-3e885d3f6e654c445ed41db2b02c888ce3d3a00192ef310c6e6c2486a1ed2c8f","0-d48c91e6ca0f74a634e6c5e22704e25cb52c68b82d91d79ad7e675be9ec4d4ac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
