FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RFPIssueDate_val,FundingVehicle_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,OCO_val,@PARENTROWID,@PARENT
"2012","","CECOM, APG","2013-03","2013-12","301","166.000","false","SS","FFP","Army","301","0","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","0-0ce3ae8d5cba83e1c8fe811f5de8385f2334b9fc6af60409304b232a20194072","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AMCOM Contracting Command, RSA","2013-10","2014-07","301","139.000","false","SS","FFP","Army","301","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","1-1d08a85d482d886be7fe88682a5ddfe1618e099fb65ee7edb6ed6faba2d8649d","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AMCOM Contracting Command, RSA","2014-06","2015-03","162","183.000","","SS","FFP","Army","162","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","2-58d69d986855883825811536876af254a9341cd672134f23edb337efb5623145","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-01","2017-10","10","0.024","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","0-a4290e6f5bec6c7970850d15d8214333d32dce2ae064e6e0c01916b03f87a0e4","2016-10","","","","","0-51cc815d427065a99520e474785a1d97557e7b9aa10b8041c8c1bbb2a559dab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-01","2018-09","10","0.027","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","1-ee3f0174993604c3494773e42a6c21255baebbe0e18dffa92b052f42ed785580","2017-10","","","","","0-51cc815d427065a99520e474785a1d97557e7b9aa10b8041c8c1bbb2a559dab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Hill AFB, UT","2014-03","2014-09","21","0.016","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","2-b59181151d4c1733e304438ca9f7f26599f030daf59245610eb8e1f8bfd7f16b","2013-10","","","","","0-51cc815d427065a99520e474785a1d97557e7b9aa10b8041c8c1bbb2a559dab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2015-11","2016-08","10","0.023","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","3-fd3ae89082379527e70fb2bad51bd757921ce78c8701a9088293b2e49fe0bb30","2015-10","","","","","0-51cc815d427065a99520e474785a1d97557e7b9aa10b8041c8c1bbb2a559dab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-11","10","0.022","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","4-4d0658ce2e23a3a7389b42d408e86051731103103cc50e573474ae3e5070b45d","2014-11","","","","","0-51cc815d427065a99520e474785a1d97557e7b9aa10b8041c8c1bbb2a559dab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Hill AFB, UT","2014-03","2014-03","10","0.410","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","0-1ff5b29f64c2be0c9d066de59f3b9efc290fc6bfc2aa86648b0770292d79c961","","","","","","0-12a613962cd1a19e9fd2ca3aa1e4d49b837ed53212f46a0305c3d8b9ac243aac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-03","8","0.410","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","1-16393dc36f23b9b5950e451668de50529a33780a8df982433fa46064c7862f65","","","","","","0-12a613962cd1a19e9fd2ca3aa1e4d49b837ed53212f46a0305c3d8b9ac243aac","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-06","11","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","0-5c08d81b80815f8caa2a2769c3a8bce5faa292f8e300c9a847704761647e5811","","","","","","0-5794a780becbe17a4a8a1a28ef2ac0da52a8a41003234ea438ad3d1a5dd381aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-06","10","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","1-5915234aa4afefb09130a1ded127e051c21811586b7dcc762f5f9a15101a1106","","","","","","0-5794a780becbe17a4a8a1a28ef2ac0da52a8a41003234ea438ad3d1a5dd381aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-03","2017-06","21","0.040","false","SS","FP","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2014.xml","cba25fef3ae29418ab6486735f2bf577629f2dd2828004af6fbf0effbb20815b","2-3a491f96b010efcc8954819bdd3ccf31fa1a23f3bc1b5d67075d014ec6604e99","","","","","","0-5794a780becbe17a4a8a1a28ef2ac0da52a8a41003234ea438ad3d1a5dd381aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
