Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Other Support Costs","A","493.621","","","155.039","","","104.118","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","752.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-41186835fbcaf130b1b137265cc27b745527ab515d4d0eb1800794e6628839c1","","","","","","","","","","","","","","","","0-830a44af3a1bb3ad182b1080d5cbdb1eccdd68e302ed63992984a10e3335a4d3","root.record.ItemExhibitList.P5Item"
"Production Support - Other (PSO)","A","1258.306","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","1258.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","1-fec1fb93bc21ff844e11592817efa2b568706ce586efb974638f479f4de64407","","","","","","","","","","","","","","","","0-830a44af3a1bb3ad182b1080d5cbdb1eccdd68e302ed63992984a10e3335a4d3","root.record.ItemExhibitList.P5Item"
"FASTeR / PALS (ICS)","A","2336.15","","","2.127","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","2338.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","2-b0a26e406f425848312b51b9b5b8801d5093df24987ece2bbfe2d5b15a70c825","","","","","","","","","","","","","","","","0-830a44af3a1bb3ad182b1080d5cbdb1eccdd68e302ed63992984a10e3335a4d3","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 10","A","324.974","46.425","7","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","324.974","46.425","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-63aec80c296f79ac2c2c1a13f0285ec09634fb9f9d00991cb2ae44b241ebf2dc","","","","","","","","","","","","","","","","0-2ae89bd3731b80f9b18003c8440843d41c39a824e7cdd575fec12024404683c3","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 20","A","326.777","54.463","6","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","326.777","54.463","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","1-3e2050461a4c30e2cd2b722025a8fe0234287df2545ab75eef003f161a5cecd5","","","","","","","","","","","","","","","","0-2ae89bd3731b80f9b18003c8440843d41c39a824e7cdd575fec12024404683c3","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 30","A","1161.886","72.618","16","207.403","103.702","2","363.141","121.047","3","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","1732.43","82.497","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","2-c8e59047052eae586adcf23719a2752245655f482e495c233647c8889656c275","Northrop Grumman","Rancho Bernardo, CA","1","6","5","12","3","25","28","12","0","0","0","","0-2ae89bd3731b80f9b18003c8440843d41c39a824e7cdd575fec12024404683c3","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 40","A","720.29","80.032","9","210.587","105.294","2","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","0","930.877","84.625","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","3-f47bba6b09578b9c706e5bc9abd2a0175110b435d8a56abb5685c75b4844df40","Northrop Grumman","Rancho Bernardo, CA","1","5","5","12","3","28","31","12","0","0","0","","0-2ae89bd3731b80f9b18003c8440843d41c39a824e7cdd575fec12024404683c3","root.record.ItemExhibitList.P5Item"
"Common Ground Station","A","218.212","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","218.212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-b8a3be0afc816eff28f5578671cb7015d352b48849073a726ec2639dc37c5ab7","Northrop Grumman","Rancho Bernardo, CA","1","2","1","2","5","4","9","2","0","0","0","","1-f18cff4509b7790c5f2e739076f35ba41877b420626bae4d52119e62039f04b5","root.record.ItemExhibitList.P5Item"
"Other Support Costs","A","493.621","","","155.039","","","104.118","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","752.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","601ae9dd8603462a448ce4d407a902973eb716363e80382a2192b3c80a95bac8","0-4b8746a6c0e79e036762d39c2cf606b0b8d53018709a7cab5b1d11933ec5c8c8","","","","","","","","","","","","","","","","0-6d983450dcb3cb342f1dea6abb48d150b04002884b639801753b56b6f03cd711","root.record.ItemExhibitList.P5Item"
"Production Support - Other (PSO)","A","1258.306","","","0.000","","","0.000","","","0.000","","","0.000","0.000","","","0.000","0.000","0.000","0.000","0.000","","","1258.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","601ae9dd8603462a448ce4d407a902973eb716363e80382a2192b3c80a95bac8","1-244a315acffbf9af28b6eb55915e26314458e2aa0173c597c239704357105d2c","","","","","","","","","","","","","","","","0-6d983450dcb3cb342f1dea6abb48d150b04002884b639801753b56b6f03cd711","root.record.ItemExhibitList.P5Item"
