FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RevisionsAvailableDate_val,FundingVehicle_val,@PARENTROWID,@PARENT
"2010","","NAVAIR","2010-07","2013-02","22","9.847","true","2009-04","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","0-baeb9a5aa3ca223b428f381c47dcaf1aaba30e3c32c81e8bc5036ad274d4693a","","","0-ba15ee7a9f9c466ee3ba980dc556f7b69d73b1a94a8e98221b26a0ce45953a80","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2011","","NAVAIR","2011-08","2014-03","18","11.139","true","2010-05","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","1-f32812c4edfee3384089ec8c6a9bd009b8be63f7cbdae455c5315efa6b557950","","","0-ba15ee7a9f9c466ee3ba980dc556f7b69d73b1a94a8e98221b26a0ce45953a80","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","","NAVAIR","2012-06","2015-05","19","19.400","true","2012-04","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","2-e98d6418cbbf63ce9d99525c57e91de0fd06888c8cac88ab364914d60792cec7","","","0-ba15ee7a9f9c466ee3ba980dc556f7b69d73b1a94a8e98221b26a0ce45953a80","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","","NAVAIR","2013-02","2016-02","19","12.041","true","2013-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","3-b70e21e4728ef5589192a81a43344d6accc6991f2d265bca282a7a4787836c70","","","0-ba15ee7a9f9c466ee3ba980dc556f7b69d73b1a94a8e98221b26a0ce45953a80","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2014","","NAVAIR","2014-03","2017-01","26","13.512","true","2014-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","4-3c0aac0b6dc0987c4a3f69f19d90c933af4017237687865d22ef10fe7c7ad8c3","","","0-ba15ee7a9f9c466ee3ba980dc556f7b69d73b1a94a8e98221b26a0ce45953a80","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2015","","NAVAIR","2015-03","2018-01","44","5.174","true","2015-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","5-1775c7478abb8d948545d9c0b4a7d9a027d94c04bba365f019fc1d37ddabf1e7","","","0-ba15ee7a9f9c466ee3ba980dc556f7b69d73b1a94a8e98221b26a0ce45953a80","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2011","","WPAFB, OH","2011-07","2014-09","1","11.055","true","2010-12","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","0-1dd3f3a08ba28352f639a16a9b3e01ad266287f3dcf91a21990c6fd10a483af9","","","0-17a640ac8abc4a70526ef08a434bf3095518d58a7e12c0c60cd0c5133df6dcb6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2012","Congressional add","WPAFB, OH","2013-11","2015-11","1","10.000","true","2013-04","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","1-0d773bfbee2cf855512d048b7397022db21e69525779213919fe32e3022af494","","","0-17a640ac8abc4a70526ef08a434bf3095518d58a7e12c0c60cd0c5133df6dcb6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2013","Reference footnote (1)","WPAFB, OH","2013-11","2016-01","6","8.000","true","2013-06","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","2-ed655e49d484ec7345864a207c609a8f9073083c214d9a227657c427db280235","","","0-17a640ac8abc4a70526ef08a434bf3095518d58a7e12c0c60cd0c5133df6dcb6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2014","","WPAFB, OH","2014-03","2017-01","7","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","3-f1375a2bd58c64adc8629cbb01c12ab81ac747f30063b4c8b4e9b8282333a286","","","0-17a640ac8abc4a70526ef08a434bf3095518d58a7e12c0c60cd0c5133df6dcb6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
"2015","","WPAFB, OH","2014-12","2017-08","14","8.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","4-2b43eaf29a088f75975ecc91418700f8de74af626d64b80602af4d8f417cf4b6","","","0-17a640ac8abc4a70526ef08a434bf3095518d58a7e12c0c60cd0c5133df6dcb6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer"
