FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RevisionsAvailableDate_val,FundingVehicle_val,@PARENTROWID,@PARENT
"2014","WPAFB, OH","2014-03","2017-01","23","4.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","0-34c3e7825de9a241291721bddd6951a5d78cc449bd8209fce0a1b16d83afbf23","","","0-809689fe9ed1989af682f37dcc37200949eaa4b48704fa30bdc63ff90dc20738","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2017-02","12","4.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","0-2ccb271b5967e47ae587cbf58fc6af7393ab589803e8ff775a3312149e10d712","","","0-bcfb1d454d7e4afc017da4fbd5eaf2bb77b89f10f4c6350a797e84c100f8c241","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2016-12","21","4.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","0-2eadd03a710ff308ef45171545d48ddf0018bcccea5ee2898f6236898903610e","","","0-da633f10f08a0f20d489b0258296c2d3b670a1b6260e4c671b8ec4fb5daf9b0d","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2017-01","23","4.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","0-f24fcfefebf5c28b3769d9835bd04414fa97d3cfd7795d6af1df29e7623a493e","","","0-9ab1f033d94fcaed6a6a69baaf22f026c5a315e629fa855d673dd03e44340ea6","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2017-02","12","4.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","9d38bc75efdc1bb24fa15dd6fdcc79dd0ddabb23d16bb5fb0fb72b4ecbbd10cc","0-c564eaa33ab068d0d514ce332397b4a522a8130917ea0ad524cee4806240c8dd","","","0-2d5599be433096d54ebb68d2d60ec11f3cf12c48fc19b97385c589c26c1da3d1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2016-12","21","4.000","true","2012-10","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a97dfc5ffa5535857cd61c3c158de84a1441decc875ced08ad568ff95d020f85","0-abc7c701cbdee2a6440705acc608916d8cc7ecdf15db72ec134923fd5b94f321","","","0-e7cd72d6750ef72584a700ae783f9250a3e7592cadaa0ec088c2994da51c074a","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2017-01","23","4.000","true","2012-10","SS","FPIF","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","d27cefc2bb72e82de7748f7a1d1ff2a8ff7ad30cf7027a91e47ee29dad986610","0-a5b0265309117debb0ffe49b12cfa6d3779f78abc65058c7930215b48a665758","","","0-e72aec63737d5f04edaf7d930353eef31c61844f060f8a37483016122dcc8f5a","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2014","WPAFB, OH","2014-03","2017-01","23","4.000","true","2012-10","SS","FPIF","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","04277271467c34157fc353a716c1236673a9ef09c1f838c7ec2af5d1128b21cc","0-1d85b396cdf7f1ecb265c27ec5d1458018c7589b8a1fc0839fdcf901456b834e","","","0-03626bd96659e2f4c8858b0a970d3310b05689be2344b0fa1a39715032f43a4e","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2016","Dahlgren, VA","2016-02","2018-02","1.000","48.411","true","2015-10","SS","FP","2016-BASE_PROCUREMENT-2016-MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.xml","8fe681ed2a7b4397677aa6bf70676f250b32ded3546a6adb5424a1cf3206bbc3","0-7e74aa40cac9bdc93b24fc64329706bd594ddf18be165cb0eb31288cfd119bc2","","","0-22ebc3e6896e9a8f17438bd707ee5cfc2cbff80bf1cac6078544f11afa5af064","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
"2016","Dahlgren, VA","2016-02","2019-02","1.000","38.307","true","2015-10","SS","FP","2016-BASE_PROCUREMENT-2016-MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.xml","8fe681ed2a7b4397677aa6bf70676f250b32ded3546a6adb5424a1cf3206bbc3","0-ce60c70efcde888e135c6bfcfd17a69f4ec757842f0e1fc92caaf6c9065056c8","","","1-57df71de7b74f275ce2919402aae89fe9c15e315210d5f784cf7330d8ed9fc4e","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement"
