Name_val,Name_@footnote,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_CurrentYear_val,Cost_Total_val,Cost_PriorYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,QuantityForBudgetYearList_QuantityForBudgetYear_BudgetYear_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearOne_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearTwo_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_Total_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearThree_val,QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearFive_val,@PARENTROWID,@PARENT
"Equipment","","30","130","92","222","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","0-809689fe9ed1989af682f37dcc37200949eaa4b48704fa30bdc63ff90dc20738","","","","","","","","0-362e0c59a0ff0a9bc49072ba15e1230633dee6b5bedd7e9a5e909f88d8daaa1a","root.record.ItemExhibitList.P5Item"
"Equipment","","12","","48","48","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","565aa015362bd445cc082985b6e24c13e2957f8c30a9dfbe4c0bd8a663cbe70f","0-bcfb1d454d7e4afc017da4fbd5eaf2bb77b89f10f4c6350a797e84c100f8c241","","","","","","","","0-4e189f7497dcaa89ac7fe2090e123971c45b4e9c3006109ed08b6870f1f7bfd3","root.record.ItemExhibitList.P5Item"
"Equipment","","12","0.000","84","84","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","17ab19c784929a028c69ad970f12cd0eee00de512acf9833a5336d1e8a33db11","0-da633f10f08a0f20d489b0258296c2d3b670a1b6260e4c671b8ec4fb5daf9b0d","","","","","","","","0-8fab09e7f1dd613f6ef75bc08e0e8622f13f57e0fecd801d69bb717f8ca07e42","root.record.ItemExhibitList.P5Item"
"AVIONICS","","0","37.969","0.000","37.969","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ba7a55b890941cc9f4565d78cfacfc7950f69af2644c25b93e58b8043154ba13","0-ef6dd359cb8b166f8e382a505acdfbfbcdfabfdfbed349dedd901c0a7f917a63","","","","","","","","0-c280ea3be9f0fff5171570089c28b0f92b95fd6ea884d9cf357b3a7c2bbef7fd","root.record.ItemExhibitList.P5Item"
"Equipment","","30","130","92","222","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8e9b86220f90ce455a14b686aeeb045957500e61279471fc35c4187b1270e5ed","0-9ab1f033d94fcaed6a6a69baaf22f026c5a315e629fa855d673dd03e44340ea6","","","","","","","","0-ffe58553144bc8d1807a78a2b2e1213f7c0f2a8c6834b49ea257c59183853e3c","root.record.ItemExhibitList.P5Item"
"Equipment","","12","","48","48","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","9d38bc75efdc1bb24fa15dd6fdcc79dd0ddabb23d16bb5fb0fb72b4ecbbd10cc","0-2d5599be433096d54ebb68d2d60ec11f3cf12c48fc19b97385c589c26c1da3d1","","","","","","","","0-54fabe0032e2cb0c09e1ebeede759217f422027785ef7bcf5144050edd7b770d","root.record.ItemExhibitList.P5Item"
"Equipment","","12","0.000","84","84","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","a97dfc5ffa5535857cd61c3c158de84a1441decc875ced08ad568ff95d020f85","0-e7cd72d6750ef72584a700ae783f9250a3e7592cadaa0ec088c2994da51c074a","","","","","","","","0-64afa44e88a2e1249ede6e23496adcd7e452c69304f5222e66d61d01de41d1ed","root.record.ItemExhibitList.P5Item"
"AVIONICS","","0","37.969","0.000","37.969","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","b1952ce40545e9f4efa9c33592b95ccb07e147da54dfcd401b9d7ac8ae77b263","0-217fd6e2c0d14d34a98051608c6c3fc3171506318c436adb958e109c013d6d8e","","","","","","","","0-6e5ca76b7c21b91ef0f38979d51309e68d0568a0b2b587afdc159d110e202b30","root.record.ItemExhibitList.P5Item"
"Equipment","","30","130","92","222","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PBAmended_2015.xml","d27cefc2bb72e82de7748f7a1d1ff2a8ff7ad30cf7027a91e47ee29dad986610","0-e72aec63737d5f04edaf7d930353eef31c61844f060f8a37483016122dcc8f5a","","","","","","","","0-d3a5095b971c16e13f807984426765a1b25d948eac8bc8e19b458bb1a071df0d","root.record.ItemExhibitList.P5Item"
"Equipment","","30","130","92","222","","","","","","","","Lockheed Martin","Marietta GA","0","0","","","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","04277271467c34157fc353a716c1236673a9ef09c1f838c7ec2af5d1128b21cc","0-03626bd96659e2f4c8858b0a970d3310b05689be2344b0fa1a39715032f43a4e","","","","","","","","0-7481f22ce384c7b993fa49c9fbb34f33e1820acf8ccfd541d80e70e7aeb45e61","root.record.ItemExhibitList.P5Item"
"EOQ/Long Lead (Prior Years)","","0","364.235","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","48f6b8699221f3e621f55ebba855cb1794dbaafbd743491e9c65abb9eeb0f231","0-f0fedf6ad49565eb8b82e4d39209644f1f3c9ece7bbc8f10d9568b710d93dba5","0","","","","","","","0-040abbfea58867f25ad4945524d9568fe53d2d8cc2922891fb9e1fdf36dc3b1c","root.record.ItemExhibitList.P5Item"
"EOQ","","0","","20","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","8a29ac5395f79b6dc1830d8a82d0129790da72d726192a8783850762f495d4dd","0-e26f9a84fe9055cb283b16cd1621863e12cb305f16e4a94561d927c7beadb696","0","","","","","","","0-4601788816574f27378d1979a27a01cfd47f2bc7a6e78467d4e78cb6f3fe8ef4","root.record.ItemExhibitList.P5Item"
"Airframe For FY 2013 EOQ/Long Lead","","0","38.984","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","06680dc3836a209524618651e0446b6a8dc3c6f52cea62a6d53ecda252f45665","0-a826d3659eb277c126308e9f718dfa9408b501c6dcf05d620a2334a28c5c13fc","0","","","","","","","0-fbe99530fb9f67ed43eb9fd4d3794fd3a61ea8ea994bf23b997cb40918dc2f00","root.record.ItemExhibitList.P5Item"
