FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2010","","NAVAIR","2010-05","2012-12","22","2.777","true","2009-01","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","0-717a930adca869e492d46d4a2539ca8e63e50a023e30d05082e81920797fece0","0-6a397e35eeb996a5777445c01d7e19c3c52a83d0d59d695ebc2a075f945b42a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2011","","NAVAIR","2012-01","2013-11","18","3.060","true","2010-06","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","1-513abe898e87e94379995a6370b584cdc3fd458b9a55ac79caf54091f29070ae","0-6a397e35eeb996a5777445c01d7e19c3c52a83d0d59d695ebc2a075f945b42a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2012","","NAVAIR","2012-09","2014-07","19","2.651","true","2012-06","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","2-060c5d46eb15908d1a6c45ed88ac3103066d3fe8c2d69ed1edbf979fc3811944","0-6a397e35eeb996a5777445c01d7e19c3c52a83d0d59d695ebc2a075f945b42a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2013","","NAVAIR","2013-08","2015-05","19","3.396","true","2013-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","3-77ec96a88733bb1d4ccf2d411cfd1d37b2e9cdccf418e7c7ef8ea9e8377e3303","0-6a397e35eeb996a5777445c01d7e19c3c52a83d0d59d695ebc2a075f945b42a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","NAVAIR","2014-03","2016-05","26","3.811","true","2014-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","4-0553a0cd6e409be330b194bd2c53f6da6231d18f2187d263048eaf2eadf543e5","0-6a397e35eeb996a5777445c01d7e19c3c52a83d0d59d695ebc2a075f945b42a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","NAVAIR","2015-03","2017-01","44","1.459","true","2015-03","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","72e89ccc766fe3f87d2e7ce15feb0d55fcd0fa99a93b32c43e51b37db5c84475","5-2a275bb73b6abef87409c94bb7643e927531501d32e8daaac56e0dfab45d7707","0-6a397e35eeb996a5777445c01d7e19c3c52a83d0d59d695ebc2a075f945b42a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2013","Reference footnote (1)","WPAFB, OH","2013-06","2016-01","6","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","0-389411dc902982df55305ed3e847ad4cc4e7b24731fc69ad39840ec9de1f60f0","0-cc3002cf353b0485c10102027340a843e9f87ed4d8c2b39b0ce00cfe4f87bc89","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2017-01","7","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","1-0add32940148b10e508a950d3462234954d1fe4c9ab5d245d5073e8f0a5bd895","0-cc3002cf353b0485c10102027340a843e9f87ed4d8c2b39b0ce00cfe4f87bc89","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2017-08","14","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","2-754bbde49c144a4eef1145f2155d4dbbceda59fcc5b9cb060a51e6d4febaaf38","0-cc3002cf353b0485c10102027340a843e9f87ed4d8c2b39b0ce00cfe4f87bc89","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2018-12","2","2.000","true","2012-10","SS","Various","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","6ba238e5761c0b5cdb4005cd9d3b0ebd730c7a47c72ec72a3cb63b26a07450e3","3-2b731c37b580872c7d616b7f77df78b431b1e3e74c5c515feeafa35812db8fc5","0-cc3002cf353b0485c10102027340a843e9f87ed4d8c2b39b0ce00cfe4f87bc89","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
