FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,RevisionsAvailableDate_val,@PARENTROWID,@PARENT
"2010","LAAFB, CA","2011-12","2016-01","2","47.995","true","2007-07","C","CPAF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-db60e4e1525ea719aa7d00a9ecd92b137787048cdb73fa276bb558d4dd8aa248","","","0-31b00968dd55043815eb9bde43cf68c43b69fcb41b964bcaeb8b41acba747011","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2012","LAAFB, CA","2013-04","2017-01","2","40.732","true","2012-08","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","1-70eaef028d705546bed913c17410632c268e11344c93bbfda3fecc4b433e54c2","","","0-31b00968dd55043815eb9bde43cf68c43b69fcb41b964bcaeb8b41acba747011","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","LAAFB, CA","2013-04","2017-12","2","41.254","true","2012-08","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","2-d42a09f91fa4f05cdbcd37c7f623ca03daf6df09e477ae9dd3158bd4b7230a11","","","0-31b00968dd55043815eb9bde43cf68c43b69fcb41b964bcaeb8b41acba747011","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","LAAFB, CA","2014-04","2018-08","1","52.167","true","2007-07","C","CPAF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-86d2814d4a452711fb3cefacd633c5019826dab05b6828664db7b8d95ff35478","","","0-e478ea6dd101d465aeedba801a741d2a1deb9fe3ffe8433fbb22b06caf80e09c","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","LAAFB, CA","2015-04","2018-12","1","57.000","true","2007-07","C","CPAF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","1-f244e18ece3cbe2a938a1a1bd0d2df24bfea28517dfa07a705ab444611d31c38","","","0-e478ea6dd101d465aeedba801a741d2a1deb9fe3ffe8433fbb22b06caf80e09c","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2010","LAAFB, CA","2011-12","2016-01","2","47.995","true","2007-07","C","CPAF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","0-edafdc377ede31637786a6b36a3a12537396ad85e2acec29471bf75a740b539c","","","0-213e6e97238b3c80140762f3b4387d6b60061640242cc24740491b7b66f1de3d","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2012","LAAFB, CA","2013-04","2017-01","2","40.732","true","2012-08","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","1-68922517aa0d2cf7eeb32672bf592a76b9e9e7a3ca115ad557398e1b1b818450","","","0-213e6e97238b3c80140762f3b4387d6b60061640242cc24740491b7b66f1de3d","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","LAAFB, CA","2013-04","2017-12","2","41.254","true","2012-08","SS","FPIF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","2-d496ffd6b86e77f50031af3c956a32623ef36db6778e04fffcf49e6df7aa1705","","","0-213e6e97238b3c80140762f3b4387d6b60061640242cc24740491b7b66f1de3d","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","LAAFB, CA","2014-04","2018-08","1","52.167","true","2007-07","C","CPAF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","0-392e700736ed69d708752fcd034a3fc10590337a652a58dbef083a67abb3c9ff","","","0-819d45684917758e944bd5b2945bc0c6db37f2a6b2b3b9f0264e3ccceb0f9776","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","LAAFB, CA","2015-04","2018-12","1","57.000","true","2007-07","C","CPAF","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","1-bef6c139ef230b6c791d090cf6d3f07261515b40170b23c40baa60c6b2bffe17","","","0-819d45684917758e944bd5b2945bc0c6db37f2a6b2b3b9f0264e3ccceb0f9776","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2015-01","108000","1.002","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","62f6ef9a043a9fec682788a7de44311e99dedee29bd5c341afa6fde24eb5828a","0-9e0429e4baf110e7182f650403feb2faf620823010d179135b5f5784739517f1","Various","","0-ae8a85c3bb33cb8d8f07b63182204c7d036852e23342ee3c2e4902dca3a9f8a1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2015-01","2016-01","151000","1.002","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","62f6ef9a043a9fec682788a7de44311e99dedee29bd5c341afa6fde24eb5828a","1-44e9d5b1ef9308fe3971c5482f4d910d5a664ae7f3c6029afe0cd79dbb43f17a","Various","","0-ae8a85c3bb33cb8d8f07b63182204c7d036852e23342ee3c2e4902dca3a9f8a1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2016-01","2016-01","157000","1.002","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","62f6ef9a043a9fec682788a7de44311e99dedee29bd5c341afa6fde24eb5828a","2-abf6e7646ba8c244a36ad8ad0bb105ba9bc86954aba03d3a42c9f59691216f93","Various","","0-ae8a85c3bb33cb8d8f07b63182204c7d036852e23342ee3c2e4902dca3a9f8a1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2015-01","146121.000","0","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","2bdce7c18153efee420e7677d1e5f3e6ba384304fd1aecc685db4f2c5604c74c","0-8c2691fc0934836b78b0c3e998bdfae2ba1d6bb3a1681258f16e843caae9720e","Various","","0-2f45c9719012d6ef6e3ff648b1c370ed31b4ac665d80ca084bbfb79ab97c33aa","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2015-07","39000","0.909","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","0-eb23558f53fa822952b53424d0460cda55331999ef9df49d624bd66dcbb29476","Various","","0-77bb9a553dfb1f917eb5597beabedd1f9de5bd2188d32bf87f46f60ab28ab0b5","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-02","2015-08","65000","0.909","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","1-ae7bd079f634f0cf8f69483b5820db3be8394c51954bb2c9be829a34a7dfbcb1","Various","","0-77bb9a553dfb1f917eb5597beabedd1f9de5bd2188d32bf87f46f60ab28ab0b5","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","47000","0.909","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","2-1d0f19152674fad4e5d575d345620213edeec75151f337eb9a6427a91eed17b8","Various","","0-77bb9a553dfb1f917eb5597beabedd1f9de5bd2188d32bf87f46f60ab28ab0b5","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2014-07","39000","0.098","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","0-ef9e2e0eb818638f3861a5b59132156212e974b76602013f4814466a7f283809","Various","","1-2aaf3525a2f39f9c51d04326853ca4790e1265332ec3ac78b6c42f6f5c75f4aa","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-02","2014-08","65000","0.098","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","1-8042b2f75d19c316f19a9669b3dbfd609f89d78e975802bedcd087c3fffb4ea0","Various","","1-2aaf3525a2f39f9c51d04326853ca4790e1265332ec3ac78b6c42f6f5c75f4aa","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","47000","0.098","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","2-0ad50308ee64dfedacc8b020147cc896e943dafaf5c23a940a2429db6cd2e7d2","Various","","1-2aaf3525a2f39f9c51d04326853ca4790e1265332ec3ac78b6c42f6f5c75f4aa","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2015-03","78000","0.744","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","0-a46f90b1a1fafbe240cd5116212fe3536c8b3ecda5a818e215517acc37207a59","Various","","2-208a4bc572fc09daf1d6e36e1c12cbbe4f60c90686b9c79931f77cbac08350bf","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-02","2015-04","130000","0.744","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","1-857d41b68e9cdf776f22e4bda6741cec30e9cef276215313ade0d8f524ad7e40","Various","","2-208a4bc572fc09daf1d6e36e1c12cbbe4f60c90686b9c79931f77cbac08350bf","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","94000","0.744","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","2-6bbb79bf7117771e1d52caa8b4942be1ff350f49cccc931c159266652438a247","Various","","2-208a4bc572fc09daf1d6e36e1c12cbbe4f60c90686b9c79931f77cbac08350bf","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2015-01","78000","0.121","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","0-050c549b21e270479e3e5c518a9ea2972b8d7d6ceac340d6f28468eee13f84c6","Various","","3-509aad53bfa75a9fee65670a9187582c69fb1030ccbff1aa220e1e405fe1b3c2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2014","See End Item P-5A","2014-02","2015-02","130000","0.121","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","1-5a8ae3473d1316ef1535efd40407d33b06f689cd32d87b5834c070abd82ce23d","Various","","3-509aad53bfa75a9fee65670a9187582c69fb1030ccbff1aa220e1e405fe1b3c2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2015","See End Item P-5A","2015-01","2015-01","94000","0.121","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","2-584df6b1a3c72a18b7473e077f683e7163364d4bf2cd54a00b69a1be4526c14c","Various","","3-509aad53bfa75a9fee65670a9187582c69fb1030ccbff1aa220e1e405fe1b3c2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
"2013","See End Item P-5A","2014-01","2014-10","39000","0.073","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","0-bbd4703817a06c9e3b76f386f5f82d7316b1138efc471dd9061ec9392e2bb8d3","Various","","4-22ecbab9b5221bdaa245f29a37307bb2c2e3fc67504e0e8d4e98c44d5732a2ed","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement"
