Name_val,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_Total_val,Cost_CurrentYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Continuing_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,ForFY_val,SCNProductionLeadtime_val,@PARENTROWID,@PARENT
"GPS III SV 03-08 Long Lead Parts","0","177.463","82.507","259.97","","","","","","","","","Lockheed Martin","Newtown, PA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-31b00968dd55043815eb9bde43cf68c43b69fcb41b964bcaeb8b41acba747011","","","","0-ca33f789c02fe18679ec129f4c73330facda31aedf305eb595b9633780b01dc7","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Long Lead Parts","0","","","1121.297","52.167","57","121.828","121.828","124.021","126.253","518.2","","Lockheed Martin","Newtown, PA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-e478ea6dd101d465aeedba801a741d2a1deb9fe3ffe8433fbb22b06caf80e09c","","","","1-5f254fe7aad18098d93fbb8441bbf081e933859e0bbdbe2ae1afebe93f3b6b29","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08 Long Lead Parts","0","177.463","82.507","259.97","","","","","","","","","Lockheed Martin","Newtown, PA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","0-213e6e97238b3c80140762f3b4387d6b60061640242cc24740491b7b66f1de3d","","","","0-ed7f241d989ad88705afc3908d7ca763c9077ad5618bb5b6d4461748b574ed3d","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Long Lead Parts","0","","","1121.297","52.167","57","121.828","121.828","124.021","126.253","518.2","","Lockheed Martin","Newtown, PA","0","0","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","0-819d45684917758e944bd5b2945bc0c6db37f2a6b2b3b9f0264e3ccceb0f9776","","","","1-d0586d48995bc53e5712048afcde83c0e30b2fd13ffeb7002e15b474ced494ab","root.record.ItemExhibitList.P5Item"
"Apache Block III - Reman","12","926.684","107.707","","150.931","157.338","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","62f6ef9a043a9fec682788a7de44311e99dedee29bd5c341afa6fde24eb5828a","0-ae8a85c3bb33cb8d8f07b63182204c7d036852e23342ee3c2e4902dca3a9f8a1","","","","0-88427bda3866ea3fd739be020864a834a424a3107c858fe0777d9fb817462045","root.record.ItemExhibitList.P5Item"
"AH-64E Apache New Build","12","84.264","146.121","","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","2bdce7c18153efee420e7677d1e5f3e6ba384304fd1aecc685db4f2c5604c74c","0-2f45c9719012d6ef6e3ff648b1c370ed31b4ac665d80ca084bbfb79ab97c33aa","","","","0-48b2361949d939caf7fb9d4b7721aaa0043c2f9e54a2b2f567b750be02179fb3","root.record.ItemExhibitList.P5Item"
"CFE Airframe","6","470.074","36.578","","43.449","42.737","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","0-77bb9a553dfb1f917eb5597beabedd1f9de5bd2188d32bf87f46f60ab28ab0b5","1","","","0-9e664ec51e30f584d28298b2788e5ff598969af6432daf6701903ec7867b6740","root.record.ItemExhibitList.P5Item"
"Auxiliary Power Unit","3","19.582","3.82","","3.723","4.588","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","1-2aaf3525a2f39f9c51d04326853ca4790e1265332ec3ac78b6c42f6f5c75f4aa","1","","","0-9e664ec51e30f584d28298b2788e5ff598969af6432daf6701903ec7867b6740","root.record.ItemExhibitList.P5Item"
"Engines","3","320.806","62.213","","56.79","69.978","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","2-208a4bc572fc09daf1d6e36e1c12cbbe4f60c90686b9c79931f77cbac08350bf","2","","","0-9e664ec51e30f584d28298b2788e5ff598969af6432daf6701903ec7867b6740","root.record.ItemExhibitList.P5Item"
"EGI","3","51.189","9.482","","9.243","11.39","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","3-509aad53bfa75a9fee65670a9187582c69fb1030ccbff1aa220e1e405fe1b3c2","2","","","0-9e664ec51e30f584d28298b2788e5ff598969af6432daf6701903ec7867b6740","root.record.ItemExhibitList.P5Item"
"Heads Up Display AVS-7","3","15.79","2.868","","2.796","3.445","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","fd4b9a1a29f6b7830f84536375508fd7a710871d0b914e998de479d348ca9efb","4-22ecbab9b5221bdaa245f29a37307bb2c2e3fc67504e0e8d4e98c44d5732a2ed","1","","","0-9e664ec51e30f584d28298b2788e5ff598969af6432daf6701903ec7867b6740","root.record.ItemExhibitList.P5Item"
"Warhead","19","50.373","6.935","","6.999","7.018","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","0-be61e547b6fdb02ea1639a2d2218edee92dd53070a72ba395f4f749631db391a","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"Launch Motor","14","6.588","0.905","","0.905","0.905","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","1-80b98e0bad06701ab0f9d9d66addf67770a6bf422bc49c870c8042d5690182e5","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"Flight Motor","12","2.308","0.17","","0.17","0.17","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","2-e013908503c10c0e7186904a2aeda611db854c553651f6e9386129545ab8e419","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"2B Sensor","18","62.115","8.533","","8.533","8.533","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","3-b8a65a59ca51c67a6c1f81638282040664c6451f4d14c674e737173c8db664b0","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"Gyro","13","11.268","1.548","","1.548","1.548","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","4-765ac4af21eb5b64aab86057e1db5e04ead6c24506ed9093c163934aa6f8cdbf","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"Flight Motor Case Kit","10","2.555","0.351","","0.351","0.351","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","5-3de90121c829f5787ac80b996c8a6b67682bbedfb021fa1f72f4ba333d94e233","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"Control Surface Actuators","13","6.668","0.916","","0.916","0.916","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","6-38d6bc1f55000bdf11c54d73bb041a92f756d15d8a5fe9111c9acd03c2e5d921","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"Beacon Shutter Actuator","11","3.951","0.543","","0.543","0.543","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2015-BASE_PROCUREMENT-2015-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","722a40da3be7b01ec420e03ad622a1883abd6d254e969c30e850f4d31ce0dc24","7-92b36937227c8be84436d5671ae25bb9f0b8170bc01a8326e19333d06aeb8a60","","","","0-f68f24a49d43aa9150249dd982d605edfed4a62eefc5ba737736c3306aab72a0","root.record.ItemExhibitList.P5Item"
"MK72 Boosters","29","","","","","20.58","20.971","20.861","26.442","26.944","","true","TBD","TBD","29","29","0","0","2015-BASE_PROCUREMENT-2015-DEFENSE_MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2015.xml","871ed13dc6bbadf09a6840de2eb4536eb285b3b925625ab4f8982bbcee7d0b0c","0-1dfdc9ac47b2d72e66aa51dbe9bbbcac1b994368bd3e196f2d77fd8c3a45ca4c","1","2016","","0-c03acadbf49d10441892b90c81ef6846bf90162c7f182934a870af37c5500211","root.record.ItemExhibitList.P5Item"
